scenario,nb_cars,method,seed,world_seed,grid_seed,nb_stations,nb_societies,total_time,wall_time_s,exact_satisfaction,needs_satisfaction,nb_cars_evaluated,mean_travel_distance_km,mean_waiting_time_min,nb_demands,nb_demands_answered,nb_demands_confirmed,answer_rate,confirm_rate,mean_offers_per_demand,first_offer_ms_mean,last_offer_ms_mean,last_offer_ms_p95,selection_ms_mean,confirmation_ms_mean,total_ms_mean,total_ms_p95,mean_confirm_attempts,mean_processing_ms,nb_reservations,nb_pres,nb_no_show,nb_early_canc,nb_late_canc,nb_breakdown_canc,nb_unresolved,rate_pres,rate_abs,rate_early,rate_late,intent_pres,intent_abs,intent_early,intent_late,early_intent_realized_late,mean_lead_slots,nb_offer_issued,nb_offer_expired,nb_confirm_refused,nb_stale_confirm,nb_rejected_request,nb_station_requests,mean_occupancy_rate,total_station_demand_kwh,nb_breakdowns,nb_diagnostics,invariant_ok
optimistic,50,greedy,42,42,42,40,4,1440,18.277,0.8789,0.9001,50,0.2859,0.024,444,442,442,0.9955,0.9955,0.995,49.562,49.562,110.8,10.029,0.01,59.6,141.59,1.0,44.781,442,325,45,0,72,0,0,0.7353,0.1018,,0.1629,0.7353,0.1018,0.0882,0.0747,39,0.081,442,0,0,0,0,442,0.0,678.884,0,2,True
optimistic,50,bramev,42,42,42,40,4,1440,141.01,0.8714,0.8925,50,0.3315,0.0,517,434,434,0.8395,0.8395,4.271,89.582,446.32,1108.361,34.314,0.015,480.649,1172.656,1.0,47.635,434,320,44,0,70,0,0,0.7373,0.1014,,0.1613,0.7373,0.1014,0.0876,0.0737,38,0.048,2208,1774,0,0,924,3132,0.0,668.075,1,2,True
optimistic,100,greedy,42,42,42,40,4,1440,37.23,0.8911,0.9112,100,0.2916,1.692,856,854,854,0.9977,0.9977,0.998,58.173,58.173,142.246,13.771,0.008,71.952,169.285,1.0,47.038,854,639,80,6,129,0,0,0.7482,0.0937,0.007,0.1511,0.7482,0.0937,0.0913,0.0667,72,0.481,854,0,0,1,0,854,0.0,1338.448,0,1,True
optimistic,100,bramev,42,42,42,40,4,1440,318.328,0.8909,0.9115,100,0.3391,0.024,936,842,842,0.8996,0.8996,4.594,109.658,875.031,1412.414,231.194,0.013,1106.237,1464.455,1.0,58.535,842,628,79,0,133,0,2,0.7458,0.0938,,0.158,0.747,0.0938,0.0926,0.0665,77,0.132,4300,3458,0,0,1344,5644,0.0,1329.085,1,2,True
optimistic,150,greedy,42,42,42,40,4,1440,51.973,0.8618,0.8827,150,0.2865,7.77,1319,1302,1302,0.9871,0.9871,0.987,67.978,67.978,167.694,26.605,0.007,94.59,203.171,1.0,46.549,1302,981,123,19,179,0,0,0.7535,0.0945,0.0146,0.1375,0.7535,0.0945,0.0922,0.0599,101,1.85,1302,0,0,2,12,1314,0.0,1969.166,0,0,True
optimistic,150,bramev,42,42,42,40,4,1440,625.699,0.8904,0.9115,150,0.33,0.684,1377,1262,1262,0.9165,0.9165,4.775,437.583,3101.692,1607.419,638.974,0.012,3740.679,1681.117,1.0,75.109,1262,953,118,3,187,0,1,0.7552,0.0935,0.0024,0.1482,0.7559,0.0935,0.0903,0.0602,111,0.311,6575,5313,0,0,1834,8409,0.0,1997.366,1,1,True
optimistic,200,greedy,42,42,42,40,4,1440,78.443,0.8121,0.8339,200,0.283,17.886,1885,1830,1830,0.9708,0.9708,0.971,162.84,162.84,183.152,77.001,0.008,239.849,215.328,1.0,50.473,1830,1367,174,36,252,1,0,0.747,0.0951,0.0197,0.1377,0.747,0.0956,0.0902,0.0672,129,3.926,1830,0,0,4,49,1879,0.0,2621.226,1,0,True
optimistic,200,bramev,42,42,42,40,4,1440,2031.67,0.8864,0.9082,200,0.3477,1.164,1799,1689,1689,0.9389,0.9389,4.771,4881.79,18319.199,2247.537,3113.416,0.012,21432.628,2380.641,1.0,229.476,1689,1262,160,7,255,1,4,0.7472,0.0947,0.0041,0.151,0.7496,0.0953,0.0906,0.0645,146,0.452,8583,6894,0,0,2313,10896,0.0,2663.7,2,1,True
optimistic,250,greedy,42,42,42,40,4,1440,88.255,0.7597,0.7809,250,0.2808,28.662,2550,2349,2349,0.9212,0.9212,0.921,160.924,160.924,165.502,96.183,0.007,257.114,207.918,1.0,47.463,2349,1768,221,83,271,3,3,0.7527,0.0941,0.0353,0.1154,0.7539,0.0954,0.0877,0.063,123,6.258,2349,0,0,6,192,2541,0.0,3140.516,3,0,True
optimistic,250,bramev,42,42,42,40,4,1440,4857.995,0.8822,0.9074,250,0.3571,2.166,2224,2101,2101,0.9447,0.9447,4.848,12204.254,58358.193,2350.615,6290.037,0.012,64648.241,2539.217,1.0,396.364,2101,1584,200,8,301,2,6,0.7539,0.0952,0.0038,0.1433,0.7563,0.0961,0.0857,0.0619,171,0.675,10781,8680,0,2,2634,13415,0.0,3303.342,3,1,True
