scenario,nb_cars,method,seed,world_seed,grid_seed,society_id,station_id,update_step,alpha
balance,150,bramev,42,42,42,0,6,0,0.708626
balance,150,bramev,42,42,42,0,6,1,0.662787
balance,150,bramev,42,42,42,0,6,2,0.621533
balance,150,bramev,42,42,42,0,6,3,0.588861
balance,150,bramev,42,42,42,0,6,4,0.555444
balance,150,bramev,42,42,42,0,6,5,0.550364
balance,150,bramev,42,42,42,0,6,6,0.519219
balance,150,bramev,42,42,42,0,6,7,0.497783
balance,150,bramev,42,42,42,0,6,8,0.494079
balance,150,bramev,42,42,42,0,6,9,0.474347
balance,150,bramev,42,42,42,0,8,0,0.80801
balance,150,bramev,42,42,42,0,8,1,0.752233
balance,150,bramev,42,42,42,0,8,2,0.702034
balance,150,bramev,42,42,42,0,8,3,0.661312
balance,150,bramev,42,42,42,0,8,4,0.620651
balance,150,bramev,42,42,42,0,8,5,0.609049
balance,150,bramev,42,42,42,0,8,6,0.572036
balance,150,bramev,42,42,42,0,8,7,0.545318
balance,150,bramev,42,42,42,0,8,8,0.53686
balance,150,bramev,42,42,42,0,8,9,0.51285
balance,150,bramev,42,42,42,0,10,0,0.305265
balance,150,bramev,42,42,42,0,10,1,0.299763
balance,150,bramev,42,42,42,0,10,2,0.294811
balance,150,bramev,42,42,42,0,10,3,0.294811
balance,150,bramev,42,42,42,0,10,4,0.2908
balance,150,bramev,42,42,42,0,10,5,0.312183
balance,150,bramev,42,42,42,0,10,6,0.304856
balance,150,bramev,42,42,42,0,10,7,0.304856
balance,150,bramev,42,42,42,0,10,8,0.320445
balance,150,bramev,42,42,42,0,10,9,0.318077
balance,150,bramev,42,42,42,0,11,0,0.250242
balance,150,bramev,42,42,42,0,11,1,0.250242
balance,150,bramev,42,42,42,0,11,2,0.250242
balance,150,bramev,42,42,42,0,11,3,0.254699
balance,150,bramev,42,42,42,0,11,4,0.254699
balance,150,bramev,42,42,42,0,11,5,0.279693
balance,150,bramev,42,42,42,0,11,6,0.275615
balance,150,bramev,42,42,42,0,11,7,0.278539
balance,150,bramev,42,42,42,0,11,8,0.296759
balance,150,bramev,42,42,42,0,11,9,0.296759
balance,150,bramev,42,42,42,0,15,0,0.509227
balance,150,bramev,42,42,42,0,15,1,0.483328
balance,150,bramev,42,42,42,0,15,2,0.46002
balance,150,bramev,42,42,42,0,15,3,0.443499
balance,150,bramev,42,42,42,0,15,4,0.424619
balance,150,bramev,42,42,42,0,15,5,0.432621
balance,150,bramev,42,42,42,0,15,6,0.41325
balance,150,bramev,42,42,42,0,15,7,0.402411
balance,150,bramev,42,42,42,0,15,8,0.408244
balance,150,bramev,42,42,42,0,15,9,0.397095
balance,150,bramev,42,42,42,0,23,0,0.181183
balance,150,bramev,42,42,42,0,23,1,0.188089
balance,150,bramev,42,42,42,0,23,2,0.194304
balance,150,bramev,42,42,42,0,23,3,0.204355
