scenario,nb_cars,method,seed,world_seed,grid_seed,kind,label,count,rate
balance,250,bramev,42,42,42,observed,abs,469,0.1926
balance,250,bramev,42,42,42,observed,breakdown,20,0.0082
balance,250,bramev,42,42,42,observed,early,20,0.0082
balance,250,bramev,42,42,42,observed,late,467,0.1918
balance,250,bramev,42,42,42,observed,pres,1457,0.5984
balance,250,bramev,42,42,42,observed,unresolved,2,0.0008
balance,250,bramev,42,42,42,intent,abs,489,0.2008
balance,250,bramev,42,42,42,intent,early,290,0.1191
balance,250,bramev,42,42,42,intent,late,197,0.0809
balance,250,bramev,42,42,42,intent,pres,1459,0.5992
balance,250,bramev,42,42,42,reclassified,early->late,270,
