scenario,nb_cars,method,seed,world_seed,grid_seed,demand_id,car_id,slot,nb_stations,nb_offers,confirmed,confirm_attempts,first_offer_ms,last_offer_ms,selection_ms,confirmation_ms,total_ms
balance,250,bramev,42,42,42,t00000-c00008,8,0,6,6,True,1,300059.6976670204,3572630.3998340154,602759.4098749687,0.030291033908724785,4175389.840000018
balance,250,bramev,42,42,42,t00000-c00020,20,0,10,10,True,1,600117.43045802,3575279.018083005,600110.875250015,0.00925001222640276,4175389.9025830324
balance,250,bramev,42,42,42,t00000-c00024,24,0,12,12,True,1,600117.4023750355,4175389.716458041,0.18791697220876813,0.006582995411008596,4175389.910958009
balance,250,bramev,42,42,42,t00000-c00025,25,0,5,5,True,1,1194481.239042012,4175389.6904999856,0.21224998636171222,0.004542001988738775,4175389.907291974
balance,250,bramev,42,42,42,t00000-c00033,33,0,5,5,True,1,300059.58104197634,3572630.282833008,602759.6315419651,0.004333036486059427,4175389.9187080096
balance,250,bramev,42,42,42,t00000-c00034,34,0,6,6,True,1,873047.7975829854,3875331.827624992,300058.08458302636,0.004458008334040642,4175389.9166660267
balance,250,bramev,42,42,42,t00000-c00048,48,0,7,7,True,1,873047.7723749937,3572630.230958981,602759.6777910367,0.004708999767899513,4175389.9134590174
balance,250,bramev,42,42,42,t00000-c00059,59,0,6,5,True,1,1194481.134499947,4175389.585624973,0.31758297700434923,0.00400003045797348,4175389.9072079803
balance,250,bramev,42,42,42,t00000-c00068,68,0,6,6,True,1,873047.7206249489,3875331.749666948,300058.14887501765,0.0037919962778687477,4175389.902333962
balance,250,bramev,42,42,42,t00000-c00092,92,0,9,9,True,1,600117.2175420215,4175389.5337079884,0.3618749906308949,0.004500034265220165,4175389.9000830133
balance,250,bramev,42,42,42,t00000-c00099,99,0,5,5,True,1,1193063.8480000198,3407665.548041987,767724.3427080102,0.003500026650726795,4175389.8942500236
balance,250,bramev,42,42,42,t00000-c00104,104,0,6,6,True,1,1193063.8227500021,3875331.671916996,300058.2111249678,0.003541994374245405,4175389.8865839583
balance,250,bramev,42,42,42,t00000-c00106,106,0,7,7,True,1,1194481.005708978,4175389.456917008,0.41795801371335983,0.0037499703466892242,4175389.878624992
balance,250,bramev,42,42,42,t00000-c00114,114,0,7,7,True,1,892896.0544169531,3875331.6218339605,300058.2445409964,0.003334018401801586,4175389.8697089753
balance,250,bramev,42,42,42,t00000-c00121,121,0,6,6,True,1,300059.32104197564,3573270.3937089536,602119.4639580208,0.003917026333510876,4175389.8615840008
balance,250,bramev,42,42,42,t00000-c00122,122,0,4,4,True,1,1524131.7719580256,3407665.4201250058,767724.4302080362,0.0033339601941406727,4175389.853667002
balance,250,bramev,42,42,42,t00000-c00143,143,0,3,3,True,1,300059.27054199856,3406796.470708039,768593.3724999777,0.003334018401801586,4175389.846542035
balance,250,bramev,42,42,42,t00000-c00146,146,0,7,7,True,1,1194480.8770830277,4175389.3278330215,0.508833967614919,0.0037080026231706142,4175389.8403749918
