scenario,nb_cars,method,seed,world_seed,grid_seed,kind,label,count,rate
balance,250,greedy,42,42,42,observed,abs,553,0.194
balance,250,greedy,42,42,42,observed,breakdown,22,0.0077
balance,250,greedy,42,42,42,observed,early,145,0.0509
balance,250,greedy,42,42,42,observed,late,421,0.1477
balance,250,greedy,42,42,42,observed,pres,1705,0.598
balance,250,greedy,42,42,42,observed,unresolved,5,0.0018
balance,250,greedy,42,42,42,intent,abs,575,0.2017
balance,250,greedy,42,42,42,intent,early,340,0.1193
balance,250,greedy,42,42,42,intent,late,227,0.0796
balance,250,greedy,42,42,42,intent,pres,1709,0.5994
balance,250,greedy,42,42,42,reclassified,early->late,195,
