scenario,nb_cars,method,seed,world_seed,grid_seed,station_id,society_id,nb_charg_spot,alpha,nb_request,nb_rejected_request,nb_offer_issued,nb_offer_expired,nb_confirm_refused,nb_stale_confirm,nb_reservations,nb_pres,nb_no_show,nb_early_canc,nb_late_canc,nb_breakdown_canc,nb_unresolved,occupancy_rate,demand_kwh
balance,250,greedy,42,42,42,0,1,5,0.291,443,70,373,0,0,2,373,215,67,42,44,5,0,0.0,341.075
balance,250,greedy,42,42,42,1,2,5,0.2613,11,0,11,0,0,0,11,4,3,0,4,0,0,0.0,15.583
balance,250,greedy,42,42,42,2,1,5,0.7392,22,0,22,0,0,0,22,16,4,0,2,0,0,0.0,32.108
balance,250,greedy,42,42,42,3,1,5,0.8901,101,0,101,0,0,0,101,61,22,0,18,0,0,0.0,144.433
balance,250,greedy,42,42,42,4,3,5,0.1427,327,24,303,0,0,2,303,189,54,21,34,5,0,0.0,326.1
balance,250,greedy,42,42,42,5,1,4,0.2198,49,0,49,0,0,0,49,31,7,0,11,0,0,0.0,73.65
balance,250,greedy,42,42,42,6,0,6,0.7086,10,0,10,0,0,0,10,7,2,0,1,0,0,0.0,14.25
balance,250,greedy,42,42,42,7,1,6,0.5708,17,0,17,0,0,0,17,7,5,0,5,0,0,0.0,23.725
balance,250,greedy,42,42,42,8,0,5,0.808,5,0,5,0,0,0,5,4,1,0,0,0,0,0.0,7.333
balance,250,greedy,42,42,42,9,2,4,0.4875,71,0,71,0,0,0,71,41,11,1,17,0,1,0.0,111.208
balance,250,greedy,42,42,42,10,0,5,0.3053,93,0,93,0,0,0,93,61,15,0,17,0,0,0.0,139.025
balance,250,greedy,42,42,42,11,0,4,0.2502,456,106,350,0,0,2,350,224,53,42,29,2,0,0.0,276.683
balance,250,greedy,42,42,42,12,3,6,0.3167,15,0,15,0,0,0,15,12,2,0,1,0,0,0.0,23.317
balance,250,greedy,42,42,42,13,3,4,0.8089,76,0,76,0,0,1,76,48,12,1,13,2,0,0.0,113.017
balance,250,greedy,42,42,42,14,3,4,0.6168,79,0,79,0,0,0,79,46,15,0,18,0,0,0.0,110.975
balance,250,greedy,42,42,42,15,0,5,0.5092,92,0,92,0,0,0,92,48,19,0,22,3,0,0.0,124.267
balance,250,greedy,42,42,42,16,2,6,0.5233,4,0,4,0,0,0,4,1,2,0,1,0,0,0.0,3.7
balance,250,greedy,42,42,42,17,2,4,0.8252,6,0,6,0,0,0,6,2,3,0,1,0,0,0.0,6.15
balance,250,greedy,42,42,42,18,2,5,0.8535,89,0,89,0,0,0,89,52,23,0,13,1,0,0.0,110.4
balance,250,greedy,42,42,42,19,3,6,0.7576,19,0,19,0,0,0,19,12,4,0,3,0,0,0.0,26.1
balance,250,greedy,42,42,42,20,2,4,0.4983,4,0,4,0,0,0,4,1,2,0,1,0,0,0.0,2.792
balance,250,greedy,42,42,42,21,2,6,0.8027,9,0,9,0,0,0,9,5,4,0,0,0,0,0.0,10.35
balance,250,greedy,42,42,42,22,2,4,0.549,89,2,87,0,0,0,87,51,20,0,15,1,0,0.0,105.258
balance,250,greedy,42,42,42,23,0,4,0.1812,49,0,49,0,0,0,49,30,7,0,11,0,1,0.0,72.658
balance,250,greedy,42,42,42,24,1,4,0.899,2,0,2,0,0,0,2,2,0,0,0,0,0,0.0,2.967
balance,250,greedy,42,42,42,25,2,6,0.6409,86,0,86,0,0,0,86,52,15,0,17,1,1,0.0,122.842
balance,250,greedy,42,42,42,26,3,5,0.1612,458,81,377,0,0,1,377,215,87,38,37,0,0,0.0,312.583
balance,250,greedy,42,42,42,27,2,4,0.399,23,0,23,0,0,0,23,17,5,0,1,0,0,0.0,35.0
balance,250,greedy,42,42,42,28,3,4,0.8962,73,0,73,0,0,0,73,47,12,0,14,0,0,0.0,107.492
balance,250,greedy,42,42,42,29,3,5,0.2195,81,0,81,0,0,0,81,47,15,0,18,1,0,0.0,109.633
balance,250,greedy,42,42,42,30,1,6,0.1037,45,0,45,0,0,0,45,24,12,0,9,0,0,0.0,57.9
balance,250,greedy,42,42,42,31,2,5,0.4794,48,0,48,0,0,0,48,24,18,0,6,0,0,0.0,52.725
balance,250,greedy,42,42,42,32,0,5,0.2756,28,0,28,0,0,0,28,17,6,0,4,0,1,0.0,37.025
balance,250,greedy,42,42,42,33,1,4,0.6703,23,0,23,0,0,0,23,13,5,0,5,0,0,0.0,34.5
balance,250,greedy,42,42,42,34,0,5,0.3553,8,0,8,0,0,0,8,5,2,0,1,0,0,0.0,11.975
balance,250,greedy,42,42,42,35,0,6,0.6129,35,0,35,0,0,0,35,21,2,0,12,0,0,0.0,54.15
balance,250,greedy,42,42,42,36,3,6,0.4159,26,0,26,0,0,0,26,13,5,0,6,1,1,0.0,32.667
balance,250,greedy,42,42,42,37,0,4,0.6312,16,0,16,0,0,0,16,8,6,0,2,0,0,0.0,16.567
balance,250,greedy,42,42,42,38,3,6,0.7902,16,0,16,0,0,0,16,12,2,0,2,0,0,0.0,25.925
balance,250,greedy,42,42,42,39,1,6,0.6455,30,0,30,0,0,0,30,20,4,0,6,0,0,0.0,45.425
