scenario,nb_cars,method,seed,world_seed,grid_seed,station_id,society_id,nb_charg_spot,alpha,nb_request,nb_rejected_request,nb_offer_issued,nb_offer_expired,nb_confirm_refused,nb_stale_confirm,nb_reservations,nb_pres,nb_no_show,nb_early_canc,nb_late_canc,nb_breakdown_canc,nb_unresolved,occupancy_rate,demand_kwh
balance,50,bramev,42,42,42,0,1,5,0.322,124,66,58,14,0,0,44,26,4,0,14,0,0,0.0,77.008
balance,50,bramev,42,42,42,1,2,5,0.4855,126,49,77,74,0,0,3,1,2,0,0,0,0,0.0,1.9
balance,50,bramev,42,42,42,2,1,5,0.4956,55,30,25,21,0,0,4,3,1,0,0,0,0,0.0,4.733
balance,50,bramev,42,42,42,3,1,5,0.5541,117,51,66,50,0,0,16,9,4,0,3,0,0,0.0,23.433
balance,50,bramev,42,42,42,4,3,5,0.2114,104,34,70,39,0,0,31,18,5,0,7,1,0,0.0,43.608
balance,50,bramev,42,42,42,5,1,4,0.2944,55,34,21,14,0,0,7,5,1,0,1,0,0,0.0,12.425
balance,50,bramev,42,42,42,6,0,6,0.561,44,12,32,31,0,0,1,1,0,0,0,0,0,0.0,0.967
balance,50,bramev,42,42,42,7,1,6,0.4304,52,29,23,18,0,0,5,2,1,0,2,0,0,0.0,7.65
balance,50,bramev,42,42,42,8,0,5,0.5995,47,12,35,32,0,0,3,2,0,0,1,0,0,0.0,4.992
balance,50,bramev,42,42,42,9,2,4,0.5731,110,41,69,60,0,0,9,7,0,0,2,0,0,0.0,14.008
balance,50,bramev,42,42,42,10,0,5,0.4047,60,15,45,31,0,0,14,11,0,0,3,0,0,0.0,25.1
balance,50,bramev,42,42,42,11,0,4,0.3834,114,41,73,25,0,0,48,24,12,0,11,1,0,0.0,55.567
balance,50,bramev,42,42,42,12,3,6,0.2788,122,48,74,70,0,0,4,3,1,0,0,0,0,0.0,4.617
balance,50,bramev,42,42,42,13,3,4,0.4694,57,14,43,31,0,0,12,7,1,0,4,0,0,0.0,18.983
balance,50,bramev,42,42,42,14,3,4,0.395,105,35,70,51,0,0,19,9,4,0,6,0,0,0.0,20.492
balance,50,bramev,42,42,42,15,0,5,0.4837,57,16,41,27,0,0,14,8,3,0,3,0,0,0.0,18.833
balance,50,bramev,42,42,42,16,2,6,0.5869,54,22,32,30,0,0,2,0,1,0,1,0,0,0.0,2.208
balance,50,bramev,42,42,42,17,2,4,0.7039,65,16,49,45,0,0,4,2,1,0,1,0,0,0.0,4.317
balance,50,bramev,42,42,42,18,2,5,0.7149,70,16,54,30,0,0,24,12,5,0,6,1,0,0.0,31.383
balance,50,bramev,42,42,42,19,3,6,0.4496,55,11,44,40,0,0,4,3,0,0,1,0,0,0.0,6.133
balance,50,bramev,42,42,42,20,2,4,0.5773,86,29,57,54,0,0,3,2,0,0,1,0,0,0.0,5.292
balance,50,bramev,42,42,42,21,2,6,0.6952,35,10,25,21,0,0,4,2,2,0,0,0,0,0.0,3.292
balance,50,bramev,42,42,42,22,2,4,0.5969,104,41,63,42,0,0,21,10,7,0,3,1,0,0.0,21.042
balance,50,bramev,42,42,42,23,0,4,0.3566,56,17,39,26,0,0,13,7,2,0,3,1,0,0.0,20.567
balance,50,bramev,42,42,42,24,1,4,0.5575,129,50,79,76,0,0,3,1,0,0,2,0,0,0.0,5.342
balance,50,bramev,42,42,42,25,2,6,0.6325,129,57,72,58,0,0,14,10,1,0,3,0,0,0.0,19.817
balance,50,bramev,42,42,42,26,3,5,0.2185,107,40,67,24,0,0,43,29,8,0,6,0,0,0.0,59.925
balance,50,bramev,42,42,42,27,2,4,0.5388,59,27,32,29,0,0,3,2,1,0,0,0,0,0.0,3.45
balance,50,bramev,42,42,42,28,3,4,0.5033,104,34,70,60,0,0,10,9,0,0,1,0,0,0.0,15.175
balance,50,bramev,42,42,42,29,3,5,0.2411,119,46,73,47,0,0,26,15,7,0,4,0,0,0.0,28.442
balance,50,bramev,42,42,42,30,1,6,0.2494,118,47,71,54,0,0,17,10,2,0,5,0,0,0.0,25.667
balance,50,bramev,42,42,42,31,2,5,0.57,56,20,36,29,0,0,7,4,2,0,1,0,0,0.0,7.05
balance,50,bramev,42,42,42,32,0,5,0.3932,27,6,21,15,0,0,6,5,1,0,0,0,0,0.0,8.975
balance,50,bramev,42,42,42,33,1,4,0.4689,31,7,24,22,0,0,2,2,0,0,0,0,0,0.0,4.475
balance,50,bramev,42,42,42,34,0,5,0.4241,31,5,26,24,0,0,2,2,0,0,0,0,0,0.0,4.417
balance,50,bramev,42,42,42,35,0,6,0.5239,57,19,38,23,0,0,15,11,2,0,2,0,0,0.0,21.833
balance,50,bramev,42,42,42,36,3,6,0.3172,63,20,43,40,0,0,3,2,1,0,0,0,0,0.0,3.4
balance,50,bramev,42,42,42,37,0,4,0.531,121,37,84,69,0,0,15,9,5,0,1,0,0,0.0,18.658
balance,50,bramev,42,42,42,38,3,6,0.4622,131,52,79,75,0,0,4,2,1,0,1,0,0,0.0,4.542
balance,50,bramev,42,42,42,39,1,6,0.4593,64,21,43,38,0,0,5,3,1,0,1,0,0,0.0,7.308
