scenario,nb_cars,method,seed,world_seed,grid_seed,station_id,society_id,nb_charg_spot,alpha,nb_request,nb_rejected_request,nb_offer_issued,nb_offer_expired,nb_confirm_refused,nb_stale_confirm,nb_reservations,nb_pres,nb_no_show,nb_early_canc,nb_late_canc,nb_breakdown_canc,nb_unresolved,occupancy_rate,demand_kwh
optimistic,100,bramev,42,42,42,0,1,5,0.4052,182,49,133,49,0,0,84,60,3,0,20,0,1,0.0,140.383
optimistic,100,bramev,42,42,42,1,2,5,0.4615,208,45,163,157,0,0,6,5,1,0,0,0,0,0.0,10.775
optimistic,100,bramev,42,42,42,2,1,5,0.5788,103,26,77,70,0,0,7,6,1,0,0,0,0,0.0,9.542
optimistic,100,bramev,42,42,42,3,1,5,0.6373,220,71,149,102,0,0,47,33,5,0,9,0,0,0.0,75.65
optimistic,100,bramev,42,42,42,4,3,5,0.2121,181,45,136,74,0,0,62,48,7,0,7,0,0,0.0,98.0
optimistic,100,bramev,42,42,42,5,1,4,0.3776,106,33,73,67,0,0,6,3,2,0,1,0,0,0.0,7.142
optimistic,100,bramev,42,42,42,6,0,6,0.5459,89,21,68,61,0,0,7,6,1,0,0,0,0,0.0,7.7
optimistic,100,bramev,42,42,42,7,1,6,0.5136,100,26,74,64,0,0,10,6,0,0,4,0,0,0.0,18.342
optimistic,100,bramev,42,42,42,8,0,5,0.5844,99,22,77,72,0,0,5,4,0,0,1,0,0,0.0,7.8
optimistic,100,bramev,42,42,42,9,2,4,0.5491,184,40,144,125,0,0,19,13,2,0,4,0,0,0.0,30.933
optimistic,100,bramev,42,42,42,10,0,5,0.3896,99,25,74,55,0,0,19,14,1,0,4,0,0,0.0,30.433
optimistic,100,bramev,42,42,42,11,0,4,0.3683,211,54,157,69,0,0,88,61,13,0,14,0,0,0.0,129.667
optimistic,100,bramev,42,42,42,12,3,6,0.2795,220,59,161,155,0,0,6,5,1,0,0,0,0,0.0,7.325
optimistic,100,bramev,42,42,42,13,3,4,0.4702,92,16,76,60,0,0,16,15,1,0,0,0,0,0.0,24.642
optimistic,100,bramev,42,42,42,14,3,4,0.3958,192,49,143,115,0,0,28,20,3,0,5,0,0,0.0,42.592
optimistic,100,bramev,42,42,42,15,0,5,0.4687,101,21,80,51,0,0,29,20,4,0,5,0,0,0.0,45.225
optimistic,100,bramev,42,42,42,16,2,6,0.563,91,14,77,77,0,0,0,0,0,0,0,0,0,0.0,0.0
optimistic,100,bramev,42,42,42,17,2,4,0.68,134,26,108,102,0,0,6,5,1,0,0,0,0,0.0,9.067
optimistic,100,bramev,42,42,42,18,2,5,0.691,136,37,99,76,0,0,23,19,1,0,3,0,0,0.0,38.333
optimistic,100,bramev,42,42,42,19,3,6,0.4503,91,21,70,63,0,0,7,5,0,0,2,0,0,0.0,9.792
optimistic,100,bramev,42,42,42,20,2,4,0.5533,140,26,114,110,0,0,4,3,0,0,1,0,0,0.0,7.392
optimistic,100,bramev,42,42,42,21,2,6,0.6713,61,6,55,50,0,0,5,5,0,0,0,0,0,0.0,7.692
optimistic,100,bramev,42,42,42,22,2,4,0.5729,178,43,135,100,0,0,35,27,3,0,5,0,0,0.0,57.058
optimistic,100,bramev,42,42,42,23,0,4,0.3416,96,15,81,62,0,0,19,16,0,0,3,0,0,0.0,35.367
optimistic,100,bramev,42,42,42,24,1,4,0.6407,216,54,162,161,0,0,1,0,0,0,1,0,0,0.0,1.333
optimistic,100,bramev,42,42,42,25,2,6,0.6086,193,38,155,121,0,0,34,28,4,0,2,0,0,0.0,58.783
optimistic,100,bramev,42,42,42,26,3,5,0.2193,201,55,146,56,0,0,90,71,12,0,7,0,0,0.0,134.742
optimistic,100,bramev,42,42,42,27,2,4,0.5148,105,20,85,78,0,0,7,5,0,0,1,0,1,0.0,8.317
optimistic,100,bramev,42,42,42,28,3,4,0.504,186,53,133,115,0,0,18,13,0,0,5,0,0,0.0,31.967
optimistic,100,bramev,42,42,42,29,3,5,0.2419,188,39,149,114,0,0,35,26,2,0,7,0,0,0.0,53.742
optimistic,100,bramev,42,42,42,30,1,6,0.3326,210,75,135,112,0,0,23,18,1,0,4,0,0,0.0,40.075
optimistic,100,bramev,42,42,42,31,2,5,0.546,118,24,94,75,0,0,19,8,4,0,7,0,0,0.0,25.483
optimistic,100,bramev,42,42,42,32,0,5,0.3781,55,9,46,38,0,0,8,6,1,0,1,0,0,0.0,12.458
optimistic,100,bramev,42,42,42,33,1,4,0.5522,46,7,39,36,0,0,3,3,0,0,0,0,0,0.0,5.033
optimistic,100,bramev,42,42,42,34,0,5,0.409,51,6,45,42,0,0,3,0,0,0,3,0,0,0.0,5.15
optimistic,100,bramev,42,42,42,35,0,6,0.5088,107,16,91,66,0,0,25,20,2,0,3,0,0,0.0,39.417
optimistic,100,bramev,42,42,42,36,3,6,0.3179,104,26,78,67,0,0,11,9,0,0,2,0,0,0.0,20.825
optimistic,100,bramev,42,42,42,37,0,4,0.5159,197,44,153,143,0,0,10,9,0,0,1,0,0,0.0,17.408
optimistic,100,bramev,42,42,42,38,3,6,0.463,249,66,183,177,0,0,6,6,0,0,0,0,0,0.0,9.317
optimistic,100,bramev,42,42,42,39,1,6,0.5426,104,22,82,71,0,0,11,7,3,0,1,0,0,0.0,14.183
