scenario,nb_cars,method,seed,world_seed,grid_seed,kind,label,count,rate
optimistic,150,bramev,42,42,42,observed,abs,118,0.0935
optimistic,150,bramev,42,42,42,observed,early,3,0.0024
optimistic,150,bramev,42,42,42,observed,late,187,0.1482
optimistic,150,bramev,42,42,42,observed,pres,953,0.7552
optimistic,150,bramev,42,42,42,observed,unresolved,1,0.0008
optimistic,150,bramev,42,42,42,intent,abs,118,0.0935
optimistic,150,bramev,42,42,42,intent,early,114,0.0903
optimistic,150,bramev,42,42,42,intent,late,76,0.0602
optimistic,150,bramev,42,42,42,intent,pres,954,0.7559
optimistic,150,bramev,42,42,42,reclassified,early->late,111,
