scenario,nb_cars,method,seed,world_seed,grid_seed,demand_id,car_id,slot,nb_stations,nb_offers,confirmed,confirm_attempts,first_offer_ms,last_offer_ms,selection_ms,confirmation_ms,total_ms
optimistic,150,bramev,42,42,42,t00000-c00008,8,0,6,6,True,1,547.5475410348736,114818.3298750082,106407.41541597527,0.02300000051036477,221225.76829098398
optimistic,150,bramev,42,42,42,t00000-c00020,20,0,10,10,True,1,921.0516670136712,220441.90016697394,783.905083022546,0.007875030860304832,221225.81312502734
optimistic,150,bramev,42,42,42,t00000-c00024,24,0,12,12,True,1,921.0179999936372,221225.64020799473,0.1645839656703174,0.005375011824071407,221225.81016697222
optimistic,150,bramev,42,42,42,t00000-c00025,25,0,5,5,True,1,78860.27583299438,221225.6088750437,0.18679199274629354,0.004208006430417299,221225.79987504287
optimistic,150,bramev,42,42,42,t00000-c00033,33,0,5,5,True,1,547.4039170076139,114818.18637502147,106407.59650000837,0.0038339640013873577,221225.78670899384
optimistic,150,bramev,42,42,42,t00000-c00034,34,0,6,6,True,1,1098.254917014856,220616.44200002775,609.3295000027865,0.0038750004023313522,221225.77537503093
optimistic,150,bramev,42,42,42,t00000-c00048,48,0,7,7,True,1,1098.224040993955,114818.12441599322,106407.6359999599,0.0037919962778687477,221225.7642079494
optimistic,150,bramev,42,42,42,t00000-c00059,59,0,6,6,True,1,78860.1512919995,221225.48433300108,0.2644999767653644,0.003208988346159458,221225.7520419662
optimistic,150,bramev,42,42,42,t00000-c00068,68,0,6,6,True,1,1098.162958980538,220616.3489589817,609.386500029359,0.003374996595084667,221225.73883400764
optimistic,150,bramev,42,42,42,t00000-c00092,92,0,9,9,True,1,920.7985420362093,221225.42237502057,0.30333298491314054,0.004292000085115433,221225.73000000557
optimistic,150,bramev,42,42,42,t00000-c00099,99,0,5,5,True,1,1463.0465419613756,114149.95758398436,107075.75775001897,0.003957946319133043,221225.71929194964
optimistic,150,bramev,42,42,42,t00000-c00104,104,0,6,6,True,1,1463.0130419973284,220616.25249998178,609.4482500338927,0.004166970029473305,221225.7049169857
optimistic,150,bramev,42,42,42,t00000-c00106,106,0,7,7,True,1,78859.99216703931,221225.3254170064,0.36395800998434424,0.0036249984987080097,221225.69300001487
optimistic,150,bramev,42,42,42,t00000-c00114,114,0,7,7,True,1,1309.729583968874,220616.18945898954,609.4888750230893,0.0038749421946704388,221225.68220895482
optimistic,150,bramev,42,42,42,t00000-c00121,121,0,6,6,True,1,547.0867909607477,115016.41866599675,106209.24766699318,0.0037080026231706142,221225.67004099255
optimistic,150,bramev,42,42,42,t00000-c00122,122,0,4,4,True,1,79392.19341700664,114149.79741699062,107075.85608301451,0.003334018401801586,221225.65683402354
optimistic,150,bramev,42,42,42,t00000-c00143,143,0,3,3,True,1,547.0258329878561,114053.9443329908,107171.69637500774,0.0032919924706220627,221225.643999991
optimistic,150,bramev,42,42,42,t00000-c00146,146,0,7,7,True,1,78859.83708401909,221225.17029201845,0.45837496872991323,0.0037919962778687477,221225.63245898345
optimistic,150,bramev,42,42,42,t00007-c00077,77,7,9,9,True,1,54.47833298239857,376.8403750145808,0.024124979972839355,0.016833015251904726,376.88133300980553
optimistic,150,bramev,42,42,42,t00009-c00047,47,9,7,7,True,1,29.72545800730586,297.16995800845325,0.01995899947360158,0.01491600414738059,297.20483301207423
optimistic,150,bramev,42,42,42,t00010-c00047,47,10,3,2,True,1,55.75012502958998,89.06200004275888,0.014374963939189911,0.013249984476715326,89.08962499117479
optimistic,150,bramev,42,42,42,t00011-c00019,19,11,15,15,True,1,65.5897090327926,748.3677920536138,0.022582942619919777,0.018417020328342915,748.4087920165621
optimistic,150,bramev,42,42,42,t00011-c00047,47,11,3,1,True,1,501.21087505249307,501.21087505249307,247.24654096644372,0.005792011506855488,748.4632080304436
optimistic,150,bramev,42,42,42,t00012-c00019,19,12,11,6,True,1,128.90937499469146,637.4239170108922,65.20379200810567,0.01691601937636733,702.6446250383742
optimistic,150,bramev,42,42,42,t00012-c00135,135,12,4,4,True,1,57.322542008478194,702.5624170200899,0.11862500105053186,0.007541966624557972,702.688583987765
optimistic,150,bramev,42,42,42,t00015-c00081,81,15,5,5,True,1,84.50258302036673,456.4321670331992,0.02216600114479661,0.015500001609325409,456.46983303595334
optimistic,150,bramev,42,42,42,t00015-c00111,111,15,4,4,True,1,64.51483303681016,425.6648750160821,30.84849996957928,0.006917049176990986,456.52029203483835
optimistic,150,bramev,42,42,42,t00017-c00094,94,17,12,12,True,1,211.77979098865762,2539.6904579829425,116.20333301834762,0.01912500010803342,2655.912916001398
optimistic,150,bramev,42,42,42,t00017-c00139,139,17,9,9,True,1,211.7394999950193,2655.8244999614544,0.12625003000721335,0.007374968845397234,2655.958124960307
optimistic,150,bramev,42,42,42,t00018-c00148,148,18,3,3,True,1,241.7010419885628,444.646333984565,0.02820801455527544,0.014416989870369434,444.68895898899063
optimistic,150,bramev,42,42,42,t00018-c00149,149,18,7,7,True,1,63.1367500172928,444.6087499964051,0.12533401604741812,0.006749993190169334,444.7408340056427
optimistic,150,bramev,42,42,42,t00019-c00149,149,19,7,6,True,1,66.23816699720919,305.18712499178946,0.028292008209973574,0.013999990187585354,305.229416990187
optimistic,150,bramev,42,42,42,t00020-c00052,52,20,3,3,True,1,63.146499975118786,237.3951249755919,0.020459003280848265,0.01487502595409751,237.43045900482684
optimistic,150,bramev,42,42,42,t00021-c00005,5,21,3,3,True,1,116.45104200579226,220.81445902585983,44.227957958355546,0.013708020560443401,265.0561250047758
optimistic,150,bramev,42,42,42,t00021-c00131,131,21,6,6,True,1,21.284582966472954,264.9776249891147,0.1135829952545464,0.006916990969330072,265.0981249753386
optimistic,150,bramev,42,42,42,t00022-c00031,31,22,3,3,True,1,24.241500010248274,115.58904201956466,0.012791017070412636,0.01191697083413601,115.6137500074692
optimistic,150,bramev,42,42,42,t00024-c00072,72,24,7,7,True,1,193.2530839694664,1131.6784169757739,0.024333014152944088,0.015166995581239462,1131.717916985508
optimistic,150,bramev,42,42,42,t00025-c00037,37,25,8,8,True,1,37.79058298096061,341.4485829998739,0.021499989088624716,0.015249999705702066,341.48533298866823
optimistic,150,bramev,42,42,42,t00026-c00109,109,26,6,6,True,1,58.206125046126544,332.9622080200352,0.025291985366493464,0.015291036106646061,333.0027910415083
optimistic,150,bramev,42,42,42,t00027-c00049,49,27,5,5,True,1,30.253041011746973,593.2153330068104,32.648708031047136,0.015458965208381414,625.8795000030659
optimistic,150,bramev,42,42,42,t00027-c00113,113,27,10,10,True,1,62.971459003165364,625.8012919570319,0.124208047054708,0.008584000170230865,625.9340840042569
optimistic,150,bramev,42,42,42,t00028-c00113,113,28,8,5,True,1,20.240916986949742,143.26220797374845,17.32975000049919,0.01833401620388031,160.61029199045151
optimistic,150,bramev,42,42,42,t00029-c00076,76,29,6,6,True,1,51.73316696891561,741.7890829965472,119.92183397524059,0.016416015569120646,861.7273329873569
optimistic,150,bramev,42,42,42,t00029-c00125,125,29,6,6,True,1,92.95204095542431,861.6447079693899,0.12579199392348528,0.0077080330811440945,861.7782079963945
optimistic,150,bramev,42,42,42,t00030-c00016,16,30,5,5,True,1,43.102916970383376,296.1652919766493,0.016166013665497303,0.014166987966746092,296.19562497828156
optimistic,150,bramev,42,42,42,t00036-c00078,78,36,5,5,True,1,25.16204200219363,158.86129200225696,0.01733301905915141,0.011625001206994057,158.8902500225231
optimistic,150,bramev,42,42,42,t00037-c00040,40,37,5,5,True,1,21.080584032461047,157.6350000104867,0.018084014300256968,0.014040968380868435,157.66712499316782
optimistic,150,bramev,42,42,42,t00038-c00010,10,38,9,9,True,1,41.66912502842024,844.5066250278614,0.018499966245144606,0.017542042769491673,844.5426670368761
optimistic,150,bramev,42,42,42,t00038-c00058,58,38,5,5,True,1,119.74008299876004,770.3380419989116,74.25208296626806,0.006832997314631939,844.5969579624943
optimistic,150,bramev,42,42,42,t00039-c00010,10,39,7,4,True,1,277.8987499768846,1092.6055000163615,0.01575000351294875,0.015457975678145885,1092.6367079955526
optimistic,150,bramev,42,42,42,t00039-c00014,14,39,7,7,True,1,77.14900001883507,1031.6938750329427,60.97912497352809,0.00825000461190939,1092.6812500110827
optimistic,150,bramev,42,42,42,t00039-c00119,119,39,3,3,True,1,387.0281249983236,802.4103339994326,290.26279103709385,0.005624955520033836,1092.6787499920465
optimistic,150,bramev,42,42,42,t00042-c00062,62,42,11,11,True,1,30.829833005554974,345.8569580106996,0.02358300844207406,0.015874975360929966,345.8964159945026
optimistic,150,bramev,42,42,42,t00043-c00025,25,43,5,5,True,1,62.450415978673846,513.5773329529911,0.019000028260052204,0.015583005733788013,513.611915986985
optimistic,150,bramev,42,42,42,t00044-c00027,27,44,3,3,True,1,34.639834018889815,121.74204201437533,0.015500001609325409,0.012666976545006037,121.77020899252966
