scenario,nb_cars,method,seed,world_seed,grid_seed,station_id,society_id,nb_charg_spot,alpha,nb_request,nb_rejected_request,nb_offer_issued,nb_offer_expired,nb_confirm_refused,nb_stale_confirm,nb_reservations,nb_pres,nb_no_show,nb_early_canc,nb_late_canc,nb_breakdown_canc,nb_unresolved,occupancy_rate,demand_kwh
optimistic,200,greedy,42,42,42,0,1,5,0.291,267,12,255,0,0,1,255,188,23,15,28,1,0,0.0,318.117
optimistic,200,greedy,42,42,42,1,2,5,0.2613,8,0,8,0,0,0,8,6,0,0,2,0,0,0.0,13.508
optimistic,200,greedy,42,42,42,2,1,5,0.7392,13,0,13,0,0,0,13,11,0,0,2,0,0,0.0,21.992
optimistic,200,greedy,42,42,42,3,1,5,0.8901,61,0,61,0,0,0,61,45,5,0,11,0,0,0.0,98.4
optimistic,200,greedy,42,42,42,4,3,5,0.1427,194,3,191,0,0,0,191,151,19,2,19,0,0,0.0,283.733
optimistic,200,greedy,42,42,42,5,1,4,0.2198,24,0,24,0,0,0,24,19,3,0,2,0,0,0.0,34.992
optimistic,200,greedy,42,42,42,6,0,6,0.7086,10,0,10,0,0,0,10,8,2,0,0,0,0,0.0,11.258
optimistic,200,greedy,42,42,42,7,1,6,0.5708,10,0,10,0,0,0,10,7,1,0,2,0,0,0.0,15.992
optimistic,200,greedy,42,42,42,8,0,5,0.808,3,0,3,0,0,0,3,3,0,0,0,0,0,0.0,5.8
optimistic,200,greedy,42,42,42,9,2,4,0.4875,45,0,45,0,0,0,45,38,1,0,6,0,0,0.0,73.817
optimistic,200,greedy,42,42,42,10,0,5,0.3053,38,0,38,0,0,0,38,27,2,0,9,0,0,0.0,61.95
optimistic,200,greedy,42,42,42,11,0,4,0.2502,248,20,228,0,0,0,228,170,24,13,21,0,0,0.0,266.342
optimistic,200,greedy,42,42,42,12,3,6,0.3167,8,0,8,0,0,0,8,6,1,0,1,0,0,0.0,12.167
optimistic,200,greedy,42,42,42,13,3,4,0.8089,53,0,53,0,0,1,53,40,8,0,5,0,0,0.0,75.558
optimistic,200,greedy,42,42,42,14,3,4,0.6168,58,0,58,0,0,0,58,45,5,0,8,0,0,0.0,88.667
optimistic,200,greedy,42,42,42,15,0,5,0.5092,62,0,62,0,0,0,62,40,11,0,11,0,0,0.0,89.042
optimistic,200,greedy,42,42,42,16,2,6,0.5233,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
optimistic,200,greedy,42,42,42,17,2,4,0.8252,7,0,7,0,0,0,7,6,0,0,1,0,0,0.0,12.075
optimistic,200,greedy,42,42,42,18,2,5,0.8535,54,0,54,0,0,0,54,36,6,0,12,0,0,0.0,83.367
optimistic,200,greedy,42,42,42,19,3,6,0.7576,17,0,17,0,0,0,17,13,1,0,3,0,0,0.0,26.7
optimistic,200,greedy,42,42,42,20,2,4,0.4983,9,0,9,0,0,0,9,8,0,0,1,0,0,0.0,16.533
optimistic,200,greedy,42,42,42,21,2,6,0.8027,5,0,5,0,0,0,5,5,0,0,0,0,0,0.0,8.3
optimistic,200,greedy,42,42,42,22,2,4,0.549,49,0,49,0,0,0,49,35,4,0,10,0,0,0.0,76.867
optimistic,200,greedy,42,42,42,23,0,4,0.1812,31,0,31,0,0,0,31,20,3,0,8,0,0,0.0,48.175
optimistic,200,greedy,42,42,42,24,1,4,0.899,5,0,5,0,0,0,5,4,1,0,0,0,0,0.0,5.975
optimistic,200,greedy,42,42,42,25,2,6,0.6409,60,0,60,0,0,0,60,47,4,0,9,0,0,0.0,95.508
optimistic,200,greedy,42,42,42,26,3,5,0.1612,238,14,224,0,0,2,224,168,23,6,27,0,0,0.0,293.108
optimistic,200,greedy,42,42,42,27,2,4,0.399,17,0,17,0,0,0,17,12,0,0,5,0,0,0.0,27.2
optimistic,200,greedy,42,42,42,28,3,4,0.8962,52,0,52,0,0,0,52,38,3,0,11,0,0,0.0,84.192
optimistic,200,greedy,42,42,42,29,3,5,0.2195,50,0,50,0,0,0,50,39,3,0,8,0,0,0.0,92.767
optimistic,200,greedy,42,42,42,30,1,6,0.1037,38,0,38,0,0,0,38,25,6,0,7,0,0,0.0,57.883
optimistic,200,greedy,42,42,42,31,2,5,0.4794,46,0,46,0,0,0,46,33,4,0,9,0,0,0.0,67.25
optimistic,200,greedy,42,42,42,32,0,5,0.2756,18,0,18,0,0,0,18,14,1,0,3,0,0,0.0,28.75
optimistic,200,greedy,42,42,42,33,1,4,0.6703,5,0,5,0,0,0,5,5,0,0,0,0,0,0.0,8.583
optimistic,200,greedy,42,42,42,34,0,5,0.3553,2,0,2,0,0,0,2,0,2,0,0,0,0,0.0,0.0
optimistic,200,greedy,42,42,42,35,0,6,0.6129,23,0,23,0,0,0,23,18,5,0,0,0,0,0.0,32.908
optimistic,200,greedy,42,42,42,36,3,6,0.4159,19,0,19,0,0,0,19,15,1,0,3,0,0,0.0,31.017
optimistic,200,greedy,42,42,42,37,0,4,0.6312,8,0,8,0,0,0,8,7,0,0,1,0,0,0.0,14.65
optimistic,200,greedy,42,42,42,38,3,6,0.7902,10,0,10,0,0,0,10,6,1,0,3,0,0,0.0,16.95
optimistic,200,greedy,42,42,42,39,1,6,0.6455,14,0,14,0,0,0,14,9,1,0,4,0,0,0.0,21.133
