scenario,nb_cars,method,seed,world_seed,grid_seed,station_id,society_id,nb_charg_spot,alpha,nb_request,nb_rejected_request,nb_offer_issued,nb_offer_expired,nb_confirm_refused,nb_stale_confirm,nb_reservations,nb_pres,nb_no_show,nb_early_canc,nb_late_canc,nb_breakdown_canc,nb_unresolved,occupancy_rate,demand_kwh
pessimistic,150,bramev,42,42,42,0,1,5,0.5158,734,565,169,64,0,0,105,58,24,0,23,0,0,0.0,143.242
pessimistic,150,bramev,42,42,42,1,2,5,0.5546,871,642,229,216,0,0,13,8,3,0,2,0,0,0.0,17.983
pessimistic,150,bramev,42,42,42,2,1,5,0.6895,349,257,92,78,0,0,14,1,7,0,6,0,0,0.0,12.333
pessimistic,150,bramev,42,42,42,3,1,5,0.748,858,644,214,112,0,0,102,41,24,0,34,1,2,0.0,128.65
pessimistic,150,bramev,42,42,42,4,3,5,0.1863,794,637,157,67,0,0,90,37,16,0,32,4,1,0.0,129.2
pessimistic,150,bramev,42,42,42,5,1,4,0.4883,402,307,95,71,0,0,24,9,8,0,7,0,0,0.0,31.817
pessimistic,150,bramev,42,42,42,6,0,6,0.4695,319,230,89,86,0,0,3,0,1,0,2,0,0,0.0,3.042
pessimistic,150,bramev,42,42,42,7,1,6,0.6243,354,262,92,72,0,0,20,10,4,0,6,0,0,0.0,28.525
pessimistic,150,bramev,42,42,42,8,0,5,0.508,397,284,113,103,0,0,10,4,1,0,5,0,0,0.0,17.967
pessimistic,150,bramev,42,42,42,9,2,4,0.6422,819,590,229,192,0,0,37,15,7,0,14,1,0,0.0,53.508
pessimistic,150,bramev,42,42,42,10,0,5,0.3132,377,271,106,65,0,0,41,20,9,0,12,0,0,0.0,58.875
pessimistic,150,bramev,42,42,42,11,0,4,0.2919,938,704,234,107,0,0,127,51,29,2,44,1,0,0.0,175.092
pessimistic,150,bramev,42,42,42,12,3,6,0.2537,880,665,215,195,0,0,20,5,7,1,7,0,0,0.0,23.808
pessimistic,150,bramev,42,42,42,13,3,4,0.4444,375,291,84,56,0,0,28,9,3,0,14,2,0,0.0,42.517
pessimistic,150,bramev,42,42,42,14,3,4,0.3699,879,681,198,138,0,0,60,27,14,0,19,0,0,0.0,81.942
pessimistic,150,bramev,42,42,42,15,0,5,0.3922,406,309,97,54,0,0,43,19,12,0,12,0,0,0.0,53.608
pessimistic,150,bramev,42,42,42,16,2,6,0.6561,294,214,80,75,0,0,5,3,1,0,0,1,0,0.0,3.583
pessimistic,150,bramev,42,42,42,17,2,4,0.7731,528,355,173,130,0,0,43,18,9,0,15,1,0,0.0,58.942
pessimistic,150,bramev,42,42,42,18,2,5,0.784,458,294,164,105,0,0,59,20,9,0,29,1,0,0.0,83.692
pessimistic,150,bramev,42,42,42,19,3,6,0.4245,301,247,54,49,0,0,5,1,1,0,2,1,0,0.0,5.133
pessimistic,150,bramev,42,42,42,20,2,4,0.6464,501,357,144,139,0,0,5,2,1,0,2,0,0,0.0,7.683
pessimistic,150,bramev,42,42,42,21,2,6,0.7644,205,139,66,59,0,0,7,4,0,0,3,0,0,0.0,11.433
pessimistic,150,bramev,42,42,42,22,2,4,0.666,798,592,206,114,0,0,92,40,11,0,40,1,0,0.0,140.317
pessimistic,150,bramev,42,42,42,23,0,4,0.2651,330,252,78,47,0,0,31,18,7,0,6,0,0,0.0,42.417
pessimistic,150,bramev,42,42,42,24,1,4,0.7514,885,675,210,168,0,0,42,20,13,0,9,0,0,0.0,52.067
pessimistic,150,bramev,42,42,42,25,2,6,0.7017,746,528,218,146,0,0,72,24,19,0,29,0,0,0.0,104.217
pessimistic,150,bramev,42,42,42,26,3,5,0.1934,799,613,186,65,0,0,121,48,33,0,38,2,0,0.0,157.042
pessimistic,150,bramev,42,42,42,27,2,4,0.6079,398,265,133,122,0,0,11,5,3,0,3,0,0,0.0,12.85
pessimistic,150,bramev,42,42,42,28,3,4,0.4782,776,636,140,127,0,0,13,5,2,0,6,0,0,0.0,20.017
pessimistic,150,bramev,42,42,42,29,3,5,0.216,733,584,149,80,0,0,69,27,19,0,23,0,0,0.0,88.65
pessimistic,150,bramev,42,42,42,30,1,6,0.4433,950,711,239,128,0,0,111,42,20,0,47,2,0,0.0,166.808
pessimistic,150,bramev,42,42,42,31,2,5,0.6391,394,256,138,87,0,0,51,23,8,0,19,1,0,0.0,72.9
pessimistic,150,bramev,42,42,42,32,0,5,0.3017,172,130,42,34,0,0,8,3,3,0,2,0,0,0.0,9.1
pessimistic,150,bramev,42,42,42,33,1,4,0.6628,164,128,36,25,0,0,11,5,3,0,3,0,0,0.0,16.517
pessimistic,150,bramev,42,42,42,34,0,5,0.3326,175,134,41,40,0,0,1,1,0,0,0,0,0,0.0,1.7
pessimistic,150,bramev,42,42,42,35,0,6,0.4324,415,291,124,76,0,0,48,15,15,0,18,0,0,0.0,59.95
pessimistic,150,bramev,42,42,42,36,3,6,0.2921,352,289,63,53,0,0,10,6,1,0,3,0,0,0.0,17.883
pessimistic,150,bramev,42,42,42,37,0,4,0.4395,890,689,201,163,0,0,38,16,10,0,10,2,0,0.0,48.4
pessimistic,150,bramev,42,42,42,38,3,6,0.4371,953,715,238,221,0,0,17,7,2,0,8,0,0,0.0,27.283
pessimistic,150,bramev,42,42,42,39,1,6,0.6532,376,278,98,70,0,0,28,12,10,0,6,0,0,0.0,30.467
