scenario,nb_cars,method,seed,world_seed,grid_seed,station_id,society_id,nb_charg_spot,alpha,nb_request,nb_rejected_request,nb_offer_issued,nb_offer_expired,nb_confirm_refused,nb_stale_confirm,nb_reservations,nb_pres,nb_no_show,nb_early_canc,nb_late_canc,nb_breakdown_canc,nb_unresolved,occupancy_rate,demand_kwh
pessimistic,50,greedy,42,42,42,0,1,5,0.291,98,0,98,0,0,0,98,46,17,0,33,2,0,0.0,143.917
pessimistic,50,greedy,42,42,42,1,2,5,0.2613,3,0,3,0,0,0,3,1,2,0,0,0,0,0.0,1.9
pessimistic,50,greedy,42,42,42,2,1,5,0.7392,6,0,6,0,0,0,6,2,1,0,3,0,0,0.0,7.5
pessimistic,50,greedy,42,42,42,3,1,5,0.8901,19,0,19,0,0,0,19,6,4,0,9,0,0,0.0,25.85
pessimistic,50,greedy,42,42,42,4,3,5,0.1427,81,0,81,0,0,0,81,32,23,1,24,1,0,0.0,101.592
pessimistic,50,greedy,42,42,42,5,1,4,0.2198,19,0,19,0,0,0,19,4,8,0,7,0,0,0.0,18.333
pessimistic,50,greedy,42,42,42,6,0,6,0.7086,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
pessimistic,50,greedy,42,42,42,7,1,6,0.5708,2,0,2,0,0,0,2,1,0,0,1,0,0,0.0,3.742
pessimistic,50,greedy,42,42,42,8,0,5,0.808,1,0,1,0,0,0,1,0,1,0,0,0,0,0.0,0.0
pessimistic,50,greedy,42,42,42,9,2,4,0.4875,21,0,21,0,0,0,21,9,3,0,9,0,0,0.0,29.275
pessimistic,50,greedy,42,42,42,10,0,5,0.3053,18,0,18,0,0,0,18,9,4,0,5,0,0,0.0,24.925
pessimistic,50,greedy,42,42,42,11,0,4,0.2502,86,0,86,0,0,0,86,35,19,3,29,0,0,0.0,124.225
pessimistic,50,greedy,42,42,42,12,3,6,0.3167,2,0,2,0,0,0,2,1,0,0,1,0,0,0.0,3.683
pessimistic,50,greedy,42,42,42,13,3,4,0.8089,12,0,12,0,0,0,12,6,1,0,4,1,0,0.0,20.525
pessimistic,50,greedy,42,42,42,14,3,4,0.6168,11,0,11,0,0,0,11,6,3,0,2,0,0,0.0,15.583
pessimistic,50,greedy,42,42,42,15,0,5,0.5092,18,0,18,0,0,0,18,10,2,0,6,0,0,0.0,29.4
pessimistic,50,greedy,42,42,42,16,2,6,0.5233,1,0,1,0,0,0,1,0,0,0,1,0,0,0.0,1.542
pessimistic,50,greedy,42,42,42,17,2,4,0.8252,1,0,1,0,0,0,1,0,0,0,1,0,0,0.0,1.4
pessimistic,50,greedy,42,42,42,18,2,5,0.8535,25,0,25,0,0,0,25,10,5,0,10,0,0,0.0,34.925
pessimistic,50,greedy,42,42,42,19,3,6,0.7576,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
pessimistic,50,greedy,42,42,42,20,2,4,0.4983,2,0,2,0,0,0,2,0,1,0,1,0,0,0.0,1.458
pessimistic,50,greedy,42,42,42,21,2,6,0.8027,2,0,2,0,0,0,2,0,0,0,2,0,0,0.0,3.483
pessimistic,50,greedy,42,42,42,22,2,4,0.549,18,0,18,0,0,0,18,9,2,0,7,0,0,0.0,30.658
pessimistic,50,greedy,42,42,42,23,0,4,0.1812,10,0,10,0,0,0,10,4,2,0,4,0,0,0.0,12.367
pessimistic,50,greedy,42,42,42,24,1,4,0.899,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
pessimistic,50,greedy,42,42,42,25,2,6,0.6409,20,0,20,0,0,0,20,11,4,0,5,0,0,0.0,32.942
pessimistic,50,greedy,42,42,42,26,3,5,0.1612,96,0,96,0,0,0,96,48,17,1,30,0,0,0.0,144.167
pessimistic,50,greedy,42,42,42,27,2,4,0.399,6,0,6,0,0,0,6,2,1,0,3,0,0,0.0,7.317
pessimistic,50,greedy,42,42,42,28,3,4,0.8962,19,0,19,0,0,0,19,4,2,0,13,0,0,0.0,31.258
pessimistic,50,greedy,42,42,42,29,3,5,0.2195,12,0,12,0,0,0,12,8,1,0,3,0,0,0.0,19.433
pessimistic,50,greedy,42,42,42,30,1,6,0.1037,13,0,13,0,0,0,13,5,5,0,3,0,0,0.0,12.8
pessimistic,50,greedy,42,42,42,31,2,5,0.4794,19,0,19,0,0,0,19,11,5,0,3,0,0,0.0,22.6
pessimistic,50,greedy,42,42,42,32,0,5,0.2756,12,0,12,0,0,0,12,5,3,0,4,0,0,0.0,14.575
pessimistic,50,greedy,42,42,42,33,1,4,0.6703,3,0,3,0,0,0,3,2,0,0,1,0,0,0.0,5.667
pessimistic,50,greedy,42,42,42,34,0,5,0.3553,3,0,3,0,0,0,3,2,1,0,0,0,0,0.0,3.242
pessimistic,50,greedy,42,42,42,35,0,6,0.6129,5,0,5,0,0,0,5,2,1,0,2,0,0,0.0,7.075
pessimistic,50,greedy,42,42,42,36,3,6,0.4159,8,0,8,0,0,0,8,2,1,0,5,0,0,0.0,10.533
pessimistic,50,greedy,42,42,42,37,0,4,0.6312,1,0,1,0,0,0,1,1,0,0,0,0,0,0.0,1.3
pessimistic,50,greedy,42,42,42,38,3,6,0.7902,5,0,5,0,0,0,5,5,0,0,0,0,0,0.0,9.133
pessimistic,50,greedy,42,42,42,39,1,6,0.6455,3,0,3,0,0,0,3,1,0,0,2,0,0,0.0,4.85
