kind,scenario,nb_cars,metric,metric_label,goal,unit,step,component,from_method,to_method,value_from,value_to,delta,delta_pct,improvement
ladder,balance,100,exact_satisfaction,Satisfaction exacte,up,%,1,Recherche multi-stations,greedy,multistation,0.7741,0.7807,0.0066,0.8526,True
ladder,balance,100,needs_satisfaction,Besoins satisfaits,up,%,1,Recherche multi-stations,greedy,multistation,0.7901,0.797,0.0069,0.8733,True
ladder,balance,100,confirm_rate,Taux de confirmation,up,%,1,Recherche multi-stations,greedy,multistation,0.9969,0.9959,-0.001,-0.1003,False
ladder,balance,100,mean_waiting_time_min,Attente moyenne,down,min,1,Recherche multi-stations,greedy,multistation,2.424,0.264,-2.16,-89.1089,True
ladder,balance,100,mean_travel_distance_km,Distance moyenne,down,km,1,Recherche multi-stations,greedy,multistation,0.2846,0.2913,0.0067,2.3542,False
ladder,balance,100,rate_pres,Taux de présentation,up,%,1,Recherche multi-stations,greedy,multistation,0.6045,0.6039,-0.0006,-0.0993,False
ladder,balance,100,rate_abs,Taux de no-show,down,%,1,Recherche multi-stations,greedy,multistation,0.1843,0.1852,0.0009,0.4883,False
ladder,balance,100,nb_no_show,No-shows,down,,1,Recherche multi-stations,greedy,multistation,179.0,180.0,1.0,0.5587,False
ladder,balance,100,nb_reservations,Réservations confirmées,up,,1,Recherche multi-stations,greedy,multistation,971.0,972.0,1.0,0.103,True
ladder,balance,100,mean_occupancy_rate,Taux d'occupation,up,%,1,Recherche multi-stations,greedy,multistation,0.1329,0.1339,0.001,0.7524,True
ladder,balance,100,mean_service_rate,Taux de service,up,%,1,Recherche multi-stations,greedy,multistation,0.0764,0.0763,-0.0001,-0.1309,False
ladder,balance,100,slot_waste_rate,Slots réservés perdus,down,%,1,Recherche multi-stations,greedy,multistation,0.4272,0.4317,0.0045,1.0534,False
ladder,balance,100,nb_rejected_request,Demandes rejetées,down,,1,Recherche multi-stations,greedy,multistation,1.0,0.0,-1.0,-100.0,True
ladder,balance,100,total_ms_mean,Latence bout-en-bout,down,ms,1,Recherche multi-stations,greedy,multistation,81.021,1048.597,967.576,1194.2287,False
ladder,balance,100,wall_time_s,Temps de calcul,down,s,1,Recherche multi-stations,greedy,multistation,44.358,353.584,309.226,697.1144,False
ladder,balance,100,exact_satisfaction,Satisfaction exacte,up,%,2,Réputation,multistation,multistation_rep,0.7807,0.7807,0.0,0.0,False
ladder,balance,100,needs_satisfaction,Besoins satisfaits,up,%,2,Réputation,multistation,multistation_rep,0.797,0.7975,0.0005,0.0627,True
ladder,balance,100,confirm_rate,Taux de confirmation,up,%,2,Réputation,multistation,multistation_rep,0.9959,0.8837,-0.1122,-11.2662,False
ladder,balance,100,mean_waiting_time_min,Attente moyenne,down,min,2,Réputation,multistation,multistation_rep,0.264,0.15,-0.114,-43.1818,True
ladder,balance,100,mean_travel_distance_km,Distance moyenne,down,km,2,Réputation,multistation,multistation_rep,0.2913,0.3793,0.088,30.2094,False
ladder,balance,100,rate_pres,Taux de présentation,up,%,2,Réputation,multistation,multistation_rep,0.6039,0.6064,0.0025,0.414,True
