scenario,nb_cars,method,seed,world_seed,grid_seed,nb_stations,nb_societies,total_time,wall_time_s,method_label,method_family,broadcast,reputation,adaptation,offer_choice,alpha_mode,reputation_scope,score_weighting,exact_satisfaction,needs_satisfaction,nb_cars_evaluated,mean_travel_distance_km,mean_waiting_time_min,nb_demands,nb_demands_answered,nb_demands_confirmed,answer_rate,confirm_rate,mean_offers_per_demand,first_offer_ms_mean,last_offer_ms_mean,last_offer_ms_p95,selection_ms_mean,confirmation_ms_mean,total_ms_mean,total_ms_p95,mean_confirm_attempts,mean_processing_ms,nb_reservations,nb_pres,nb_no_show,nb_early_canc,nb_late_canc,nb_breakdown_canc,nb_unresolved,rate_pres,rate_abs,rate_early,rate_late,intent_pres,intent_abs,intent_early,intent_late,early_intent_realized_late,mean_lead_slots,nb_offer_issued,nb_offer_expired,nb_confirm_refused,nb_stale_confirm,nb_rejected_request,nb_station_requests,mean_occupancy_rate,mean_service_rate,nb_slots_reserved,nb_slots_served,slot_waste_rate,total_station_demand_kwh,nb_breakdowns,nb_diagnostics,invariant_ok
optimistic,50,greedy,42,42,42,40,4,1440,18.006,Nearest,ablation,False,False,False,utility,sampled,society,duration,0.8789,0.9001,50,0.2859,0.024,444,442,442,0.9955,0.9955,0.995,49.067,49.067,108.392,9.817,0.009,58.893,140.205,1.0,43.847,442,325,45,0,72,0,0,0.7353,0.1018,,0.1629,0.7353,0.1018,0.0882,0.0747,39,0.081,442,0,0,0,0,442,0.0582,0.0409,15795,11109,0.2967,678.884,0,2,True
optimistic,50,multistation,42,42,42,40,4,1440,125.489,Multi-Station Only,ablation,True,False,False,utility,sampled,society,duration,0.879,0.9001,50,0.2859,0.024,444,442,442,0.9955,0.9955,6.155,60.072,417.871,1145.708,18.644,0.013,436.529,1147.435,1.0,47.699,442,325,45,0,72,0,0,0.7353,0.1018,,0.1629,0.7353,0.1018,0.0882,0.0747,39,0.086,2733,2291,0,0,0,2733,0.0582,0.0409,15795,11111,0.2965,678.884,0,2,True
optimistic,50,multistation_rep,42,42,42,40,4,1440,140.981,Multi-Station + Reputation,ablation,True,True,False,utility,sampled,society,duration,0.8712,0.8925,50,0.3306,0.012,517,434,434,0.8395,0.8395,4.28,88.911,444.184,1113.967,34.019,0.014,478.217,1169.709,1.0,47.672,434,320,44,0,70,0,0,0.7373,0.1014,,0.1613,0.7373,0.1014,0.0876,0.0737,38,0.051,2213,1779,0,0,921,3134,0.0567,0.0402,15604,11008,0.2945,668.15,1,2,True
optimistic,50,bramev,42,42,42,40,4,1440,142.794,BRAM-EV Full,ablation,True,True,True,utility,sampled,society,duration,0.8714,0.8925,50,0.3315,0.0,517,434,434,0.8395,0.8395,4.271,90.695,452.775,1117.896,34.812,0.014,487.6,1193.968,1.0,48.21,434,320,44,0,70,0,0,0.7373,0.1014,,0.1613,0.7373,0.1014,0.0876,0.0737,38,0.048,2208,1774,0,0,924,3132,0.0566,0.04,15602,11005,0.2946,668.075,1,2,True
optimistic,100,greedy,42,42,42,40,4,1440,37.603,Nearest,ablation,False,False,False,utility,sampled,society,duration,0.8911,0.9112,100,0.2916,1.692,856,854,854,0.9977,0.9977,0.998,58.73,58.73,143.29,13.904,0.009,72.643,171.549,1.0,47.511,854,639,80,6,129,0,0,0.7482,0.0937,0.007,0.1511,0.7482,0.0937,0.0913,0.0667,72,0.481,854,0,0,1,0,854,0.1142,0.082,31012,22262,0.2821,1338.448,0,1,True
optimistic,100,multistation,42,42,42,40,4,1440,290.627,Multi-Station Only,ablation,True,False,False,utility,sampled,society,duration,0.8954,0.9154,100,0.2933,0.252,852,850,850,0.9977,0.9977,5.952,77.091,837.612,1259.345,213.66,0.013,1051.285,1320.631,1.0,58.422,850,635,80,1,134,0,0,0.7471,0.0941,0.0012,0.1576,0.7471,0.0941,0.0918,0.0671,77,0.188,5071,4221,0,1,0,5071,0.1141,0.0817,31100,22261,0.2842,1341.317,0,1,True
optimistic,100,multistation_rep,42,42,42,40,4,1440,318.361,Multi-Station + Reputation,ablation,True,True,False,utility,sampled,society,duration,0.8906,0.9112,100,0.3398,0.042,947,842,842,0.8891,0.8891,4.534,106.377,866.421,1235.165,231.763,0.013,1098.197,1436.468,1.0,58.313,842,629,79,0,133,0,1,0.747,0.0938,,0.158,0.747,0.0938,0.0926,0.0665,77,0.127,4294,3452,0,0,1378,5672,0.1121,0.0801,30839,22046,0.2851,1327.977,1,2,True
optimistic,100,bramev,42,42,42,40,4,1440,322.021,BRAM-EV Full,ablation,True,True,True,utility,sampled,society,duration,0.8909,0.9115,100,0.3391,0.024,936,842,842,0.8996,0.8996,4.594,110.771,884.772,1413.769,233.971,0.013,1118.756,1479.987,1.0,59.216,842,628,79,0,133,0,2,0.7458,0.0938,,0.158,0.747,0.0938,0.0926,0.0665,77,0.132,4300,3458,0,0,1344,5644,0.1124,0.0802,30859,22067,0.2849,1329.085,1,2,True
optimistic,150,greedy,42,42,42,40,4,1440,52.363,Nearest,ablation,False,False,False,utility,sampled,society,duration,0.8618,0.8827,150,0.2865,7.77,1319,1302,1302,0.9871,0.9871,0.987,68.446,68.446,167.787,26.678,0.008,95.131,203.45,1.0,46.939,1302,981,123,19,179,0,0,0.7535,0.0945,0.0146,0.1375,0.7535,0.0945,0.0922,0.0599,101,1.85,1302,0,0,2,12,1314,0.165,0.1197,44766,32520,0.2736,1969.166,0,0,True
optimistic,150,multistation,42,42,42,40,4,1440,574.275,Multi-Station Only,ablation,True,False,False,utility,sampled,society,duration,0.8931,0.9132,150,0.2997,0.396,1270,1267,1267,0.9976,0.9976,6.064,393.823,3022.337,1487.545,613.235,0.012,3635.584,1517.552,1.0,72.751,1267,953,120,1,193,0,0,0.7522,0.0947,0.0008,0.1523,0.7522,0.0947,0.0931,0.06,117,0.251,7701,6434,0,0,2,7703,0.1668,0.1198,45370,32680,0.2797,1995.924,0,1,True
