scenario,nb_cars,method,seed,world_seed,grid_seed,society_id,station_id,update_step,alpha
balance,100,bramev,42,42,42,0,6,0,0.708626
balance,100,bramev,42,42,42,0,6,1,0.662787
balance,100,bramev,42,42,42,0,6,2,0.621533
balance,100,bramev,42,42,42,0,6,3,0.584404
balance,100,bramev,42,42,42,0,6,4,0.550988
balance,100,bramev,42,42,42,0,6,5,0.545907
balance,100,bramev,42,42,42,0,6,6,0.522089
balance,100,bramev,42,42,42,0,6,7,0.497728
balance,100,bramev,42,42,42,0,6,8,0.475804
balance,100,bramev,42,42,42,0,6,9,0.456072
balance,100,bramev,42,42,42,0,8,0,0.80801
balance,100,bramev,42,42,42,0,8,1,0.752233
balance,100,bramev,42,42,42,0,8,2,0.702034
balance,100,bramev,42,42,42,0,8,3,0.656855
balance,100,bramev,42,42,42,0,8,4,0.616194
balance,100,bramev,42,42,42,0,8,5,0.604592
balance,100,bramev,42,42,42,0,8,6,0.574906
balance,100,bramev,42,42,42,0,8,7,0.545264
balance,100,bramev,42,42,42,0,8,8,0.518586
balance,100,bramev,42,42,42,0,8,9,0.494576
balance,100,bramev,42,42,42,0,10,0,0.305265
balance,100,bramev,42,42,42,0,10,1,0.299763
balance,100,bramev,42,42,42,0,10,2,0.294811
balance,100,bramev,42,42,42,0,10,3,0.290354
balance,100,bramev,42,42,42,0,10,4,0.286343
balance,100,bramev,42,42,42,0,10,5,0.307726
balance,100,bramev,42,42,42,0,10,6,0.307726
balance,100,bramev,42,42,42,0,10,7,0.304802
balance,100,bramev,42,42,42,0,10,8,0.30217
balance,100,bramev,42,42,42,0,10,9,0.299802
balance,100,bramev,42,42,42,0,11,0,0.250242
balance,100,bramev,42,42,42,0,11,1,0.250242
balance,100,bramev,42,42,42,0,11,2,0.250242
balance,100,bramev,42,42,42,0,11,3,0.250242
balance,100,bramev,42,42,42,0,11,4,0.250242
balance,100,bramev,42,42,42,0,11,5,0.275236
balance,100,bramev,42,42,42,0,11,6,0.278485
balance,100,bramev,42,42,42,0,11,7,0.278485
balance,100,bramev,42,42,42,0,11,8,0.278485
balance,100,bramev,42,42,42,0,11,9,0.278485
balance,100,bramev,42,42,42,0,15,0,0.509227
balance,100,bramev,42,42,42,0,15,1,0.483328
balance,100,bramev,42,42,42,0,15,2,0.46002
balance,100,bramev,42,42,42,0,15,3,0.439042
balance,100,bramev,42,42,42,0,15,4,0.420162
balance,100,bramev,42,42,42,0,15,5,0.428164
balance,100,bramev,42,42,42,0,15,6,0.41612
balance,100,bramev,42,42,42,0,15,7,0.402357
balance,100,bramev,42,42,42,0,15,8,0.389969
balance,100,bramev,42,42,42,0,15,9,0.378821
balance,100,bramev,42,42,42,0,23,0,0.181183
balance,100,bramev,42,42,42,0,23,1,0.188089
balance,100,bramev,42,42,42,0,23,2,0.194304
balance,100,bramev,42,42,42,0,23,3,0.199898
balance,100,bramev,42,42,42,0,23,4,0.204932
balance,100,bramev,42,42,42,0,23,5,0.234457
balance,100,bramev,42,42,42,0,23,6,0.241784
balance,100,bramev,42,42,42,0,23,7,0.245454
balance,100,bramev,42,42,42,0,23,8,0.248757
balance,100,bramev,42,42,42,0,23,9,0.25173
balance,100,bramev,42,42,42,0,32,0,0.275578
balance,100,bramev,42,42,42,0,32,1,0.273045
balance,100,bramev,42,42,42,0,32,2,0.270764
balance,100,bramev,42,42,42,0,32,3,0.268712
balance,100,bramev,42,42,42,0,32,4,0.266865
balance,100,bramev,42,42,42,0,32,5,0.290197
balance,100,bramev,42,42,42,0,32,6,0.29195
balance,100,bramev,42,42,42,0,32,7,0.290603
balance,100,bramev,42,42,42,0,32,8,0.289391
balance,100,bramev,42,42,42,0,32,9,0.288301
balance,100,bramev,42,42,42,0,34,0,0.355302
balance,100,bramev,42,42,42,0,34,1,0.344796
balance,100,bramev,42,42,42,0,34,2,0.33534
balance,100,bramev,42,42,42,0,34,3,0.326831
balance,100,bramev,42,42,42,0,34,4,0.319172
balance,100,bramev,42,42,42,0,34,5,0.337273
balance,100,bramev,42,42,42,0,34,6,0.334318
balance,100,bramev,42,42,42,0,34,7,0.328735
balance,100,bramev,42,42,42,0,34,8,0.32371
balance,100,bramev,42,42,42,0,34,9,0.319187
balance,100,bramev,42,42,42,0,35,0,0.612853
balance,100,bramev,42,42,42,0,35,1,0.576592
balance,100,bramev,42,42,42,0,35,2,0.543957
balance,100,bramev,42,42,42,0,35,3,0.514586
balance,100,bramev,42,42,42,0,35,4,0.488151
balance,100,bramev,42,42,42,0,35,5,0.489354
balance,100,bramev,42,42,42,0,35,6,0.471191
balance,100,bramev,42,42,42,0,35,7,0.451921
balance,100,bramev,42,42,42,0,35,8,0.434577
balance,100,bramev,42,42,42,0,35,9,0.418968
balance,100,bramev,42,42,42,0,37,0,0.631187
balance,100,bramev,42,42,42,0,37,1,0.593093
balance,100,bramev,42,42,42,0,37,2,0.558808
balance,100,bramev,42,42,42,0,37,3,0.527951
balance,100,bramev,42,42,42,0,37,4,0.50018
balance,100,bramev,42,42,42,0,37,5,0.50018
balance,100,bramev,42,42,42,0,37,6,0.480935
balance,100,bramev,42,42,42,0,37,7,0.46069
balance,100,bramev,42,42,42,0,37,8,0.442469
balance,100,bramev,42,42,42,0,37,9,0.426071
balance,100,bramev,42,42,42,1,0,0,0.290955
balance,100,bramev,42,42,42,1,0,1,0.350869
balance,100,bramev,42,42,42,1,0,2,0.350869
balance,100,bramev,42,42,42,1,0,3,0.350869
balance,100,bramev,42,42,42,1,0,4,0.350869
balance,100,bramev,42,42,42,1,0,5,0.390178
balance,100,bramev,42,42,42,1,0,6,0.379122
balance,100,bramev,42,42,42,1,0,7,0.379122
balance,100,bramev,42,42,42,1,0,8,0.379122
balance,100,bramev,42,42,42,1,0,9,0.379122
balance,100,bramev,42,42,42,1,2,0,0.739154
balance,100,bramev,42,42,42,1,2,1,0.754248
balance,100,bramev,42,42,42,1,2,2,0.71391
balance,100,bramev,42,42,42,1,2,3,0.677606
balance,100,bramev,42,42,42,1,2,4,0.644932
balance,100,bramev,42,42,42,1,2,5,0.654836
balance,100,bramev,42,42,42,1,2,6,0.617314
balance,100,bramev,42,42,42,1,2,7,0.593495
balance,100,bramev,42,42,42,1,2,8,0.572058
balance,100,bramev,42,42,42,1,2,9,0.552764
balance,100,bramev,42,42,42,1,3,0,0.890094
balance,100,bramev,42,42,42,1,3,1,0.890094
balance,100,bramev,42,42,42,1,3,2,0.836171
balance,100,bramev,42,42,42,1,3,3,0.787641
balance,100,bramev,42,42,42,1,3,4,0.743964
balance,100,bramev,42,42,42,1,3,5,0.743964
balance,100,bramev,42,42,42,1,3,6,0.697529
balance,100,bramev,42,42,42,1,3,7,0.665689
balance,100,bramev,42,42,42,1,3,8,0.637032
balance,100,bramev,42,42,42,1,3,9,0.611241
balance,100,bramev,42,42,42,1,5,0,0.219847
balance,100,bramev,42,42,42,1,5,1,0.286871
balance,100,bramev,42,42,42,1,5,2,0.293271
balance,100,bramev,42,42,42,1,5,3,0.299031
balance,100,bramev,42,42,42,1,5,4,0.304215
balance,100,bramev,42,42,42,1,5,5,0.34819
balance,100,bramev,42,42,42,1,5,6,0.341333
balance,100,bramev,42,42,42,1,5,7,0.345112
balance,100,bramev,42,42,42,1,5,8,0.348513
balance,100,bramev,42,42,42,1,5,9,0.351574
balance,100,bramev,42,42,42,1,7,0,0.57078
balance,100,bramev,42,42,42,1,7,1,0.602712
balance,100,bramev,42,42,42,1,7,2,0.577527
balance,100,bramev,42,42,42,1,7,3,0.554861
balance,100,bramev,42,42,42,1,7,4,0.534462
balance,100,bramev,42,42,42,1,7,5,0.555412
balance,100,bramev,42,42,42,1,7,6,0.527833
balance,100,bramev,42,42,42,1,7,7,0.512962
balance,100,bramev,42,42,42,1,7,8,0.499578
balance,100,bramev,42,42,42,1,7,9,0.487532
balance,100,bramev,42,42,42,1,24,0,0.89897
balance,100,bramev,42,42,42,1,24,1,0.898082
balance,100,bramev,42,42,42,1,24,2,0.843361
balance,100,bramev,42,42,42,1,24,3,0.794112
balance,100,bramev,42,42,42,1,24,4,0.749787
balance,100,bramev,42,42,42,1,24,5,0.749205
balance,100,bramev,42,42,42,1,24,6,0.702246
balance,100,bramev,42,42,42,1,24,7,0.669934
