scenario,nb_cars,method,seed,world_seed,grid_seed,station_id,society_id,nb_charg_spot,alpha,score_index,score_weighting,nb_request,nb_rejected_request,nb_offer_issued,nb_offer_expired,nb_confirm_refused,nb_stale_confirm,nb_reservations,nb_pres,nb_no_show,nb_early_canc,nb_late_canc,nb_breakdown_canc,nb_unresolved,nb_slots_reserved,nb_slots_served,occupancy_rate,service_rate,demand_kwh
balance,100,bramev,42,42,42,0,1,5,0.3791,1,duration,220,111,109,36,0,0,73,39,11,0,23,0,0,2792,1343,0.3878,0.1865,112.975
balance,100,bramev,42,42,42,1,2,5,0.4917,2,duration,264,88,176,164,0,0,12,7,3,0,1,1,0,489,249,0.0679,0.0346,13.417
balance,100,bramev,42,42,42,2,1,5,0.5528,1,duration,112,51,61,56,0,0,5,4,1,0,0,0,0,165,112,0.0229,0.0156,6.308
balance,100,bramev,42,42,42,3,1,5,0.6112,1,duration,240,105,135,95,0,0,40,25,5,0,10,0,0,1423,806,0.1976,0.1119,62.633
balance,100,bramev,42,42,42,4,3,5,0.2167,3,duration,231,88,143,80,0,0,63,43,10,0,10,0,0,2241,1439,0.3113,0.1999,93.583
balance,100,bramev,42,42,42,5,1,4,0.3516,1,duration,109,48,61,51,0,0,10,3,2,0,5,0,0,344,94,0.0597,0.0163,13.9
balance,100,bramev,42,42,42,6,0,6,0.4561,0,duration,95,22,73,70,0,0,3,2,0,0,1,0,0,86,43,0.01,0.005,3.792
balance,100,bramev,42,42,42,7,1,6,0.4875,1,duration,109,53,56,48,0,0,8,5,0,0,3,0,0,282,188,0.0326,0.0218,15.208
balance,100,bramev,42,42,42,8,0,5,0.4946,0,duration,118,25,93,89,0,0,4,3,0,0,1,0,0,137,106,0.019,0.0147,7.333
balance,100,bramev,42,42,42,9,2,4,0.5794,2,duration,240,79,161,132,0,0,29,17,4,0,8,0,0,1012,536,0.1757,0.0931,43.325
balance,100,bramev,42,42,42,10,0,5,0.2998,0,duration,123,27,96,61,0,0,35,18,5,0,11,1,0,1364,692,0.1894,0.0961,51.217
balance,100,bramev,42,42,42,11,0,4,0.2785,0,duration,238,71,167,67,0,0,100,62,21,0,15,2,0,3783,2184,0.6568,0.3792,133.017
balance,100,bramev,42,42,42,12,3,6,0.2841,3,duration,250,86,164,151,0,0,13,6,4,0,3,0,0,411,179,0.0476,0.0207,15.575
balance,100,bramev,42,42,42,13,3,4,0.4748,3,duration,112,31,81,60,0,0,21,17,3,0,1,0,0,755,553,0.1311,0.096,30.133
balance,100,bramev,42,42,42,14,3,4,0.4004,3,duration,233,85,148,120,0,0,28,20,1,0,7,0,0,979,687,0.17,0.1193,46.2
balance,100,bramev,42,42,42,15,0,5,0.3788,0,duration,114,35,79,52,0,0,27,16,5,0,6,0,0,1021,581,0.1418,0.0807,38.808
balance,100,bramev,42,42,42,16,2,6,0.5932,2,duration,112,38,74,71,0,0,3,1,1,0,1,0,0,96,4,0.0111,0.0005,2.117
balance,100,bramev,42,42,42,17,2,4,0.7102,2,duration,152,43,109,92,0,0,17,8,5,0,4,0,0,666,328,0.1156,0.0569,21.067
balance,100,bramev,42,42,42,18,2,5,0.7212,2,duration,155,46,109,79,0,0,30,16,6,0,8,0,0,1249,569,0.1735,0.079,42.717
balance,100,bramev,42,42,42,19,3,6,0.4549,3,duration,108,36,72,62,0,0,10,6,3,0,1,0,0,341,221,0.0395,0.0256,11.892
balance,100,bramev,42,42,42,20,2,4,0.5835,2,duration,177,53,124,120,0,0,4,2,1,0,1,0,0,155,81,0.0269,0.0141,5.292
balance,100,bramev,42,42,42,21,2,6,0.7015,2,duration,72,19,53,48,0,0,5,2,2,0,1,0,0,160,53,0.0185,0.0061,3.992
balance,100,bramev,42,42,42,22,2,4,0.6032,2,duration,224,74,150,96,0,0,54,25,13,0,14,2,0,2184,900,0.3792,0.1562,70.858
balance,100,bramev,42,42,42,23,0,4,0.2517,0,duration,114,35,79,57,0,0,22,16,4,0,2,0,0,912,621,0.1583,0.1078,32.8
balance,100,bramev,42,42,42,24,1,4,0.6147,1,duration,273,113,160,155,0,0,5,1,2,0,2,0,0,186,50,0.0323,0.0087,5.258
balance,100,bramev,42,42,42,25,2,6,0.6388,2,duration,225,96,129,97,0,0,32,21,5,0,6,0,0,1194,730,0.1382,0.0845,47.275
balance,100,bramev,42,42,42,26,3,5,0.2239,3,duration,222,79,143,53,0,0,90,60,20,0,10,0,0,3242,2079,0.4503,0.2888,119.867
balance,100,bramev,42,42,42,27,2,4,0.5451,2,duration,114,39,75,66,0,0,9,7,1,0,1,0,0,325,247,0.0564,0.0429,12.933
balance,100,bramev,42,42,42,28,3,4,0.5086,3,duration,226,94,132,114,0,0,18,10,2,0,6,0,0,662,333,0.1149,0.0578,28.442
