scenario,nb_cars,method,seed,world_seed,grid_seed,kind,label,count,rate
balance,100,greedy,42,42,42,observed,abs,179,0.1843
balance,100,greedy,42,42,42,observed,breakdown,11,0.0113
balance,100,greedy,42,42,42,observed,early,8,0.0082
balance,100,greedy,42,42,42,observed,late,186,0.1916
balance,100,greedy,42,42,42,observed,pres,587,0.6045
balance,100,greedy,42,42,42,intent,abs,190,0.1957
balance,100,greedy,42,42,42,intent,early,119,0.1226
balance,100,greedy,42,42,42,intent,late,75,0.0772
balance,100,greedy,42,42,42,intent,pres,587,0.6045
balance,100,greedy,42,42,42,reclassified,early->late,111,
