scenario,nb_cars,method,seed,world_seed,grid_seed,kind,label,count,rate
balance,150,bramev,42,42,42,observed,abs,282,0.1925
balance,150,bramev,42,42,42,observed,breakdown,11,0.0075
balance,150,bramev,42,42,42,observed,early,3,0.002
balance,150,bramev,42,42,42,observed,late,284,0.1939
balance,150,bramev,42,42,42,observed,pres,885,0.6041
balance,150,bramev,42,42,42,intent,abs,293,0.2
balance,150,bramev,42,42,42,intent,early,178,0.1215
balance,150,bramev,42,42,42,intent,late,109,0.0744
balance,150,bramev,42,42,42,intent,pres,885,0.6041
balance,150,bramev,42,42,42,reclassified,early->late,175,
