scenario,nb_cars,method,seed,world_seed,grid_seed,demand_id,car_id,slot,nb_stations,nb_offers,confirmed,confirm_attempts,first_offer_ms,last_offer_ms,selection_ms,confirmation_ms,total_ms
balance,150,multistation,42,42,42,t00000-c00008,8,0,6,6,True,1,551.2068340030964,114513.95945900003,106335.1180000027,0.023250002413988113,220849.10070900514
balance,150,multistation,42,42,42,t00000-c00020,20,0,10,10,True,1,925.9312080030213,220061.32812500437,787.8061669980525,0.008124996384140104,220849.1424169988
balance,150,multistation,42,42,42,t00000-c00024,24,0,12,12,True,1,925.8954580000136,220848.97150000324,0.16208300075959414,0.006082998879719526,220849.13966600288
balance,150,multistation,42,42,42,t00000-c00025,25,0,5,5,True,1,78531.77054099797,220848.93454099802,0.18520899902796373,0.00470800296170637,220849.124458
balance,150,multistation,42,42,42,t00000-c00033,33,0,5,5,True,1,551.0514580018935,114513.80416599568,106335.31550000043,0.004250003257766366,220849.12391599937
balance,150,multistation,42,42,42,t00000-c00034,34,0,6,6,True,1,1108.931709000899,220237.33883399836,611.7702080009622,0.004832996637560427,220849.11387499596
balance,150,multistation,42,42,42,t00000-c00048,48,0,7,7,True,1,1108.8987909970456,114513.73899999453,106335.36204100528,0.004292000085115433,220849.1053329999
balance,150,multistation,42,42,42,t00000-c00059,59,0,6,6,True,1,78531.63812499406,220848.80229099508,0.2882920016418211,0.00404199818149209,220849.0946249949
balance,150,multistation,42,42,42,t00000-c00068,68,0,6,6,True,1,1108.8362500013318,220237.24312500417,611.8372079945402,0.0039590013329871,220849.08429200004
balance,150,multistation,42,42,42,t00000-c00092,92,0,9,9,True,1,925.6628340008319,220848.74033399683,0.3322500051581301,0.004499997885432094,220849.07708399987
balance,150,multistation,42,42,42,t00000-c00099,99,0,5,5,True,1,1486.5368339960696,113839.9847499968,107009.07683400146,0.004749999789055437,220849.06633399805
balance,150,multistation,42,42,42,t00000-c00104,104,0,6,6,True,1,1486.5059580042725,220237.14933299925,611.9020420010202,0.003749999450519681,220849.05512499972
balance,150,multistation,42,42,42,t00000-c00106,106,0,7,7,True,1,78531.4840830033,220848.6484170062,0.3924999982700683,0.0038750004023313522,220849.04479200486
balance,150,multistation,42,42,42,t00000-c00114,114,0,7,7,True,1,1332.179625002027,220237.08912500297,611.9394159977674,0.004084002284798771,220849.03262500302
balance,150,multistation,42,42,42,t00000-c00121,121,0,6,6,True,1,550.7357919996139,114711.82216699526,106137.19475000107,0.0041669991333037615,220849.02108399547
balance,150,multistation,42,42,42,t00000-c00122,122,0,4,4,True,1,79065.71804199484,113839.83179200004,107009.17258299887,0.0035420016502030194,220849.00791700056
balance,150,multistation,42,42,42,t00000-c00143,143,0,3,3,True,1,550.6763750017853,113743.05508399993,107105.93804100063,0.0033339965739287436,220848.99645899714
balance,150,multistation,42,42,42,t00000-c00146,146,0,7,7,True,1,78531.32674999506,220848.490999997,0.4862909991061315,0.003792003553826362,220848.98108299967
balance,150,multistation,42,42,42,t00001-c00025,25,1,5,5,True,1,58.31216699880315,394.259749999037,0.019334001990500838,0.0176659959834069,394.2967499970109
balance,150,multistation,42,42,42,t00007-c00077,77,7,9,9,True,1,55.079208999814,389.8025000016787,0.02316699828952551,0.01708300260361284,389.84275000257185
balance,150,multistation,42,42,42,t00009-c00047,47,9,7,7,True,1,30.62191700155381,300.73724999965634,0.019416998839005828,0.015666002582293004,300.77233300107764
balance,150,multistation,42,42,42,t00010-c00047,47,10,3,3,True,1,26.707791002991144,101.96325000288198,0.01479100319556892,0.010791998647619039,101.98883300472517
balance,150,multistation,42,42,42,t00011-c00019,19,11,15,15,True,1,76.79962499969406,791.1492909988738,0.02349999704165384,0.018792001355905086,791.1915829972713
balance,150,multistation,42,42,42,t00011-c00047,47,11,3,3,True,1,24.880334000044968,593.1969169978402,198.04275000205962,0.006082998879719526,791.2457499987795
balance,150,multistation,42,42,42,t00012-c00019,19,12,11,11,True,1,80.26504100416787,888.7052080026479,69.29308299731929,0.018667000404093415,958.0169580003712
balance,150,multistation,42,42,42,t00012-c00135,135,12,4,4,True,1,120.84399999730522,957.9272920018411,0.13070800196146592,0.007291993824765086,958.0652919976274
balance,150,multistation,42,42,42,t00015-c00081,81,15,5,5,True,1,85.49058400240028,460.74741699703736,0.01912500010803342,0.01424999936716631,460.78079199651256
balance,150,multistation,42,42,42,t00015-c00111,111,15,4,4,True,1,65.15358299657237,429.144499998074,31.663375004427508,0.006124995707068592,460.8139999982086
