scenario,nb_cars,method,seed,world_seed,grid_seed,demand_id,car_id,slot,nb_stations,nb_offers,confirmed,confirm_attempts,first_offer_ms,last_offer_ms,selection_ms,confirmation_ms,total_ms
balance,200,bramev,42,42,42,t00000-c00008,8,0,6,6,True,1,300038.63662500225,1113392.1390830001,303502.45225000253,0.028458998713176697,1416894.6197920013
balance,200,bramev,42,42,42,t00000-c00020,20,0,10,10,True,1,300547.00149999553,1115968.427832995,300926.2300830014,0.008125003660097718,1416894.6660410003
balance,200,bramev,42,42,42,t00000-c00024,24,0,12,12,True,1,300546.9612079978,1416894.4782079998,0.17429199942853302,0.006082998879719526,1416894.658582998
balance,200,bramev,42,42,42,t00000-c00025,25,0,5,5,True,1,382665.6204589963,1416894.439249998,0.1972090030903928,0.004499997885432094,1416894.6409589988
balance,200,bramev,42,42,42,t00000-c00033,33,0,5,5,True,1,300038.47966600006,1113391.981832996,303502.65683300677,0.003999994078185409,1416894.6426659967
balance,200,bramev,42,42,42,t00000-c00034,34,0,6,6,True,1,300750.2518750043,1116843.2728330009,300051.3569590039,0.004415996954776347,1416894.6342080017
balance,200,bramev,42,42,42,t00000-c00048,48,0,7,7,True,1,300750.22095799795,1113391.9200829987,303502.6992089988,0.003958004526793957,1416894.623250002
balance,200,bramev,42,42,42,t00000-c00059,59,0,6,6,True,1,382665.49533299985,1416894.3144169971,0.2935410011559725,0.003334003849886358,1416894.611292002
balance,200,bramev,42,42,42,t00000-c00068,68,0,6,6,True,1,300750.16066699754,1116843.1808749957,300051.41483400075,0.0040000013541430235,1416894.5997089976
balance,200,bramev,42,42,42,t00000-c00092,92,0,9,9,True,1,300546.7350830004,1416894.253874998,0.33237499883398414,0.003916000423487276,1416894.5901659972
balance,200,bramev,42,42,42,t00000-c00099,99,0,5,5,True,1,302209.21624999755,1112168.9627079978,304725.6117500001,0.003917004505638033,1416894.5783750024
balance,200,bramev,42,42,42,t00000-c00104,104,0,6,6,True,1,302209.1852500016,1116843.088374997,300051.47187499824,0.0032090028980746865,1416894.5634589982
balance,200,bramev,42,42,42,t00000-c00106,106,0,7,7,True,1,382665.34179199516,1416894.1610830007,0.3847089974442497,0.003749999450519681,1416894.5495419975
balance,200,bramev,42,42,42,t00000-c00114,114,0,7,7,True,1,301415.2527920014,1116843.027875002,300051.50712499744,0.0035420016502030194,1416894.538542001
balance,200,bramev,42,42,42,t00000-c00121,121,0,6,6,True,1,300038.17395799706,1113589.029416995,303305.4950000005,0.0035410048440098763,1416894.5279580003
balance,200,bramev,42,42,42,t00000-c00122,122,0,4,4,True,1,673653.9730000005,1112168.8169589979,304725.69691600074,0.0030000010156072676,1416894.5168749997
balance,200,bramev,42,42,42,t00000-c00143,143,0,3,3,True,1,300038.12325000035,1112020.7681250032,304873.736249996,0.00325000291923061,1416894.507625002
balance,200,bramev,42,42,42,t00000-c00146,146,0,7,7,True,1,382665.20687499724,1416894.0263330005,0.46925000060582533,0.003374996595084667,1416894.4989579977
balance,200,bramev,42,42,42,t00000-c00151,151,0,6,6,True,1,300749.87249999685,1116842.894417001,300051.5902499974,0.0033329997677356005,1416894.487999998
balance,200,bramev,42,42,42,t00000-c00154,154,0,6,6,True,1,302208.9659999983,1116842.8692500019,300051.6054999971,0.0033329997677356005,1416894.478082999
balance,200,bramev,42,42,42,t00000-c00166,166,0,7,7,True,1,301415.06795799796,1112168.6856660016,304725.7812500029,0.003458997525740415,1416894.4703750021
balance,200,bramev,42,42,42,t00000-c00178,178,0,6,6,True,1,300037.9912090066,1113391.4927090008,303502.96516600065,0.0032090028980746865,1416894.4610840045
balance,200,bramev,42,42,42,t00000-c00191,191,0,12,12,True,1,300546.37083399575,1416893.8909589997,0.5577080009970814,0.003916997229680419,1416894.452583998
balance,200,bramev,42,42,42,t00000-c00196,196,0,6,6,True,1,300037.9355410041,1113391.4367910037,303503.00362500275,0.0032089956221170723,1416894.4436250022
balance,200,bramev,42,42,42,t00001-c00025,25,1,5,5,True,1,58.65404100040905,355.0157499994384,0.01945799886016175,0.017250000382773578,355.05245799868135
balance,200,bramev,42,42,42,t00003-c00160,160,3,7,7,True,1,34.03437500674045,186.56295800610678,0.02833299367921427,0.015167002857197076,186.6064580026432
balance,200,bramev,42,42,42,t00006-c00179,179,6,10,10,True,1,51.196375003200956,437.6503750027041,0.03095899592153728,0.014833000022917986,437.69616699864855
