scenario,nb_cars,method,seed,world_seed,grid_seed,kind,label,count,rate
balance,200,multistation,42,42,42,observed,abs,381,0.1939
balance,200,multistation,42,42,42,observed,breakdown,21,0.0107
balance,200,multistation,42,42,42,observed,early,12,0.0061
balance,200,multistation,42,42,42,observed,late,381,0.1939
balance,200,multistation,42,42,42,observed,pres,1168,0.5944
balance,200,multistation,42,42,42,observed,unresolved,2,0.001
balance,200,multistation,42,42,42,intent,abs,402,0.2046
balance,200,multistation,42,42,42,intent,early,239,0.1216
balance,200,multistation,42,42,42,intent,late,155,0.0789
balance,200,multistation,42,42,42,intent,pres,1169,0.5949
balance,200,multistation,42,42,42,reclassified,early->late,226,
