scenario,nb_cars,method,seed,world_seed,grid_seed,station_id,society_id,nb_charg_spot,alpha,score_index,score_weighting,nb_request,nb_rejected_request,nb_offer_issued,nb_offer_expired,nb_confirm_refused,nb_stale_confirm,nb_reservations,nb_pres,nb_no_show,nb_early_canc,nb_late_canc,nb_breakdown_canc,nb_unresolved,nb_slots_reserved,nb_slots_served,occupancy_rate,service_rate,demand_kwh
balance,200,multistation,42,42,42,0,1,5,0.291,1,duration,406,5,401,198,0,0,203,119,36,4,43,1,0,7329,4184,1.0179,0.5811,292.042
balance,200,multistation,42,42,42,1,2,5,0.2613,2,duration,470,0,470,459,0,0,11,8,1,0,2,0,0,473,311,0.0657,0.0432,19.2
balance,200,multistation,42,42,42,2,1,5,0.7392,1,duration,220,0,220,208,0,0,12,9,2,0,1,0,0,366,254,0.0508,0.0353,16.875
balance,200,multistation,42,42,42,3,1,5,0.8901,1,duration,437,0,437,332,0,0,105,70,13,0,19,3,0,3799,2275,0.5276,0.316,151.408
balance,200,multistation,42,42,42,4,3,5,0.1427,3,duration,412,0,412,244,0,0,168,90,45,3,28,2,0,6179,3172,0.8582,0.4406,222.258
balance,200,multistation,42,42,42,5,1,4,0.2198,1,duration,212,0,212,185,0,0,27,17,4,0,4,2,0,1009,618,0.1752,0.1073,35.225
balance,200,multistation,42,42,42,6,0,6,0.7086,0,duration,162,0,162,155,0,0,7,4,1,0,2,0,0,230,129,0.0266,0.0149,10.433
balance,200,multistation,42,42,42,7,1,6,0.5708,1,duration,224,0,224,214,0,0,10,7,0,0,3,0,0,430,290,0.0498,0.0336,20.325
balance,200,multistation,42,42,42,8,0,5,0.808,0,duration,208,0,208,207,0,0,1,0,0,0,1,0,0,37,0,0.0051,0.0,1.85
balance,200,multistation,42,42,42,9,2,4,0.4875,2,duration,429,0,429,368,0,0,61,35,13,0,11,2,0,2150,1042,0.3733,0.1809,79.558
balance,200,multistation,42,42,42,10,0,5,0.3053,0,duration,222,0,222,166,0,0,56,33,9,0,13,1,0,1852,1003,0.2572,0.1393,78.033
balance,200,multistation,42,42,42,11,0,4,0.2502,0,duration,422,1,421,255,0,0,166,99,29,1,35,2,0,6038,3279,1.0483,0.5693,242.983
