scenario,nb_cars,method,seed,world_seed,grid_seed,station_id,society_id,nb_charg_spot,alpha,score_index,score_weighting,nb_request,nb_rejected_request,nb_offer_issued,nb_offer_expired,nb_confirm_refused,nb_stale_confirm,nb_reservations,nb_pres,nb_no_show,nb_early_canc,nb_late_canc,nb_breakdown_canc,nb_unresolved,nb_slots_reserved,nb_slots_served,occupancy_rate,service_rate,demand_kwh
balance,250,multistation_rep,42,42,42,0,1,5,0.291,1,duration,599,283,316,138,0,0,178,109,30,3,35,1,0,6885,4005,0.9563,0.5563,264.375
balance,250,multistation_rep,42,42,42,1,2,5,0.2613,2,duration,585,189,396,373,0,0,23,16,4,0,3,0,0,876,568,0.1217,0.0789,33.792
balance,250,multistation_rep,42,42,42,2,1,5,0.7392,1,duration,284,113,171,156,0,0,15,10,3,0,2,0,0,450,256,0.0625,0.0356,19.233
balance,250,multistation_rep,42,42,42,3,1,5,0.8901,1,duration,598,243,355,235,0,0,120,75,22,0,23,0,0,3954,2364,0.5492,0.3283,158.775
balance,250,multistation_rep,42,42,42,4,3,5,0.1427,3,duration,519,193,326,180,0,0,146,90,26,2,27,1,0,5418,3093,0.7525,0.4296,217.908
balance,250,multistation_rep,42,42,42,5,1,4,0.2198,1,duration,343,151,192,151,0,0,41,31,4,0,6,0,0,1659,1224,0.288,0.2125,65.983
balance,250,multistation_rep,42,42,42,6,0,6,0.7086,0,duration,232,59,173,169,0,0,4,2,2,0,0,0,0,137,68,0.0159,0.0079,3.292
balance,250,multistation_rep,42,42,42,7,1,6,0.5708,1,duration,286,113,173,149,0,0,24,15,3,0,5,1,0,779,479,0.0902,0.0554,34.217
balance,250,multistation_rep,42,42,42,8,0,5,0.808,0,duration,270,80,190,167,0,0,23,11,8,0,4,0,0,832,411,0.1156,0.0571,28.65
balance,250,multistation_rep,42,42,42,9,2,4,0.4875,2,duration,549,171,378,310,0,0,68,36,15,0,17,0,0,2559,1205,0.4443,0.2092,94.792
balance,250,multistation_rep,42,42,42,10,0,5,0.3053,0,duration,280,83,197,136,0,1,61,35,9,0,16,1,0,2085,1041,0.2896,0.1446,91.242
balance,250,multistation_rep,42,42,42,11,0,4,0.2502,0,duration,606,198,408,238,0,0,170,104,42,7,17,0,0,5895,3495,1.0234,0.6068,220.892
balance,250,multistation_rep,42,42,42,12,3,6,0.3167,3,duration,609,245,364,325,0,0,39,19,7,0,12,1,0,1411,580,0.1633,0.0671,52.517
balance,250,multistation_rep,42,42,42,13,3,4,0.8089,3,duration,302,114,188,138,0,0,50,26,10,0,13,0,1,1750,811,0.3038,0.1408,67.292
balance,250,multistation_rep,42,42,42,14,3,4,0.6168,3,duration,566,204,362,278,0,0,84,55,12,1,15,1,0,2804,1710,0.4868,0.2969,121.858
