scenario,nb_cars,method,seed,world_seed,grid_seed,demand_id,car_id,slot,nb_stations,nb_offers,confirmed,confirm_attempts,first_offer_ms,last_offer_ms,selection_ms,confirmation_ms,total_ms
balance,50,greedy,42,42,42,t00000-c00008,8,0,1,1,True,1,258.60237500455696,258.60237500455696,110.9482499959995,0.015458004781976342,369.56608300533844
balance,50,greedy,42,42,42,t00000-c00020,20,0,1,1,True,1,164.88870899775065,164.88870899775065,204.71579099830706,0.0056249991757795215,369.6101249952335
balance,50,greedy,42,42,42,t00000-c00024,24,0,1,1,True,1,369.46133300079964,369.46133300079964,0.1388340024277568,0.0040000013541430235,369.60416700458154
balance,50,greedy,42,42,42,t00000-c00025,25,0,1,1,True,1,97.6451249953243,97.6451249953243,271.9468750001397,0.0036249984987080097,369.5956249939627
balance,50,greedy,42,42,42,t00000-c00033,33,0,1,1,True,1,48.07433299720287,48.07433299720287,321.5238330012653,0.0041669991333037615,369.6023329976015
balance,50,greedy,42,42,42,t00000-c00034,34,0,1,1,True,1,132.4365830005263,132.4365830005263,237.15424999682,0.00404199818149209,369.5948749955278
balance,50,greedy,42,42,42,t00000-c00048,48,0,1,1,True,1,307.0400829965365,307.0400829965365,62.53929199738195,0.00325000291923061,369.5826249968377
balance,50,greedy,42,42,42,t00001-c00025,25,1,1,1,True,1,59.41016699944157,59.41016699944157,0.014792000001762062,0.01579099625814706,59.44074999570148
balance,50,greedy,42,42,42,t00009-c00047,47,9,1,1,True,1,63.401332998182625,63.401332998182625,0.0175420063897036,0.01783299376256764,63.436707998334896
balance,50,greedy,42,42,42,t00010-c00047,47,10,1,1,True,1,35.33733400399797,35.33733400399797,0.019874998542945832,0.017708000086713582,35.374917002627626
balance,50,greedy,42,42,42,t00011-c00019,19,11,1,1,True,1,71.42216700594872,71.42216700594872,0.017291000403929502,0.0195419997908175,71.45900000614347
balance,50,greedy,42,42,42,t00011-c00047,47,11,1,1,True,1,32.28191700327443,32.28191700327443,39.236124997842126,0.007208000170066953,71.52525000128662
balance,50,greedy,42,42,42,t00012-c00019,19,12,1,1,True,1,56.490041002689395,56.490041002689395,0.01416700251866132,0.01570799940964207,56.5199160046177
balance,50,greedy,42,42,42,t00021-c00005,5,21,1,1,True,1,20.10845800396055,20.10845800396055,0.015208999684546143,0.01587499718880281,20.1395420008339
balance,50,greedy,42,42,42,t00022-c00031,31,22,1,1,True,1,33.81358399929013,33.81358399929013,0.014708006347063929,0.01195799995912239,33.84025000559632
balance,50,greedy,42,42,42,t00025-c00037,37,25,1,1,True,1,43.54925000370713,43.54925000370713,0.015083998732734472,0.013500000932253897,43.57783400337212
balance,50,greedy,42,42,42,t00027-c00049,49,27,1,1,True,1,26.731958998425398,26.731958998425398,0.015083001926541328,0.014375000318977982,26.761417000670917
balance,50,greedy,42,42,42,t00030-c00016,16,30,1,1,True,1,83.56312499381602,83.56312499381602,0.014750003174412996,0.016874997527338564,83.59474999451777
balance,50,greedy,42,42,42,t00037-c00040,40,37,1,1,True,1,26.344375000917353,26.344375000917353,0.01391599653288722,0.012084004993084818,26.370375002443325
balance,50,greedy,42,42,42,t00038-c00005,5,38,1,1,True,1,29.37250000104541,29.37250000104541,60.10316700121621,0.014915996871422976,89.49058299913304
balance,50,greedy,42,42,42,t00038-c00010,10,38,1,1,True,1,89.41999999660766,89.41999999660766,0.11520800035214052,0.005833004252053797,89.54104100121185
balance,50,greedy,42,42,42,t00038-c00040,40,38,1,1,True,1,46.28108400356723,46.28108400356723,43.253208001260646,0.004624998837243766,89.53891700366512
balance,50,greedy,42,42,42,t00039-c00005,5,39,1,1,True,1,118.53270800202154,118.53270800202154,82.5312919987482,0.015375000657513738,201.07937500142725
balance,50,greedy,42,42,42,t00039-c00010,10,39,1,1,True,1,118.49712500406895,118.49712500406895,82.61679200222716,0.006374997610691935,201.1202920039068
balance,50,greedy,42,42,42,t00039-c00014,14,39,1,1,True,1,200.98000000143657,200.98000000143657,0.13204199785832316,0.004542001988738775,201.11658400128363
balance,50,greedy,42,42,42,t00044-c00027,27,44,1,1,True,1,45.40029099734966,45.40029099734966,0.017958998796530068,0.017416001355741173,45.43566599750193
balance,50,greedy,42,42,42,t00045-c00002,2,45,1,1,True,1,62.317625001014676,62.317625001014676,0.014665994967799634,0.02183399919886142,62.35412499518134
balance,50,greedy,42,42,42,t00050-c00007,7,50,1,1,True,1,62.82600000122329,62.82600000122329,0.011791998986154795,0.012666001566685736,62.85045800177613
balance,50,greedy,42,42,42,t00050-c00013,13,50,1,1,True,1,31.82416699564783,31.82416699564783,31.059250002726912,0.005957997927907854,62.88937499630265
balance,50,greedy,42,42,42,t00051-c00007,7,51,1,1,True,1,48.107083996001165,48.107083996001165,0.014290999388322234,0.016167003195732832,48.13754199858522
balance,50,greedy,42,42,42,t00052-c00025,25,52,1,1,True,1,80.33558299939614,80.33558299939614,88.58287499606377,0.01375000283587724,168.93220799829578
balance,50,greedy,42,42,42,t00052-c00038,38,52,1,1,True,1,113.98308399657253,113.98308399657253,54.97629100136692,0.005292000423651189,168.9646669983631
balance,50,greedy,42,42,42,t00052-c00043,43,52,1,1,True,1,168.82858399912948,168.82858399912948,0.1357910005026497,0.003917004505638033,168.96829200413777
balance,50,greedy,42,42,42,t00053-c00038,38,53,1,1,True,1,111.93916600313969,111.93916600313969,0.01654199877521023,0.013917000615037978,111.96962500252994
balance,50,greedy,42,42,42,t00053-c00043,43,53,1,1,True,1,64.71658399823355,64.71658399823355,47.29754100117134,0.005709000106435269,112.01983399951132
balance,50,greedy,42,42,42,t00054-c00038,38,54,1,1,True,1,25.739791999512818,25.739791999512818,0.014958000974729657,0.01358399458695203,25.7683339950745
balance,50,greedy,42,42,42,t00055-c00037,37,55,1,1,True,1,37.51095800544135,37.51095800544135,24.115542000799906,0.011582997103687376,61.638083003344946
balance,50,greedy,42,42,42,t00055-c00046,46,55,1,1,True,1,61.572457998408936,61.572457998408936,0.0836670005810447,0.005000001692678779,61.66112500068266
balance,50,greedy,42,42,42,t00057-c00023,23,57,1,1,True,1,71.40533300116658,71.40533300116658,0.016707999748177826,0.014917000953573734,71.43695800186833
balance,50,greedy,42,42,42,t00058-c00001,1,58,1,1,True,1,99.83524999552174,99.83524999552174,0.014625002222601324,0.013625001884065568,99.8634999996284
