scenario,nb_cars,method,seed,world_seed,grid_seed,station_id,society_id,nb_charg_spot,alpha,score_index,score_weighting,nb_request,nb_rejected_request,nb_offer_issued,nb_offer_expired,nb_confirm_refused,nb_stale_confirm,nb_reservations,nb_pres,nb_no_show,nb_early_canc,nb_late_canc,nb_breakdown_canc,nb_unresolved,nb_slots_reserved,nb_slots_served,occupancy_rate,service_rate,demand_kwh
balance,50,greedy,42,42,42,0,1,5,0.291,1,duration,78,0,78,0,0,0,78,50,9,0,18,1,0,2803,1707,0.3893,0.2371,117.708
balance,50,greedy,42,42,42,1,2,5,0.2613,2,duration,3,0,3,0,0,0,3,1,2,0,0,0,0,120,36,0.0167,0.005,1.9
balance,50,greedy,42,42,42,2,1,5,0.7392,1,duration,3,0,3,0,0,0,3,2,1,0,0,0,0,103,54,0.0143,0.0075,2.692
balance,50,greedy,42,42,42,3,1,5,0.8901,1,duration,6,0,6,0,0,0,6,2,2,0,2,0,0,194,75,0.0269,0.0104,6.325
balance,50,greedy,42,42,42,4,3,5,0.1427,3,duration,53,0,53,0,0,0,53,30,9,0,11,3,0,2121,1086,0.2946,0.1508,77.225
balance,50,greedy,42,42,42,5,1,4,0.2198,1,duration,12,0,12,0,0,0,12,8,2,0,2,0,0,431,263,0.0748,0.0457,16.283
balance,50,greedy,42,42,42,6,0,6,0.7086,0,duration,1,0,1,0,0,0,1,1,0,0,0,0,0,29,27,0.0034,0.0031,0.967
balance,50,greedy,42,42,42,7,1,6,0.5708,1,duration,1,0,1,0,0,0,1,0,0,0,1,0,0,32,0,0.0037,0.0,1.867
balance,50,greedy,42,42,42,8,0,5,0.808,0,duration,1,0,1,0,0,0,1,1,0,0,0,0,0,38,36,0.0053,0.005,1.9
balance,50,greedy,42,42,42,9,2,4,0.4875,2,duration,11,0,11,0,0,0,11,8,1,0,2,0,0,377,250,0.0655,0.0434,17.717
balance,50,greedy,42,42,42,10,0,5,0.3053,0,duration,10,0,10,0,0,0,10,6,0,0,3,1,0,343,206,0.0476,0.0286,14.975
balance,50,greedy,42,42,42,11,0,4,0.2502,0,duration,77,0,77,0,0,0,77,43,15,0,17,1,1,2711,1492,0.4707,0.259,104.375
balance,50,greedy,42,42,42,12,3,6,0.3167,3,duration,3,0,3,0,0,0,3,2,1,0,0,0,0,71,30,0.0082,0.0035,2.2
balance,50,greedy,42,42,42,13,3,4,0.8089,3,duration,9,0,9,0,0,0,9,4,2,0,3,0,0,305,127,0.053,0.022,11.775
balance,50,greedy,42,42,42,14,3,4,0.6168,3,duration,12,0,12,0,0,0,12,8,2,0,2,0,0,425,252,0.0738,0.0437,15.908
balance,50,greedy,42,42,42,15,0,5,0.5092,0,duration,16,0,16,0,0,0,16,8,3,0,5,0,0,504,204,0.07,0.0283,19.475
balance,50,greedy,42,42,42,16,2,6,0.5233,2,duration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
balance,50,greedy,42,42,42,17,2,4,0.8252,2,duration,1,0,1,0,0,0,1,0,0,0,1,0,0,41,0,0.0071,0.0,1.367
balance,50,greedy,42,42,42,18,2,5,0.8535,2,duration,18,0,18,0,0,0,18,8,3,0,7,0,0,660,272,0.0917,0.0378,24.925
balance,50,greedy,42,42,42,19,3,6,0.7576,3,duration,4,0,4,0,0,0,4,2,2,0,0,0,0,155,64,0.0179,0.0074,3.4
balance,50,greedy,42,42,42,20,2,4,0.4983,2,duration,3,0,3,0,0,0,3,2,0,0,1,0,0,119,81,0.0207,0.0141,5.292
balance,50,greedy,42,42,42,21,2,6,0.8027,2,duration,1,0,1,0,0,0,1,0,1,0,0,0,0,34,0,0.0039,0.0,0.0
balance,50,greedy,42,42,42,22,2,4,0.549,2,duration,9,0,9,0,0,0,9,7,2,0,0,0,0,285,197,0.0495,0.0342,10.4
balance,50,greedy,42,42,42,23,0,4,0.1812,0,duration,14,0,14,0,0,0,14,7,5,0,2,0,0,482,259,0.0837,0.045,16.5
balance,50,greedy,42,42,42,24,1,4,0.899,1,duration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
balance,50,greedy,42,42,42,25,2,6,0.6409,2,duration,8,0,8,0,0,0,8,4,2,0,2,0,0,288,149,0.0333,0.0172,11.475
balance,50,greedy,42,42,42,26,3,5,0.1612,3,duration,54,0,54,0,0,0,54,40,9,0,5,0,0,2050,1479,0.2847,0.2054,79.233
balance,50,greedy,42,42,42,27,2,4,0.399,2,duration,4,0,4,0,0,0,4,3,1,0,0,0,0,153,115,0.0266,0.02,5.65
balance,50,greedy,42,42,42,28,3,4,0.8962,3,duration,15,0,15,0,0,0,15,6,4,0,5,0,0,549,223,0.0953,0.0387,20.183
balance,50,greedy,42,42,42,29,3,5,0.2195,3,duration,11,0,11,0,0,0,11,8,3,0,0,0,0,392,245,0.0544,0.034,12.475
balance,50,greedy,42,42,42,30,1,6,0.1037,1,duration,6,0,6,0,0,0,6,1,2,0,3,0,0,246,35,0.0285,0.0041,6.258
balance,50,greedy,42,42,42,31,2,5,0.4794,2,duration,6,0,6,0,0,0,6,4,1,0,1,0,0,192,110,0.0267,0.0153,7.783
balance,50,greedy,42,42,42,32,0,5,0.2756,0,duration,5,0,5,0,0,0,5,4,1,0,0,0,0,185,139,0.0257,0.0193,6.892
balance,50,greedy,42,42,42,33,1,4,0.6703,1,duration,2,0,2,0,0,0,2,2,0,0,0,0,0,99,95,0.0172,0.0165,4.475
balance,50,greedy,42,42,42,34,0,5,0.3553,0,duration,3,0,3,0,0,0,3,2,0,0,1,0,0,112,83,0.0156,0.0115,5.708
balance,50,greedy,42,42,42,35,0,6,0.6129,0,duration,6,0,6,0,0,0,6,6,0,0,0,0,0,242,232,0.028,0.0269,12.492
balance,50,greedy,42,42,42,36,3,6,0.4159,3,duration,7,0,7,0,0,0,7,5,1,0,1,0,0,213,158,0.0247,0.0183,10.067
balance,50,greedy,42,42,42,37,0,4,0.6312,0,duration,2,0,2,0,0,0,2,1,0,0,1,0,0,73,47,0.0127,0.0082,3.642
balance,50,greedy,42,42,42,38,3,6,0.7902,3,duration,2,0,2,0,0,0,2,1,1,0,0,0,0,56,28,0.0065,0.0032,1.5
balance,50,greedy,42,42,42,39,1,6,0.6455,1,duration,1,0,1,0,0,0,1,0,0,0,1,0,0,46,0,0.0053,0.0,1.533
