scenario,nb_cars,method,seed,world_seed,grid_seed,society_id,station_id,update_step,alpha
optimistic,100,bramev,42,42,42,0,6,0,0.708626
optimistic,100,bramev,42,42,42,0,6,1,0.662787
optimistic,100,bramev,42,42,42,0,6,2,0.654168
optimistic,100,bramev,42,42,42,0,6,3,0.617039
optimistic,100,bramev,42,42,42,0,6,4,0.610057
optimistic,100,bramev,42,42,42,0,6,5,0.596974
optimistic,100,bramev,42,42,42,0,6,6,0.569907
optimistic,100,bramev,42,42,42,0,6,7,0.575189
optimistic,100,bramev,42,42,42,0,6,8,0.565652
optimistic,100,bramev,42,42,42,0,6,9,0.54592
optimistic,100,bramev,42,42,42,0,8,0,0.80801
optimistic,100,bramev,42,42,42,0,8,1,0.752233
optimistic,100,bramev,42,42,42,0,8,2,0.734669
optimistic,100,bramev,42,42,42,0,8,3,0.68949
optimistic,100,bramev,42,42,42,0,8,4,0.675263
optimistic,100,bramev,42,42,42,0,8,5,0.65566
optimistic,100,bramev,42,42,42,0,8,6,0.622724
optimistic,100,bramev,42,42,42,0,8,7,0.622724
optimistic,100,bramev,42,42,42,0,8,8,0.608434
optimistic,100,bramev,42,42,42,0,8,9,0.584423
optimistic,100,bramev,42,42,42,0,10,0,0.305265
optimistic,100,bramev,42,42,42,0,10,1,0.299763
optimistic,100,bramev,42,42,42,0,10,2,0.327446
optimistic,100,bramev,42,42,42,0,10,3,0.322989
optimistic,100,bramev,42,42,42,0,10,4,0.345412
optimistic,100,bramev,42,42,42,0,10,5,0.358794
optimistic,100,bramev,42,42,42,0,10,6,0.355545
optimistic,100,bramev,42,42,42,0,10,7,0.382263
optimistic,100,bramev,42,42,42,0,10,8,0.392018
optimistic,100,bramev,42,42,42,0,10,9,0.38965
optimistic,100,bramev,42,42,42,0,11,0,0.250242
optimistic,100,bramev,42,42,42,0,11,1,0.250242
optimistic,100,bramev,42,42,42,0,11,2,0.282877
optimistic,100,bramev,42,42,42,0,11,3,0.282877
optimistic,100,bramev,42,42,42,0,11,4,0.309311
optimistic,100,bramev,42,42,42,0,11,5,0.326303
optimistic,100,bramev,42,42,42,0,11,6,0.326303
optimistic,100,bramev,42,42,42,0,11,7,0.355945
optimistic,100,bramev,42,42,42,0,11,8,0.368333
optimistic,100,bramev,42,42,42,0,11,9,0.368333
optimistic,100,bramev,42,42,42,0,15,0,0.509227
optimistic,100,bramev,42,42,42,0,15,1,0.483328
optimistic,100,bramev,42,42,42,0,15,2,0.492655
optimistic,100,bramev,42,42,42,0,15,3,0.471677
optimistic,100,bramev,42,42,42,0,15,4,0.479231
optimistic,100,bramev,42,42,42,0,15,5,0.479231
optimistic,100,bramev,42,42,42,0,15,6,0.463939
optimistic,100,bramev,42,42,42,0,15,7,0.479817
optimistic,100,bramev,42,42,42,0,15,8,0.479817
optimistic,100,bramev,42,42,42,0,15,9,0.468669
optimistic,100,bramev,42,42,42,0,23,0,0.181183
optimistic,100,bramev,42,42,42,0,23,1,0.188089
optimistic,100,bramev,42,42,42,0,23,2,0.226939
optimistic,100,bramev,42,42,42,0,23,3,0.232533
optimistic,100,bramev,42,42,42,0,23,4,0.264001
optimistic,100,bramev,42,42,42,0,23,5,0.285524
optimistic,100,bramev,42,42,42,0,23,6,0.289602
optimistic,100,bramev,42,42,42,0,23,7,0.322915
optimistic,100,bramev,42,42,42,0,23,8,0.338605
optimistic,100,bramev,42,42,42,0,23,9,0.341578
optimistic,100,bramev,42,42,42,0,32,0,0.275578
optimistic,100,bramev,42,42,42,0,32,1,0.273045
optimistic,100,bramev,42,42,42,0,32,2,0.303399
optimistic,100,bramev,42,42,42,0,32,3,0.301347
optimistic,100,bramev,42,42,42,0,32,4,0.325934
optimistic,100,bramev,42,42,42,0,32,5,0.341264
optimistic,100,bramev,42,42,42,0,32,6,0.339768
optimistic,100,bramev,42,42,42,0,32,7,0.368064
optimistic,100,bramev,42,42,42,0,32,8,0.379239
optimistic,100,bramev,42,42,42,0,32,9,0.378148
optimistic,100,bramev,42,42,42,0,34,0,0.355302
optimistic,100,bramev,42,42,42,0,34,1,0.344796
optimistic,100,bramev,42,42,42,0,34,2,0.367975
optimistic,100,bramev,42,42,42,0,34,3,0.359466
optimistic,100,bramev,42,42,42,0,34,4,0.378241
optimistic,100,bramev,42,42,42,0,34,5,0.38834
optimistic,100,bramev,42,42,42,0,34,6,0.382136
optimistic,100,bramev,42,42,42,0,34,7,0.406195
optimistic,100,bramev,42,42,42,0,34,8,0.413557
optimistic,100,bramev,42,42,42,0,34,9,0.409035
optimistic,100,bramev,42,42,42,0,35,0,0.612853
optimistic,100,bramev,42,42,42,0,35,1,0.576592
optimistic,100,bramev,42,42,42,0,35,2,0.576592
optimistic,100,bramev,42,42,42,0,35,3,0.547221
optimistic,100,bramev,42,42,42,0,35,4,0.547221
optimistic,100,bramev,42,42,42,0,35,5,0.540422
optimistic,100,bramev,42,42,42,0,35,6,0.51901
optimistic,100,bramev,42,42,42,0,35,7,0.529381
