scenario,nb_cars,method,seed,world_seed,grid_seed,station_id,society_id,nb_charg_spot,alpha,score_index,score_weighting,nb_request,nb_rejected_request,nb_offer_issued,nb_offer_expired,nb_confirm_refused,nb_stale_confirm,nb_reservations,nb_pres,nb_no_show,nb_early_canc,nb_late_canc,nb_breakdown_canc,nb_unresolved,nb_slots_reserved,nb_slots_served,occupancy_rate,service_rate,demand_kwh
optimistic,150,bramev,42,42,42,0,1,5,0.3765,1,duration,250,55,195,73,0,0,122,92,5,1,24,0,0,4378,3156,0.6081,0.4383,207.058
optimistic,150,bramev,42,42,42,1,2,5,0.4294,2,duration,323,62,261,249,0,0,12,9,0,0,3,0,0,452,361,0.0628,0.0501,20.175
optimistic,150,bramev,42,42,42,2,1,5,0.5502,1,duration,156,35,121,112,0,0,9,8,0,0,1,0,0,297,249,0.0413,0.0346,13.925
optimistic,150,bramev,42,42,42,3,1,5,0.6086,1,duration,314,90,224,166,0,0,58,41,8,0,9,0,0,1988,1335,0.2761,0.1854,85.45
optimistic,150,bramev,42,42,42,4,3,5,0.1974,3,duration,288,68,220,113,0,0,107,79,12,0,16,0,0,3805,2750,0.5285,0.3819,163.217
optimistic,150,bramev,42,42,42,5,1,4,0.349,1,duration,134,30,104,90,0,0,14,8,6,0,0,0,0,592,364,0.1028,0.0632,14.175
optimistic,150,bramev,42,42,42,6,0,6,0.5039,0,duration,138,31,107,100,0,0,7,7,0,0,0,0,0,264,250,0.0306,0.0289,12.158
optimistic,150,bramev,42,42,42,7,1,6,0.4849,1,duration,153,35,118,104,0,0,14,9,1,0,4,0,0,505,325,0.0584,0.0376,25.458
optimistic,150,bramev,42,42,42,8,0,5,0.5424,0,duration,159,40,119,109,0,0,10,8,0,0,2,0,0,346,264,0.0481,0.0367,17.275
optimistic,150,bramev,42,42,42,9,2,4,0.517,2,duration,297,56,241,212,0,0,29,20,2,0,7,0,0,1022,653,0.1774,0.1134,47.575
optimistic,150,bramev,42,42,42,10,0,5,0.3476,0,duration,155,37,118,91,0,0,27,23,1,0,3,0,0,841,671,0.1168,0.0932,46.15
optimistic,150,bramev,42,42,42,11,0,4,0.3263,0,duration,319,81,238,126,0,0,112,83,15,1,13,0,0,4013,2817,0.6967,0.4891,169.475
optimistic,150,bramev,42,42,42,12,3,6,0.2648,3,duration,324,87,237,221,0,0,16,13,1,0,2,0,0,507,368,0.0587,0.0426,24.708
optimistic,150,bramev,42,42,42,13,3,4,0.4555,3,duration,152,26,126,96,0,0,30,25,5,0,0,0,0,1109,912,0.1925,0.1583,44.383
optimistic,150,bramev,42,42,42,14,3,4,0.381,3,duration,289,81,208,169,0,0,39,30,2,0,7,0,0,1544,1119,0.2681,0.1943,67.208
optimistic,150,bramev,42,42,42,15,0,5,0.4266,0,duration,163,24,139,80,0,0,59,42,7,0,10,0,0,2351,1589,0.3265,0.2207,95.158
optimistic,150,bramev,42,42,42,16,2,6,0.5309,2,duration,131,19,112,109,0,0,3,0,0,0,3,0,0,115,0,0.0133,0.0,6.967
optimistic,150,bramev,42,42,42,17,2,4,0.6478,2,duration,211,42,169,162,0,0,7,6,1,0,0,0,0,224,177,0.0389,0.0307,10.458
optimistic,150,bramev,42,42,42,18,2,5,0.6588,2,duration,189,43,146,118,0,0,28,21,1,0,5,0,1,979,730,0.136,0.1014,44.65
