scenario,nb_cars,method,seed,world_seed,grid_seed,station_id,society_id,nb_charg_spot,alpha,score_index,score_weighting,nb_request,nb_rejected_request,nb_offer_issued,nb_offer_expired,nb_confirm_refused,nb_stale_confirm,nb_reservations,nb_pres,nb_no_show,nb_early_canc,nb_late_canc,nb_breakdown_canc,nb_unresolved,nb_slots_reserved,nb_slots_served,occupancy_rate,service_rate,demand_kwh
optimistic,150,multistation,42,42,42,0,1,5,0.291,1,duration,247,0,247,103,0,0,144,110,8,0,26,0,0,5149,3689,0.7151,0.5124,237.775
optimistic,150,multistation,42,42,42,1,2,5,0.2613,2,duration,295,0,295,291,0,0,4,3,0,0,1,0,0,165,141,0.0229,0.0196,6.283
optimistic,150,multistation,42,42,42,2,1,5,0.7392,1,duration,139,0,139,132,0,0,7,6,0,0,1,0,0,244,200,0.0339,0.0278,11.3
optimistic,150,multistation,42,42,42,3,1,5,0.8901,1,duration,268,0,268,214,0,0,54,41,7,0,6,0,0,1820,1325,0.2528,0.184,79.975
optimistic,150,multistation,42,42,42,4,3,5,0.1427,3,duration,279,0,279,154,0,0,125,99,13,0,13,0,0,4680,3552,0.65,0.4933,195.542
optimistic,150,multistation,42,42,42,5,1,4,0.2198,1,duration,121,0,121,98,0,0,23,18,4,0,1,0,0,801,595,0.1391,0.1033,32.833
optimistic,150,multistation,42,42,42,6,0,6,0.7086,0,duration,129,0,129,124,0,0,5,5,0,0,0,0,0,135,125,0.0156,0.0145,7.133
optimistic,150,multistation,42,42,42,7,1,6,0.5708,1,duration,134,0,134,125,0,0,9,6,0,0,3,0,0,285,190,0.033,0.022,15.858
optimistic,150,multistation,42,42,42,8,0,5,0.808,0,duration,151,0,151,148,0,0,3,2,1,0,0,0,0,98,60,0.0136,0.0083,3.417
optimistic,150,multistation,42,42,42,9,2,4,0.4875,2,duration,290,0,290,261,0,0,29,22,2,0,5,0,0,1075,770,0.1866,0.1337,50.783
optimistic,150,multistation,42,42,42,10,0,5,0.3053,0,duration,136,0,136,112,0,0,24,21,0,0,3,0,0,758,627,0.1053,0.0871,41.208
optimistic,150,multistation,42,42,42,11,0,4,0.2502,0,duration,310,0,310,171,0,0,139,94,20,1,24,0,0,5110,3304,0.8872,0.5736,215.758
optimistic,150,multistation,42,42,42,12,3,6,0.3167,3,duration,278,0,278,262,0,0,16,14,0,0,2,0,0,450,365,0.0521,0.0422,26.367
optimistic,150,multistation,42,42,42,13,3,4,0.8089,3,duration,136,0,136,104,0,0,32,26,5,0,1,0,0,1215,966,0.2109,0.1677,46.625
optimistic,150,multistation,42,42,42,14,3,4,0.6168,3,duration,285,0,285,241,0,0,44,35,3,0,6,0,0,1466,1097,0.2545,0.1905,65.3
optimistic,150,multistation,42,42,42,15,0,5,0.5092,0,duration,146,0,146,94,0,0,52,33,8,0,11,0,0,2060,1306,0.2861,0.1814,81.5
optimistic,150,multistation,42,42,42,16,2,6,0.5233,2,duration,111,0,111,110,0,0,1,1,0,0,0,0,0,34,32,0.0039,0.0037,1.7
optimistic,150,multistation,42,42,42,17,2,4,0.8252,2,duration,197,0,197,193,0,0,4,3,1,0,0,0,0,119,89,0.0207,0.0155,5.667
optimistic,150,multistation,42,42,42,18,2,5,0.8535,2,duration,168,0,168,139,0,0,29,22,1,0,6,0,0,962,670,0.1336,0.0931,43.892
optimistic,150,multistation,42,42,42,19,3,6,0.7576,3,duration,109,0,109,98,0,0,11,11,0,0,0,0,0,391,369,0.0453,0.0427,19.125
optimistic,150,multistation,42,42,42,20,2,4,0.4983,2,duration,195,0,195,189,0,0,6,5,0,0,1,0,0,244,201,0.0424,0.0349,11.025
optimistic,150,multistation,42,42,42,21,2,6,0.8027,2,duration,83,0,83,80,0,0,3,3,0,0,0,0,0,120,114,0.0139,0.0132,5.317
optimistic,150,multistation,42,42,42,22,2,4,0.549,2,duration,264,0,264,207,0,0,57,43,4,0,10,0,0,1990,1450,0.3455,0.2517,92.75
optimistic,150,multistation,42,42,42,23,0,4,0.1812,0,duration,132,0,132,107,0,0,25,20,2,0,3,0,0,849,648,0.1474,0.1125,38.383
optimistic,150,multistation,42,42,42,24,1,4,0.899,1,duration,300,0,300,299,0,0,1,0,1,0,0,0,0,27,0,0.0047,0.0,0.0
optimistic,150,multistation,42,42,42,25,2,6,0.6409,2,duration,246,0,246,215,0,0,31,26,2,0,3,0,0,1152,905,0.1333,0.1047,53.0
optimistic,150,multistation,42,42,42,26,3,5,0.1612,3,duration,243,2,241,100,0,0,141,107,11,0,23,0,0,5091,3842,0.7071,0.5336,226.225
optimistic,150,multistation,42,42,42,27,2,4,0.399,2,duration,126,0,126,111,0,0,15,11,2,0,2,0,0,540,385,0.0938,0.0668,22.683
optimistic,150,multistation,42,42,42,28,3,4,0.8962,3,duration,262,0,262,230,0,0,32,19,4,0,9,0,0,1163,680,0.2019,0.1181,47.658
optimistic,150,multistation,42,42,42,29,3,5,0.2195,3,duration,247,0,247,202,0,0,45,33,3,0,9,0,0,1714,1184,0.2381,0.1644,77.033
optimistic,150,multistation,42,42,42,30,1,6,0.1037,1,duration,308,0,308,242,0,0,66,48,10,0,8,0,0,2234,1539,0.2586,0.1781,93.425
