scenario,nb_cars,method,seed,world_seed,grid_seed,demand_id,car_id,slot,nb_stations,nb_offers,confirmed,confirm_attempts,first_offer_ms,last_offer_ms,selection_ms,confirmation_ms,total_ms
optimistic,250,bramev,42,42,42,t00000-c00008,8,0,6,6,True,1,300052.310416002,3601072.178666,602831.5850840008,0.04199999966658652,4203903.80575
optimistic,250,bramev,42,42,42,t00000-c00020,20,0,10,10,True,1,600092.1061250046,3603787.5442500007,600116.302292001,0.010791998647619039,4203903.857334
optimistic,250,bramev,42,42,42,t00000-c00024,24,0,12,12,True,1,600092.0706249962,4203903.650249995,0.20245800260454416,0.007333997928071767,4203903.8600419955
optimistic,250,bramev,42,42,42,t00000-c00025,25,0,5,5,True,1,1198045.1049580006,4203903.618292003,0.228749995585531,0.004583002009894699,4203903.851625
optimistic,250,bramev,42,42,42,t00000-c00033,33,0,5,5,True,1,300052.1635420009,3601072.0316250008,602831.8029589937,0.004583002009894699,4203903.839166996
optimistic,250,bramev,42,42,42,t00000-c00034,34,0,6,6,True,1,876314.9683329975,3903842.703208,300061.12216699694,0.0040000013541430235,4203903.829374998
optimistic,250,bramev,42,42,42,t00000-c00048,48,0,7,7,True,1,876314.9373749983,3601071.9695000006,602831.8445839977,0.00429100327892229,4203903.818375002
optimistic,250,bramev,42,42,42,t00000-c00059,59,0,6,5,True,1,1198044.97825,4203903.491584002,0.3104999996139668,0.0034580007195472717,4203903.805542002
optimistic,250,bramev,42,42,42,t00000-c00068,68,0,6,6,True,1,876314.8744579958,3903842.6086249966,300061.1809580005,0.0035420016502030194,4203903.793124999
optimistic,250,bramev,42,42,42,t00000-c00092,92,0,9,9,True,1,600091.8460829998,4203903.427333004,0.35075000050710514,0.004292000085115433,4203903.782375004
optimistic,250,bramev,42,42,42,t00000-c00099,99,0,5,5,True,1,1196598.191459001,3431224.125959001,772679.6395830024,0.00404199818149209,4203903.769584002
optimistic,250,bramev,42,42,42,t00000-c00104,104,0,6,6,True,1,1196598.1611669995,3903842.513292002,300061.2398329977,0.0036249984987080097,4203903.756749998
optimistic,250,bramev,42,42,42,t00000-c00106,106,0,7,7,True,1,1198044.8220000034,4203903.335042,0.407457999244798,0.003583001671358943,4203903.746083001
optimistic,250,bramev,42,42,42,t00000-c00114,114,0,7,7,True,1,896429.0995830016,3903842.4295000006,300061.2767499988,0.0036670026020146906,4203903.709917001
optimistic,250,bramev,42,42,42,t00000-c00121,121,0,6,6,True,1,300051.7842499976,3601732.755833,602170.8973330024,0.003749999450519681,4203903.656916002
optimistic,250,bramev,42,42,42,t00000-c00122,122,0,4,4,True,1,1528669.6439160006,3431223.8971250043,772679.7325829975,0.003291999746579677,4203903.633000001
optimistic,250,bramev,42,42,42,t00000-c00143,143,0,3,3,True,1,300051.7064589949,3430315.6238750014,773587.9859589986,0.003207998815923929,4203903.613041999
optimistic,250,bramev,42,42,42,t00000-c00146,146,0,7,7,True,1,1198044.583625,4203903.0961249955,0.4975000047124922,0.0034999975468963385,4203903.5971249975
optimistic,250,bramev,42,42,42,t00000-c00151,151,0,6,6,True,1,876314.4776249974,3903842.213750002,300061.3659169976,0.0035420016502030194,4203903.583209001
optimistic,250,bramev,42,42,42,t00000-c00154,154,0,6,6,True,1,1196597.8302079965,3903842.1829579966,300061.38329199894,0.003749999450519681,4203903.569999995
optimistic,250,bramev,42,42,42,t00000-c00166,166,0,7,7,True,1,896428.8215000052,3431223.732750004,772679.8219999983,0.004041001375298947,4203903.558791004
optimistic,250,bramev,42,42,42,t00000-c00178,178,0,6,6,True,1,300051.5465829958,3601071.4141659993,602832.1285420025,0.0036669953260570765,4203903.546374997
optimistic,250,bramev,42,42,42,t00000-c00191,191,0,12,12,True,1,600091.3524580027,4203902.934750004,0.5957079993095249,0.004541994712781161,4203903.534999997
optimistic,250,bramev,42,42,42,t00000-c00196,196,0,6,6,True,1,300051.48033300065,3601071.347666002,602832.1720839958,0.003916000423487276,4203903.523665998
optimistic,250,bramev,42,42,42,t00000-c00203,203,0,9,9,True,1,876314.2856660052,3903842.022416,300061.4873750019,0.0040000013541430235,4203903.513791003
optimistic,250,bramev,42,42,42,t00000-c00204,204,0,9,8,True,1,600091.2612079992,4203902.843208001,0.6571669946424663,0.004250003257766366,4203903.504624999
optimistic,250,bramev,42,42,42,t00000-c00211,211,0,3,3,True,1,300051.38979099866,3430315.305916003,773588.1819589995,0.003207998815923929,4203903.491083002
optimistic,250,bramev,42,42,42,t00000-c00213,213,0,10,10,True,1,896428.6027080016,3599766.2635829984,604137.2147090005,0.004333000106271356,4203903.482624999
optimistic,250,bramev,42,42,42,t00000-c00214,214,0,7,7,True,1,600091.1716249975,3603786.6100409958,600116.8590000016,0.0039590013329871,4203903.472999998
optimistic,250,bramev,42,42,42,t00000-c00218,218,0,9,9,True,1,600091.1447090039,3601732.272125002,602171.1887089987,0.0036659985198639333,4203903.464499999
optimistic,250,bramev,42,42,42,t00000-c00219,219,0,5,5,True,1,876314.105958998,3903841.842916998,300061.6147920009,0.0037080026231706142,4203903.461417002
optimistic,250,bramev,42,42,42,t00000-c00235,235,0,5,5,True,1,1196597.4549590028,3431223.3885419993,772680.0524170031,0.003415996616240591,4203903.444374999
optimistic,250,bramev,42,42,42,t00001-c00218,218,1,8,4,True,1,82.45754199742805,195.07120799971744,0.03391700010979548,0.01737500133458525,195.12250000116182
optimistic,250,bramev,42,42,42,t00003-c00160,160,3,7,7,True,1,35.347042001376394,184.5848750017467,0.030916999094188213,0.01779200101736933,184.63358400185825
optimistic,250,bramev,42,42,42,t00004-c00114,114,4,8,8,True,1,68.2363330051885,352.10825000103796,0.0289169984171167,0.018083002942148596,352.1552500023972
optimistic,250,bramev,42,42,42,t00005-c00114,114,5,8,5,True,1,79.3315840055584,204.89583400194533,0.02541600406402722,0.01837499439716339,204.93962500040652
optimistic,250,bramev,42,42,42,t00006-c00179,179,6,10,10,True,1,87.53879200230585,775.1402919966495,0.032208001357503235,0.015792000340297818,775.1882919983473
optimistic,250,bramev,42,42,42,t00006-c00225,225,6,9,9,True,1,87.49533299851464,736.1976669999422,39.037624999764375,0.007665999874006957,775.2429579995805
optimistic,250,bramev,42,42,42,t00007-c00077,77,7,9,9,True,1,63.496292001218535,909.008458002063,0.024916997062973678,0.016375000996049494,909.049750000122
optimistic,250,bramev,42,42,42,t00007-c00177,177,7,3,3,True,1,239.49279200314777,652.0054590000655,257.07820800016634,0.005875001079402864,909.0895420013112
optimistic,250,bramev,42,42,42,t00007-c00179,179,7,15,9,True,1,176.94016700261272,908.9291249983944,0.1498749988968484,0.005875001079402864,909.0848749983707
optimistic,250,bramev,42,42,42,t00009-c00047,47,9,7,7,True,1,31.59854199475376,300.5763749970356,0.02183399919886142,0.01750000228639692,300.61570899852086
optimistic,250,bramev,42,42,42,t00010-c00047,47,10,3,2,True,1,353.7670829973649,449.1617910025525,78.95074999396456,0.014500001270789653,528.1270409977878
optimistic,250,bramev,42,42,42,t00010-c00217,217,10,4,4,True,1,87.7014580037212,528.0407079990255,0.13291700452100486,0.006333000783342868,528.1799580043298
optimistic,250,bramev,42,42,42,t00010-c00236,236,10,3,3,True,1,66.69741700170562,449.0747919990099,79.09349999681581,0.004917004844173789,528.1732090006699
optimistic,250,bramev,42,42,42,t00011-c00019,19,11,15,15,True,1,68.08562499645632,748.8865420018556,0.023124994186218828,0.018500002624932677,748.9281669986667
optimistic,250,bramev,42,42,42,t00011-c00047,47,11,3,1,True,1,519.164292003552,519.164292003552,229.8077499945066,0.005583002348430455,748.977625000407
optimistic,250,bramev,42,42,42,t00012-c00019,19,12,11,6,True,1,134.1344999964349,624.9894590000622,46.45545799576212,0.01604200224392116,671.4609589980682
optimistic,250,bramev,42,42,42,t00012-c00135,135,12,4,4,True,1,60.348166996845976,671.3802500016754,0.11504199937917292,0.006333000783342868,671.501625001838
optimistic,250,bramev,42,42,42,t00014-c00183,183,14,4,4,True,1,16.902249997656327,121.8449590014643,0.035958000808022916,0.021249994460958987,121.90216699673329
optimistic,250,bramev,42,42,42,t00015-c00081,81,15,5,5,True,1,81.69570899917744,413.504333999299,0.023125001462176442,0.015958001313265413,413.5434170020744
optimistic,250,bramev,42,42,42,t00015-c00111,111,15,4,4,True,1,67.49100000160979,390.2569999991101,23.334707999310922,0.007208996976260096,413.5989169953973
optimistic,250,bramev,42,42,42,t00017-c00094,94,17,12,12,True,1,237.60466699604876,3317.88370799768,84.36729200184345,0.023749998945277184,3402.274749998469
optimistic,250,bramev,42,42,42,t00017-c00139,139,17,9,9,True,1,237.56441700243158,3402.181292003661,0.14016599743627012,0.008333998266607523,3402.329791999364
optimistic,250,bramev,42,42,42,t00017-c00181,181,17,7,7,True,1,237.5296249956591,3317.8090829969733,84.5165420032572,0.005583002348430455,3402.331208002579
optimistic,250,bramev,42,42,42,t00018-c00148,148,18,3,3,True,1,393.9685829973314,1086.6627499999595,0.03237499913666397,0.01766700006555766,1086.7127919991617
optimistic,250,bramev,42,42,42,t00018-c00149,149,18,7,7,True,1,177.7173330046935,1086.625208001351,0.12650000280700624,0.0077079967013560236,1086.7594160008593
optimistic,250,bramev,42,42,42,t00018-c00230,230,18,5,5,True,1,44.6309589970042,802.067459000682,284.69770799711114,0.005667003279086202,1086.7708340010722
optimistic,250,bramev,42,42,42,t00019-c00149,149,19,7,6,True,1,67.98841700219782,272.8310419988702,0.028665999707300216,0.016834004782140255,272.87654200335965
optimistic,250,bramev,42,42,42,t00020-c00052,52,20,3,3,True,1,41.985874995589256,341.12699999968754,118.52812500001164,0.016375000996049494,459.67150000069523
optimistic,250,bramev,42,42,42,t00020-c00234,234,20,3,3,True,1,98.47145799722057,459.581832998083,0.13349999790079892,0.0066250067902728915,459.72195800277404
optimistic,250,bramev,42,42,42,t00021-c00005,5,21,3,3,True,1,110.6154580047587,201.994958006253,45.914124995761085,0.01454199809813872,247.92362500011222
optimistic,250,bramev,42,42,42,t00021-c00131,131,21,6,6,True,1,15.485166004509665,247.8449160043965,0.11187500058440492,0.007541995728388429,247.9643330007093
optimistic,250,bramev,42,42,42,t00022-c00031,31,22,3,3,True,1,42.51766599918483,211.79487499466632,0.019083003280684352,0.01883300137706101,211.83279099932406
optimistic,250,bramev,42,42,42,t00022-c00152,152,22,3,3,True,1,18.55970900214743,185.74645899934694,26.130541002203245,0.0069590023485943675,211.88395900389878
