scenario,nb_cars,method,seed,world_seed,grid_seed,station_id,society_id,nb_charg_spot,alpha,score_index,score_weighting,nb_request,nb_rejected_request,nb_offer_issued,nb_offer_expired,nb_confirm_refused,nb_stale_confirm,nb_reservations,nb_pres,nb_no_show,nb_early_canc,nb_late_canc,nb_breakdown_canc,nb_unresolved,nb_slots_reserved,nb_slots_served,occupancy_rate,service_rate,demand_kwh
optimistic,250,greedy,42,42,42,0,1,5,0.291,1,duration,328,28,300,0,0,0,300,219,22,25,33,1,0,8145,5927,1.1313,0.8232,352.608
optimistic,250,greedy,42,42,42,1,2,5,0.2613,2,duration,10,0,10,0,0,0,10,9,0,0,1,0,0,375,301,0.0521,0.0418,15.908
optimistic,250,greedy,42,42,42,2,1,5,0.7392,1,duration,18,0,18,0,0,0,18,12,1,0,5,0,0,565,379,0.0785,0.0526,29.117
optimistic,250,greedy,42,42,42,3,1,5,0.8901,1,duration,78,0,78,0,0,0,78,59,9,0,10,0,0,2508,1797,0.3483,0.2496,109.517
optimistic,250,greedy,42,42,42,4,3,5,0.1427,3,duration,279,24,255,0,0,0,255,194,24,9,27,1,0,7260,5548,1.0083,0.7706,320.658
optimistic,250,greedy,42,42,42,5,1,4,0.2198,1,duration,26,0,26,0,0,0,26,20,4,0,2,0,0,902,663,0.1566,0.1151,38.767
optimistic,250,greedy,42,42,42,6,0,6,0.7086,0,duration,8,0,8,0,0,0,8,6,1,0,1,0,0,241,148,0.0279,0.0171,10.383
optimistic,250,greedy,42,42,42,7,1,6,0.5708,1,duration,13,0,13,0,0,0,13,10,1,0,2,0,0,427,277,0.0494,0.0321,19.633
optimistic,250,greedy,42,42,42,8,0,5,0.808,0,duration,2,0,2,0,0,0,2,1,1,0,0,0,0,91,44,0.0126,0.0061,1.917
optimistic,250,greedy,42,42,42,9,2,4,0.4875,2,duration,60,0,60,0,0,0,60,50,4,0,6,0,0,2111,1677,0.3665,0.2911,98.983
optimistic,250,greedy,42,42,42,10,0,5,0.3053,0,duration,72,0,72,0,0,0,72,52,10,0,9,1,0,2504,1727,0.3478,0.2399,104.242
optimistic,250,greedy,42,42,42,11,0,4,0.2502,0,duration,373,86,287,0,0,3,287,211,33,30,13,0,0,6590,4856,1.1441,0.8431,270.042
