scenario,nb_cars,method,seed,world_seed,grid_seed,demand_id,car_id,slot,nb_stations,nb_offers,confirmed,confirm_attempts,first_offer_ms,last_offer_ms,selection_ms,confirmation_ms,total_ms
optimistic,250,multistation_rep,42,42,42,t00000-c00008,8,0,6,6,True,1,300049.1800000018,3654127.444040998,602904.9894590061,0.055165997764561325,4257032.488666002
optimistic,250,multistation_rep,42,42,42,t00000-c00020,20,0,10,10,True,1,600108.4250839995,3656914.2280840026,600118.3566659966,0.009875002433545887,4257032.594625002
optimistic,250,multistation_rep,42,42,42,t00000-c00024,24,0,12,12,True,1,600108.3889590008,4257032.282667002,0.3071669998462312,0.006583002686966211,4257032.596417004
optimistic,250,multistation_rep,42,42,42,t00000-c00025,25,0,5,5,True,1,1205283.716375001,4257032.245833005,0.33383399568265304,0.005791000148747116,4257032.585458
optimistic,250,multistation_rep,42,42,42,t00000-c00033,33,0,5,5,True,1,300049.0202919973,3654127.2845420027,602905.2850419976,0.005333000444807112,4257032.574917001
optimistic,250,multistation_rep,42,42,42,t00000-c00034,34,0,6,6,True,1,882879.3324159996,3956968.5052080024,300064.0594169963,0.003958004526793957,4257032.568583003
optimistic,250,multistation_rep,42,42,42,t00000-c00048,48,0,7,7,True,1,882879.297583997,3654127.2162919994,602905.3364579959,0.003749999450519681,4257032.556499995
optimistic,250,multistation_rep,42,42,42,t00000-c00059,59,0,6,5,True,1,1205283.5822080015,4257032.111500004,0.43820800055982545,0.003749999450519681,4257032.553458004
optimistic,250,multistation_rep,42,42,42,t00000-c00068,68,0,6,6,True,1,882879.2316670006,3956968.4026250034,300064.13366700144,0.004374996933620423,4257032.540667002
optimistic,250,multistation_rep,42,42,42,t00000-c00092,92,0,9,9,True,1,600108.1490420038,4257032.044291998,0.4894170051557012,0.004540997906588018,4257032.538250001
optimistic,250,multistation_rep,42,42,42,t00000-c00099,99,0,5,5,True,1,1203716.9635829995,3483759.5763330027,773272.9514589955,0.004458001058083028,4257032.532249999
