scenario,nb_cars,method,seed,world_seed,grid_seed,station_id,society_id,nb_charg_spot,alpha,score_index,score_weighting,nb_request,nb_rejected_request,nb_offer_issued,nb_offer_expired,nb_confirm_refused,nb_stale_confirm,nb_reservations,nb_pres,nb_no_show,nb_early_canc,nb_late_canc,nb_breakdown_canc,nb_unresolved,nb_slots_reserved,nb_slots_served,occupancy_rate,service_rate,demand_kwh
optimistic,50,multistation_rep,42,42,42,0,1,5,0.291,1,duration,97,24,73,29,0,0,44,31,2,0,11,0,0,1610,1109,0.2236,0.154,72.025
optimistic,50,multistation_rep,42,42,42,1,2,5,0.2613,2,duration,119,39,80,76,0,0,4,3,1,0,0,0,0,141,101,0.0196,0.014,5.2
optimistic,50,multistation_rep,42,42,42,2,1,5,0.7392,1,duration,41,13,28,22,0,0,6,5,1,0,0,0,0,220,180,0.0306,0.025,7.8
optimistic,50,multistation_rep,42,42,42,3,1,5,0.8901,1,duration,119,48,71,55,0,0,16,11,3,0,2,0,0,562,349,0.0781,0.0485,21.892
optimistic,50,multistation_rep,42,42,42,4,3,5,0.1427,3,duration,102,34,68,37,0,0,31,24,5,0,2,0,0,1120,843,0.1556,0.1171,43.142
optimistic,50,multistation_rep,42,42,42,5,1,4,0.2198,1,duration,57,20,37,33,0,0,4,3,1,0,0,0,0,123,93,0.0214,0.0161,4.417
optimistic,50,multistation_rep,42,42,42,6,0,6,0.7086,0,duration,57,16,41,38,0,0,3,3,0,0,0,0,0,59,53,0.0068,0.0061,2.833
optimistic,50,multistation_rep,42,42,42,7,1,6,0.5708,1,duration,39,13,26,22,0,0,4,2,0,0,2,0,0,141,73,0.0163,0.0084,7.65
optimistic,50,multistation_rep,42,42,42,8,0,5,0.808,0,duration,58,17,41,36,0,0,5,4,0,0,1,0,0,162,125,0.0225,0.0174,7.8
optimistic,50,multistation_rep,42,42,42,9,2,4,0.4875,2,duration,106,38,68,60,0,0,8,6,0,0,2,0,0,288,197,0.05,0.0342,12.7
