scenario,nb_cars,method,seed,world_seed,grid_seed,station_id,society_id,nb_charg_spot,alpha,score_index,score_weighting,nb_request,nb_rejected_request,nb_offer_issued,nb_offer_expired,nb_confirm_refused,nb_stale_confirm,nb_reservations,nb_pres,nb_no_show,nb_early_canc,nb_late_canc,nb_breakdown_canc,nb_unresolved,nb_slots_reserved,nb_slots_served,occupancy_rate,service_rate,demand_kwh
pessimistic,100,bramev,42,42,42,0,1,5,0.3271,1,duration,514,398,116,42,0,0,74,36,12,0,26,0,0,2843,1329,0.3949,0.1846,119.383
pessimistic,100,bramev,42,42,42,1,2,5,0.5485,2,duration,557,403,154,144,0,0,10,5,3,0,2,0,0,411,221,0.0571,0.0307,13.392
pessimistic,100,bramev,42,42,42,2,1,5,0.5008,1,duration,215,169,46,41,0,0,5,3,1,0,1,0,0,171,75,0.0238,0.0104,6.258
pessimistic,100,bramev,42,42,42,3,1,5,0.5592,1,duration,536,391,145,75,0,0,70,29,14,0,27,0,0,2512,970,0.3489,0.1347,102.758
pessimistic,100,bramev,42,42,42,4,3,5,0.2214,3,duration,511,383,128,66,0,0,62,30,12,0,19,1,0,2292,1042,0.3183,0.1447,88.408
pessimistic,100,bramev,42,42,42,5,1,4,0.2996,1,duration,255,183,72,55,0,0,17,5,3,0,8,0,1,479,167,0.0832,0.029,20.617
pessimistic,100,bramev,42,42,42,6,0,6,0.4795,0,duration,212,165,47,47,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
pessimistic,100,bramev,42,42,42,7,1,6,0.4355,1,duration,213,168,45,33,0,0,12,6,3,0,3,0,0,402,170,0.0465,0.0197,15.025
pessimistic,100,bramev,42,42,42,8,0,5,0.518,0,duration,266,203,63,56,0,0,7,3,1,0,3,0,0,347,170,0.0482,0.0236,13.817
pessimistic,100,bramev,42,42,42,9,2,4,0.6361,2,duration,507,357,150,125,0,0,25,12,3,0,9,1,0,990,432,0.1719,0.075,39.983
pessimistic,100,bramev,42,42,42,10,0,5,0.3233,0,duration,261,196,65,39,0,0,26,14,3,0,9,0,0,989,547,0.1374,0.076,43.317
pessimistic,100,bramev,42,42,42,11,0,4,0.3019,0,duration,573,444,129,43,0,0,86,28,26,1,31,0,0,3427,1121,0.595,0.1946,114.108
pessimistic,100,bramev,42,42,42,12,3,6,0.2889,3,duration,550,395,155,142,0,0,13,6,4,0,3,0,0,542,246,0.0627,0.0285,17.708
pessimistic,100,bramev,42,42,42,13,3,4,0.4795,3,duration,216,154,62,38,0,0,24,10,3,0,8,3,0,890,330,0.1545,0.0573,31.167
pessimistic,100,bramev,42,42,42,14,3,4,0.4051,3,duration,571,424,147,101,0,0,46,20,10,0,16,0,0,1681,657,0.2918,0.1141,62.367
pessimistic,100,bramev,42,42,42,15,0,5,0.4023,0,duration,210,159,51,36,0,0,15,3,7,0,5,0,0,579,161,0.0804,0.0224,13.975
pessimistic,100,bramev,42,42,42,16,2,6,0.65,2,duration,193,128,65,63,0,0,2,1,0,0,0,1,0,43,4,0.005,0.0005,0.2
pessimistic,100,bramev,42,42,42,17,2,4,0.767,2,duration,321,205,116,87,0,0,29,9,10,0,9,1,0,1239,410,0.2151,0.0712,34.592
pessimistic,100,bramev,42,42,42,18,2,5,0.778,2,duration,300,199,101,58,0,0,43,19,5,0,18,1,0,1694,679,0.2353,0.0943,67.717
