scenario,nb_cars,method,seed,world_seed,grid_seed,kind,label,count,rate
pessimistic,100,greedy,42,42,42,observed,abs,286,0.217
pessimistic,100,greedy,42,42,42,observed,breakdown,17,0.0129
pessimistic,100,greedy,42,42,42,observed,early,27,0.0205
pessimistic,100,greedy,42,42,42,observed,late,434,0.3293
pessimistic,100,greedy,42,42,42,observed,pres,554,0.4203
pessimistic,100,greedy,42,42,42,intent,abs,303,0.2299
pessimistic,100,greedy,42,42,42,intent,early,188,0.1426
pessimistic,100,greedy,42,42,42,intent,late,273,0.2071
pessimistic,100,greedy,42,42,42,intent,pres,554,0.4203
pessimistic,100,greedy,42,42,42,reclassified,early->late,161,
