scenario,nb_cars,method,seed,world_seed,grid_seed,station_id,society_id,nb_charg_spot,alpha,score_index,score_weighting,nb_request,nb_rejected_request,nb_offer_issued,nb_offer_expired,nb_confirm_refused,nb_stale_confirm,nb_reservations,nb_pres,nb_no_show,nb_early_canc,nb_late_canc,nb_breakdown_canc,nb_unresolved,nb_slots_reserved,nb_slots_served,occupancy_rate,service_rate,demand_kwh
pessimistic,100,greedy,42,42,42,0,1,5,0.291,1,duration,192,1,191,0,0,0,191,82,37,6,65,1,0,6965,2890,0.9674,0.4014,264.417
pessimistic,100,greedy,42,42,42,1,2,5,0.2613,2,duration,4,0,4,0,0,0,4,3,1,0,0,0,0,205,166,0.0285,0.0231,6.367
pessimistic,100,greedy,42,42,42,2,1,5,0.7392,1,duration,8,0,8,0,0,0,8,5,2,0,1,0,0,234,130,0.0325,0.0181,8.342
pessimistic,100,greedy,42,42,42,3,1,5,0.8901,1,duration,39,0,39,0,0,0,39,10,12,0,17,0,0,1464,405,0.2033,0.0563,46.925
pessimistic,100,greedy,42,42,42,4,3,5,0.1427,3,duration,156,0,156,0,0,0,156,74,26,1,50,5,0,5837,2579,0.8107,0.3582,225.408
pessimistic,100,greedy,42,42,42,5,1,4,0.2198,1,duration,24,0,24,0,0,0,24,11,5,0,8,0,0,860,364,0.1493,0.0632,33.567
pessimistic,100,greedy,42,42,42,6,0,6,0.7086,0,duration,5,0,5,0,0,0,5,2,1,0,2,0,0,220,108,0.0255,0.0125,7.325
pessimistic,100,greedy,42,42,42,7,1,6,0.5708,1,duration,7,0,7,0,0,0,7,5,0,0,2,0,0,221,147,0.0256,0.017,10.542
pessimistic,100,greedy,42,42,42,8,0,5,0.808,0,duration,4,0,4,0,0,0,4,1,1,0,2,0,0,132,23,0.0183,0.0032,5.367
pessimistic,100,greedy,42,42,42,9,2,4,0.4875,2,duration,36,0,36,0,0,0,36,15,7,0,13,1,0,1410,541,0.2448,0.0939,51.917
pessimistic,100,greedy,42,42,42,10,0,5,0.3053,0,duration,36,0,36,0,0,0,36,16,8,0,12,0,0,1323,618,0.1837,0.0858,50.45
pessimistic,100,greedy,42,42,42,11,0,4,0.2502,0,duration,187,4,183,0,0,1,183,67,41,10,62,3,0,6307,2242,1.095,0.3892,225.65
pessimistic,100,greedy,42,42,42,12,3,6,0.3167,3,duration,6,0,6,0,0,0,6,3,2,0,1,0,0,170,72,0.0197,0.0083,6.083
pessimistic,100,greedy,42,42,42,13,3,4,0.8089,3,duration,30,0,30,0,0,0,30,10,5,0,15,0,0,1199,314,0.2082,0.0545,46.117
pessimistic,100,greedy,42,42,42,14,3,4,0.6168,3,duration,31,0,31,0,0,0,31,17,6,0,7,1,0,1081,548,0.1877,0.0951,45.025
pessimistic,100,greedy,42,42,42,15,0,5,0.5092,0,duration,33,0,33,0,0,0,33,14,6,0,13,0,0,1244,533,0.1728,0.074,49.358
pessimistic,100,greedy,42,42,42,16,2,6,0.5233,2,duration,1,0,1,0,0,0,1,1,0,0,0,0,0,28,26,0.0032,0.003,1.633
pessimistic,100,greedy,42,42,42,17,2,4,0.8252,2,duration,5,0,5,0,0,0,5,1,0,0,4,0,0,130,25,0.0226,0.0043,7.508
pessimistic,100,greedy,42,42,42,18,2,5,0.8535,2,duration,31,0,31,0,0,0,31,13,7,0,11,0,0,1284,472,0.1783,0.0656,46.225
pessimistic,100,greedy,42,42,42,19,3,6,0.7576,3,duration,5,0,5,0,0,0,5,1,1,0,1,2,0,182,38,0.0211,0.0044,3.4
pessimistic,100,greedy,42,42,42,20,2,4,0.4983,2,duration,7,0,7,0,0,0,7,0,2,0,4,1,0,281,0,0.0488,0.0,7.092
pessimistic,100,greedy,42,42,42,21,2,6,0.8027,2,duration,3,0,3,0,0,0,3,1,1,0,1,0,0,135,71,0.0156,0.0082,4.417
pessimistic,100,greedy,42,42,42,22,2,4,0.549,2,duration,31,0,31,0,0,0,31,18,6,0,7,0,0,1258,689,0.2184,0.1196,45.658
pessimistic,100,greedy,42,42,42,23,0,4,0.1812,0,duration,24,0,24,0,0,0,24,13,4,0,7,0,0,822,401,0.1427,0.0696,35.542
pessimistic,100,greedy,42,42,42,24,1,4,0.899,1,duration,1,0,1,0,0,0,1,0,1,0,0,0,0,60,0,0.0104,0.0,0.0
pessimistic,100,greedy,42,42,42,25,2,6,0.6409,2,duration,39,0,39,0,0,0,39,17,4,0,18,0,0,1453,621,0.1682,0.0719,65.092
pessimistic,100,greedy,42,42,42,26,3,5,0.1612,3,duration,202,4,198,0,0,1,198,83,52,10,52,1,0,6880,2977,0.9556,0.4135,242.367
pessimistic,100,greedy,42,42,42,27,2,4,0.399,2,duration,11,0,11,0,0,0,11,1,9,0,1,0,0,425,45,0.0738,0.0078,4.258
pessimistic,100,greedy,42,42,42,28,3,4,0.8962,3,duration,30,0,30,0,0,0,30,12,6,0,12,0,0,1103,444,0.1915,0.0771,44.125
pessimistic,100,greedy,42,42,42,29,3,5,0.2195,3,duration,28,0,28,0,0,0,28,10,10,0,8,0,0,1013,332,0.1407,0.0461,32.367
pessimistic,100,greedy,42,42,42,30,1,6,0.1037,1,duration,24,0,24,0,0,0,24,10,4,0,9,1,0,881,358,0.102,0.0414,36.05
pessimistic,100,greedy,42,42,42,31,2,5,0.4794,2,duration,25,0,25,0,0,0,25,10,10,0,5,0,0,817,302,0.1135,0.0419,24.55
pessimistic,100,greedy,42,42,42,32,0,5,0.2756,0,duration,11,0,11,0,0,0,11,4,3,0,4,0,0,415,129,0.0576,0.0179,13.317
pessimistic,100,greedy,42,42,42,33,1,4,0.6703,1,duration,4,0,4,0,0,0,4,2,0,0,2,0,0,189,90,0.0328,0.0156,7.442
pessimistic,100,greedy,42,42,42,34,0,5,0.3553,0,duration,3,0,3,0,0,0,3,1,1,0,1,0,0,98,33,0.0136,0.0046,3.8
pessimistic,100,greedy,42,42,42,35,0,6,0.6129,0,duration,13,0,13,0,0,0,13,7,2,0,4,0,0,564,273,0.0653,0.0316,22.033
pessimistic,100,greedy,42,42,42,36,3,6,0.4159,3,duration,16,0,16,0,0,0,16,6,1,0,8,1,0,585,202,0.0677,0.0234,26.883
pessimistic,100,greedy,42,42,42,37,0,4,0.6312,0,duration,3,0,3,0,0,0,3,2,0,0,1,0,0,173,117,0.03,0.0203,6.617
pessimistic,100,greedy,42,42,42,38,3,6,0.7902,3,duration,4,0,4,0,0,0,4,4,0,0,0,0,0,169,160,0.0196,0.0185,7.75
pessimistic,100,greedy,42,42,42,39,1,6,0.6455,1,duration,8,0,8,0,0,0,8,2,2,0,4,0,0,315,73,0.0365,0.0084,10.9
