scenario,nb_cars,method,seed,world_seed,grid_seed,kind,label,count,rate
pessimistic,100,multistation_rep,42,42,42,observed,abs,247,0.2188
pessimistic,100,multistation_rep,42,42,42,observed,breakdown,12,0.0106
pessimistic,100,multistation_rep,42,42,42,observed,early,1,0.0009
pessimistic,100,multistation_rep,42,42,42,observed,late,394,0.349
pessimistic,100,multistation_rep,42,42,42,observed,pres,474,0.4198
pessimistic,100,multistation_rep,42,42,42,observed,unresolved,1,0.0009
pessimistic,100,multistation_rep,42,42,42,intent,abs,259,0.2294
pessimistic,100,multistation_rep,42,42,42,intent,early,166,0.147
pessimistic,100,multistation_rep,42,42,42,intent,late,229,0.2028
pessimistic,100,multistation_rep,42,42,42,intent,pres,475,0.4207
pessimistic,100,multistation_rep,42,42,42,reclassified,early->late,165,
