scenario,nb_cars,method,seed,world_seed,grid_seed,station_id,society_id,nb_charg_spot,alpha,score_index,score_weighting,nb_request,nb_rejected_request,nb_offer_issued,nb_offer_expired,nb_confirm_refused,nb_stale_confirm,nb_reservations,nb_pres,nb_no_show,nb_early_canc,nb_late_canc,nb_breakdown_canc,nb_unresolved,nb_slots_reserved,nb_slots_served,occupancy_rate,service_rate,demand_kwh
pessimistic,100,multistation_rep,42,42,42,0,1,5,0.291,1,duration,494,377,117,43,0,0,74,37,14,0,23,0,0,2751,1372,0.3821,0.1906,113.258
pessimistic,100,multistation_rep,42,42,42,1,2,5,0.2613,2,duration,535,378,157,148,0,0,9,4,4,0,1,0,0,333,169,0.0462,0.0235,9.517
pessimistic,100,multistation_rep,42,42,42,2,1,5,0.7392,1,duration,215,169,46,39,0,0,7,3,2,0,2,0,0,242,75,0.0336,0.0104,7.758
pessimistic,100,multistation_rep,42,42,42,3,1,5,0.8901,1,duration,547,395,152,85,0,0,67,27,14,0,26,0,0,2370,877,0.3292,0.1218,96.517
pessimistic,100,multistation_rep,42,42,42,4,3,5,0.1427,3,duration,484,351,133,67,0,0,66,35,13,0,18,0,0,2392,1180,0.3322,0.1639,92.275
pessimistic,100,multistation_rep,42,42,42,5,1,4,0.2198,1,duration,257,180,77,59,0,0,18,7,3,0,7,0,1,564,275,0.0979,0.0477,24.85
pessimistic,100,multistation_rep,42,42,42,6,0,6,0.7086,0,duration,223,168,55,55,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
pessimistic,100,multistation_rep,42,42,42,7,1,6,0.5708,1,duration,213,168,45,31,0,0,14,5,4,0,5,0,0,461,140,0.0534,0.0162,15.867
pessimistic,100,multistation_rep,42,42,42,8,0,5,0.808,0,duration,272,201,71,65,0,0,6,3,1,0,2,0,0,298,170,0.0414,0.0236,11.775
pessimistic,100,multistation_rep,42,42,42,9,2,4,0.4875,2,duration,484,335,149,126,0,0,23,11,3,0,8,1,0,987,421,0.1714,0.0731,37.442
pessimistic,100,multistation_rep,42,42,42,10,0,5,0.3053,0,duration,265,194,71,39,0,0,32,18,4,0,10,0,0,1199,694,0.1665,0.0964,52.15
pessimistic,100,multistation_rep,42,42,42,11,0,4,0.2502,0,duration,558,421,137,50,0,0,87,29,26,1,31,0,0,3457,1156,0.6002,0.2007,115.525
pessimistic,100,multistation_rep,42,42,42,12,3,6,0.3167,3,duration,561,399,162,150,0,0,12,5,4,0,3,0,0,485,191,0.0561,0.0221,15.808
pessimistic,100,multistation_rep,42,42,42,13,3,4,0.8089,3,duration,214,148,66,42,0,0,24,9,2,0,10,3,0,863,292,0.1498,0.0507,33.3
pessimistic,100,multistation_rep,42,42,42,14,3,4,0.6168,3,duration,551,405,146,98,0,0,48,22,9,0,17,0,0,1681,667,0.2918,0.1158,64.617
pessimistic,100,multistation_rep,42,42,42,15,0,5,0.5092,0,duration,209,151,58,36,0,0,22,6,8,0,8,0,0,847,264,0.1176,0.0367,24.392
pessimistic,100,multistation_rep,42,42,42,16,2,6,0.5233,2,duration,190,129,61,60,0,0,1,0,0,0,0,1,0,37,0,0.0043,0.0,0.0
pessimistic,100,multistation_rep,42,42,42,17,2,4,0.8252,2,duration,329,217,112,83,0,0,29,13,6,0,9,1,0,1267,532,0.22,0.0924,41.2
pessimistic,100,multistation_rep,42,42,42,18,2,5,0.8535,2,duration,306,199,107,68,0,0,39,15,6,0,17,1,0,1542,526,0.2142,0.0731,57.7
pessimistic,100,multistation_rep,42,42,42,19,3,6,0.7576,3,duration,197,142,55,49,0,0,6,1,1,0,2,2,0,245,32,0.0284,0.0037,5.575
pessimistic,100,multistation_rep,42,42,42,20,2,4,0.4983,2,duration,322,216,106,99,0,0,7,1,2,0,4,0,0,241,49,0.0418,0.0085,9.025
pessimistic,100,multistation_rep,42,42,42,21,2,6,0.8027,2,duration,136,91,45,41,0,0,4,0,2,0,2,0,0,159,0,0.0184,0.0,4.3
pessimistic,100,multistation_rep,42,42,42,22,2,4,0.549,2,duration,478,341,137,92,0,0,45,24,3,0,17,1,0,1837,915,0.3189,0.1589,77.392
pessimistic,100,multistation_rep,42,42,42,23,0,4,0.1812,0,duration,212,164,48,30,0,0,18,10,4,0,4,0,0,761,414,0.1321,0.0719,26.283
pessimistic,100,multistation_rep,42,42,42,24,1,4,0.899,1,duration,550,405,145,128,0,0,17,8,6,0,3,0,0,576,240,0.1,0.0417,18.825
pessimistic,100,multistation_rep,42,42,42,25,2,6,0.6409,2,duration,501,339,162,109,0,0,53,21,11,0,21,0,0,2051,745,0.2374,0.0862,82.4
pessimistic,100,multistation_rep,42,42,42,26,3,5,0.1612,3,duration,523,375,148,47,0,0,101,42,22,0,36,1,0,3816,1508,0.53,0.2094,136.217
pessimistic,100,multistation_rep,42,42,42,27,2,4,0.399,2,duration,253,166,87,77,0,0,10,2,5,0,3,0,0,358,54,0.0622,0.0094,8.658
pessimistic,100,multistation_rep,42,42,42,28,3,4,0.8962,3,duration,459,331,128,112,0,0,16,5,1,0,10,0,0,561,174,0.0974,0.0302,27.117
pessimistic,100,multistation_rep,42,42,42,29,3,5,0.2195,3,duration,495,346,149,74,0,0,75,37,18,0,20,0,0,2710,1257,0.3764,0.1746,93.408
pessimistic,100,multistation_rep,42,42,42,30,1,6,0.1037,1,duration,575,430,145,80,0,0,65,18,21,0,26,0,0,2468,551,0.2856,0.0638,80.0
pessimistic,100,multistation_rep,42,42,42,31,2,5,0.4794,2,duration,249,159,90,66,0,0,24,8,6,0,10,0,0,906,267,0.1258,0.0371,32.158
pessimistic,100,multistation_rep,42,42,42,32,0,5,0.2756,0,duration,106,81,25,17,0,0,8,4,3,0,1,0,0,368,161,0.0511,0.0224,9.133
pessimistic,100,multistation_rep,42,42,42,33,1,4,0.6703,1,duration,121,82,39,31,0,0,8,4,2,0,2,0,0,276,129,0.0479,0.0224,11.833
pessimistic,100,multistation_rep,42,42,42,34,0,5,0.3553,0,duration,116,88,28,27,0,0,1,1,0,0,0,0,0,34,33,0.0047,0.0046,1.7
pessimistic,100,multistation_rep,42,42,42,35,0,6,0.6129,0,duration,260,186,74,46,0,0,28,11,5,0,12,0,0,1019,403,0.1179,0.0466,41.908
pessimistic,100,multistation_rep,42,42,42,36,3,6,0.4159,3,duration,219,158,61,49,0,0,12,6,0,0,6,0,0,382,199,0.0442,0.023,20.417
pessimistic,100,multistation_rep,42,42,42,37,0,4,0.6312,0,duration,533,410,123,96,0,0,27,12,5,0,10,0,0,1055,458,0.1832,0.0795,41.258
pessimistic,100,multistation_rep,42,42,42,38,3,6,0.7902,3,duration,620,445,175,169,0,0,6,4,2,0,0,0,0,256,174,0.0296,0.0201,7.275
pessimistic,100,multistation_rep,42,42,42,39,1,6,0.6455,1,duration,229,157,72,52,0,0,20,6,5,0,8,1,0,728,231,0.0843,0.0267,24.283
