scenario,nb_cars,method,seed,world_seed,grid_seed,car_id,station_id,distance_km,waiting_time_min
pessimistic,150,multistation,42,42,42,8,25,0.2336,0.0
pessimistic,150,multistation,42,42,42,20,22,0.3372,0.0
pessimistic,150,multistation,42,42,42,24,33,0.1597,0.0
pessimistic,150,multistation,42,42,42,25,13,0.3778,0.0
pessimistic,150,multistation,42,42,42,34,18,0.447,0.0
pessimistic,150,multistation,42,42,42,48,31,0.313,0.0
pessimistic,150,multistation,42,42,42,59,13,0.2315,0.0
pessimistic,150,multistation,42,42,42,68,3,0.0603,0.0
pessimistic,150,multistation,42,42,42,92,4,0.2343,0.0
pessimistic,150,multistation,42,42,42,104,10,0.2952,0.0
pessimistic,150,multistation,42,42,42,106,39,0.3062,0.0
pessimistic,150,multistation,42,42,42,121,29,0.1273,0.0
pessimistic,150,multistation,42,42,42,122,11,0.5135,0.0
pessimistic,150,multistation,42,42,42,143,0,0.2952,0.0
pessimistic,150,multistation,42,42,42,77,9,0.1751,0.0
pessimistic,150,multistation,42,42,42,47,7,0.1641,0.0
pessimistic,150,multistation,42,42,42,47,0,0.3382,0.0
pessimistic,150,multistation,42,42,42,19,20,0.0616,0.0
pessimistic,150,multistation,42,42,42,47,0,0.3382,0.0
pessimistic,150,multistation,42,42,42,19,28,0.2849,0.0
pessimistic,150,multistation,42,42,42,135,26,0.1996,0.0
pessimistic,150,multistation,42,42,42,111,26,0.1996,0.0
pessimistic,150,multistation,42,42,42,94,1,0.2075,0.0
pessimistic,150,multistation,42,42,42,139,9,0.153,0.0
pessimistic,150,multistation,42,42,42,139,9,0.1688,0.0
pessimistic,150,multistation,42,42,42,149,14,0.2864,0.0
pessimistic,150,multistation,42,42,42,149,14,0.2864,0.0
pessimistic,150,multistation,42,42,42,52,0,0.3382,0.0
pessimistic,150,multistation,42,42,42,31,30,0.6459,0.0
pessimistic,150,multistation,42,42,42,114,11,0.592,5.0
pessimistic,150,multistation,42,42,42,37,3,0.193,0.0
pessimistic,150,multistation,42,42,42,106,28,0.1461,0.0
pessimistic,150,multistation,42,42,42,114,11,0.592,0.0
pessimistic,150,multistation,42,42,42,37,17,0.0709,0.0
pessimistic,150,multistation,42,42,42,99,3,0.2022,0.0
pessimistic,150,multistation,42,42,42,106,16,0.1522,0.0
pessimistic,150,multistation,42,42,42,49,5,0.1984,0.0
pessimistic,150,multistation,42,42,42,99,15,0.5041,0.0
pessimistic,150,multistation,42,42,42,113,38,0.4596,0.0
pessimistic,150,multistation,42,42,42,76,18,0.0947,0.0
pessimistic,150,multistation,42,42,42,121,26,0.1996,0.0
pessimistic,150,multistation,42,42,42,16,25,0.1549,0.0
pessimistic,150,multistation,42,42,42,81,0,0.3382,5.0
pessimistic,150,multistation,42,42,42,16,25,0.1549,0.0
pessimistic,150,multistation,42,42,42,33,4,0.3017,0.0
pessimistic,150,multistation,42,42,42,146,30,0.6459,0.0
pessimistic,150,multistation,42,42,42,78,29,0.2935,0.0
pessimistic,150,multistation,42,42,42,40,5,0.1921,0.0
pessimistic,150,multistation,42,42,42,10,9,0.1986,0.0
pessimistic,150,multistation,42,42,42,40,5,0.1381,0.0
pessimistic,150,multistation,42,42,42,58,26,0.0542,0.0
pessimistic,150,multistation,42,42,42,5,4,0.3017,0.0
pessimistic,150,multistation,42,42,42,10,4,0.3017,0.0
pessimistic,150,multistation,42,42,42,58,26,0.1996,0.0
pessimistic,150,multistation,42,42,42,119,11,0.592,0.0
pessimistic,150,multistation,42,42,42,5,4,0.3017,0.0
pessimistic,150,multistation,42,42,42,62,19,0.4718,0.0
pessimistic,150,multistation,42,42,42,62,23,0.1071,0.0
pessimistic,150,multistation,42,42,42,27,0,0.3382,0.0
pessimistic,150,multistation,42,42,42,2,36,0.2487,0.0
pessimistic,150,multistation,42,42,42,113,25,0.0893,0.0
pessimistic,150,multistation,42,42,42,131,4,0.3017,0.0
pessimistic,150,multistation,42,42,42,148,17,0.1145,0.0
pessimistic,150,multistation,42,42,42,131,36,0.2891,0.0
pessimistic,150,multistation,42,42,42,131,0,0.3382,0.0
pessimistic,150,multistation,42,42,42,7,26,0.1996,0.0
pessimistic,150,multistation,42,42,42,13,3,0.0887,0.0
pessimistic,150,multistation,42,42,42,7,3,0.4483,0.0
