scenario,nb_cars,method,seed,world_seed,grid_seed,society_id,station_id,update_step,alpha
pessimistic,150,multistation,42,42,42,0,6,0,0.708626
pessimistic,150,multistation,42,42,42,0,8,0,0.80801
pessimistic,150,multistation,42,42,42,0,10,0,0.305265
pessimistic,150,multistation,42,42,42,0,11,0,0.250242
pessimistic,150,multistation,42,42,42,0,15,0,0.509227
pessimistic,150,multistation,42,42,42,0,23,0,0.181183
pessimistic,150,multistation,42,42,42,0,32,0,0.275578
pessimistic,150,multistation,42,42,42,0,34,0,0.355302
pessimistic,150,multistation,42,42,42,0,35,0,0.612853
pessimistic,150,multistation,42,42,42,0,37,0,0.631187
pessimistic,150,multistation,42,42,42,1,0,0,0.290955
pessimistic,150,multistation,42,42,42,1,2,0,0.739154
pessimistic,150,multistation,42,42,42,1,3,0,0.890094
pessimistic,150,multistation,42,42,42,1,5,0,0.219847
pessimistic,150,multistation,42,42,42,1,7,0,0.57078
pessimistic,150,multistation,42,42,42,1,24,0,0.89897
pessimistic,150,multistation,42,42,42,1,30,0,0.103723
pessimistic,150,multistation,42,42,42,1,33,0,0.670335
pessimistic,150,multistation,42,42,42,1,39,0,0.645542
pessimistic,150,multistation,42,42,42,2,1,0,0.261312
pessimistic,150,multistation,42,42,42,2,9,0,0.487495
pessimistic,150,multistation,42,42,42,2,16,0,0.523287
pessimistic,150,multistation,42,42,42,2,17,0,0.825234
pessimistic,150,multistation,42,42,42,2,18,0,0.853542
pessimistic,150,multistation,42,42,42,2,20,0,0.498274
pessimistic,150,multistation,42,42,42,2,21,0,0.802734
pessimistic,150,multistation,42,42,42,2,22,0,0.548952
pessimistic,150,multistation,42,42,42,2,25,0,0.640901
pessimistic,150,multistation,42,42,42,2,27,0,0.398953
pessimistic,150,multistation,42,42,42,2,31,0,0.479421
pessimistic,150,multistation,42,42,42,3,4,0,0.142737
pessimistic,150,multistation,42,42,42,3,12,0,0.316738
pessimistic,150,multistation,42,42,42,3,13,0,0.808909
pessimistic,150,multistation,42,42,42,3,14,0,0.616847
pessimistic,150,multistation,42,42,42,3,19,0,0.757572
pessimistic,150,multistation,42,42,42,3,26,0,0.161244
pessimistic,150,multistation,42,42,42,3,28,0,0.896155
pessimistic,150,multistation,42,42,42,3,29,0,0.219529
pessimistic,150,multistation,42,42,42,3,36,0,0.415861
pessimistic,150,multistation,42,42,42,3,38,0,0.790242
