scenario,nb_cars,method,seed,world_seed,grid_seed,station_id,society_id,nb_charg_spot,alpha,score_index,score_weighting,nb_request,nb_rejected_request,nb_offer_issued,nb_offer_expired,nb_confirm_refused,nb_stale_confirm,nb_reservations,nb_pres,nb_no_show,nb_early_canc,nb_late_canc,nb_breakdown_canc,nb_unresolved,nb_slots_reserved,nb_slots_served,occupancy_rate,service_rate,demand_kwh
pessimistic,150,multistation,42,42,42,0,1,5,0.291,1,duration,383,4,379,158,0,0,221,99,39,8,70,5,0,8114,3407,1.1269,0.4732,313.217
pessimistic,150,multistation,42,42,42,1,2,5,0.2613,2,duration,435,0,435,428,0,0,7,5,1,0,1,0,0,360,256,0.05,0.0356,12.0
pessimistic,150,multistation,42,42,42,2,1,5,0.7392,1,duration,204,0,204,198,0,0,6,3,1,0,2,0,0,248,89,0.0344,0.0124,9.725
pessimistic,150,multistation,42,42,42,3,1,5,0.8901,1,duration,430,0,430,328,0,0,102,37,30,0,34,1,0,3504,1224,0.4867,0.17,122.292
pessimistic,150,multistation,42,42,42,4,3,5,0.1427,3,duration,383,0,383,199,0,0,184,84,34,0,60,6,0,6821,2995,0.9474,0.416,269.167
pessimistic,150,multistation,42,42,42,5,1,4,0.2198,1,duration,188,0,188,160,0,0,28,6,9,0,13,0,0,987,214,0.1714,0.0372,32.125
pessimistic,150,multistation,42,42,42,6,0,6,0.7086,0,duration,178,0,178,167,0,0,11,6,1,0,4,0,0,422,220,0.0488,0.0255,18.55
pessimistic,150,multistation,42,42,42,7,1,6,0.5708,1,duration,199,0,199,186,0,0,13,6,1,0,6,0,0,419,186,0.0485,0.0215,20.742
pessimistic,150,multistation,42,42,42,8,0,5,0.808,0,duration,218,0,218,212,0,0,6,4,1,0,1,0,0,177,99,0.0246,0.0138,8.508
pessimistic,150,multistation,42,42,42,9,2,4,0.4875,2,duration,393,0,393,353,0,0,40,14,11,0,15,0,0,1656,490,0.2875,0.0851,56.525
pessimistic,150,multistation,42,42,42,10,0,5,0.3053,0,duration,221,0,221,155,0,0,66,26,15,0,24,1,0,2185,762,0.3035,0.1058,83.142
pessimistic,150,multistation,42,42,42,11,0,4,0.2502,0,duration,452,1,451,279,0,0,172,70,46,0,53,3,0,6537,2530,1.1349,0.4392,219.058
pessimistic,150,multistation,42,42,42,12,3,6,0.3167,3,duration,449,0,449,423,0,0,26,11,7,0,7,1,0,875,324,0.1013,0.0375,30.883
pessimistic,150,multistation,42,42,42,13,3,4,0.8089,3,duration,179,0,179,131,0,0,48,13,14,0,19,2,0,1783,432,0.3095,0.075,63.133
pessimistic,150,multistation,42,42,42,14,3,4,0.6168,3,duration,434,0,434,394,0,0,40,14,10,0,16,0,0,1403,405,0.2436,0.0703,52.375
pessimistic,150,multistation,42,42,42,15,0,5,0.5092,0,duration,229,0,229,151,0,0,78,28,11,0,37,2,0,3060,1132,0.425,0.1572,116.925
pessimistic,150,multistation,42,42,42,16,2,6,0.5233,2,duration,166,0,166,164,0,0,2,1,1,0,0,0,0,72,33,0.0083,0.0038,2.042
pessimistic,150,multistation,42,42,42,17,2,4,0.8252,2,duration,291,0,291,278,0,0,13,5,3,0,5,0,0,471,170,0.0818,0.0295,17.508
pessimistic,150,multistation,42,42,42,18,2,5,0.8535,2,duration,257,0,257,205,0,0,52,18,11,0,22,1,0,1967,638,0.2732,0.0886,72.625
pessimistic,150,multistation,42,42,42,19,3,6,0.7576,3,duration,175,0,175,166,0,0,9,4,0,0,4,1,0,291,110,0.0337,0.0127,12.708
pessimistic,150,multistation,42,42,42,20,2,4,0.4983,2,duration,278,0,278,273,0,0,5,1,2,0,2,0,0,172,28,0.0299,0.0049,5.008
pessimistic,150,multistation,42,42,42,21,2,6,0.8027,2,duration,107,0,107,101,0,0,6,0,4,0,2,0,0,197,0,0.0228,0.0,2.967
pessimistic,150,multistation,42,42,42,22,2,4,0.549,2,duration,382,0,382,319,0,0,63,31,13,0,19,0,0,2256,968,0.3917,0.1681,86.717
pessimistic,150,multistation,42,42,42,23,0,4,0.1812,0,duration,204,0,204,170,0,0,34,17,3,0,14,0,0,1100,506,0.191,0.0878,49.025
pessimistic,150,multistation,42,42,42,24,1,4,0.899,1,duration,443,0,443,440,0,0,3,1,0,0,2,0,0,98,38,0.017,0.0066,5.242
pessimistic,150,multistation,42,42,42,25,2,6,0.6409,2,duration,383,0,383,330,0,0,53,22,14,0,17,0,0,2030,902,0.235,0.1044,74.892
pessimistic,150,multistation,42,42,42,26,3,5,0.1612,3,duration,405,0,405,194,0,0,211,100,43,4,63,1,0,7933,3684,1.1018,0.5117,311.867
pessimistic,150,multistation,42,42,42,27,2,4,0.399,2,duration,188,0,188,175,0,0,13,5,5,0,3,0,0,514,153,0.0892,0.0266,15.458
pessimistic,150,multistation,42,42,42,28,3,4,0.8962,3,duration,393,0,393,339,0,0,54,20,11,0,22,1,0,2106,670,0.3656,0.1163,78.558
pessimistic,150,multistation,42,42,42,29,3,5,0.2195,3,duration,412,0,412,331,0,0,81,41,12,0,28,0,0,2935,1402,0.4076,0.1947,125.617
pessimistic,150,multistation,42,42,42,30,1,6,0.1037,1,duration,449,0,449,324,0,0,125,50,25,0,50,0,0,4741,1753,0.5487,0.2029,187.15
pessimistic,150,multistation,42,42,42,31,2,5,0.4794,2,duration,191,0,191,153,0,0,38,10,11,0,17,0,0,1491,374,0.2071,0.0519,52.35
pessimistic,150,multistation,42,42,42,32,0,5,0.2756,0,duration,92,0,92,73,0,0,19,7,6,0,6,0,0,639,193,0.0887,0.0268,19.892
pessimistic,150,multistation,42,42,42,33,1,4,0.6703,1,duration,83,0,83,77,0,0,6,1,3,0,1,1,0,207,50,0.0359,0.0087,3.533
pessimistic,150,multistation,42,42,42,34,0,5,0.3553,0,duration,100,0,100,96,0,0,4,2,2,0,0,0,0,129,50,0.0179,0.0069,3.358
pessimistic,150,multistation,42,42,42,35,0,6,0.6129,0,duration,183,0,183,168,0,0,15,11,2,0,2,0,0,524,378,0.0606,0.0437,23.275
pessimistic,150,multistation,42,42,42,36,3,6,0.4159,3,duration,217,0,217,186,0,0,31,16,4,0,11,0,0,1113,591,0.1288,0.0684,50.458
pessimistic,150,multistation,42,42,42,37,0,4,0.6312,0,duration,430,0,430,427,0,0,3,3,0,0,0,0,0,137,130,0.0238,0.0226,5.55
pessimistic,150,multistation,42,42,42,38,3,6,0.7902,3,duration,497,0,497,482,0,0,15,9,2,0,4,0,0,591,379,0.0684,0.0439,22.875
pessimistic,150,multistation,42,42,42,39,1,6,0.6455,1,duration,184,0,184,170,0,0,14,4,4,0,6,0,0,474,156,0.0549,0.0181,17.633
