scenario,nb_cars,method,seed,world_seed,grid_seed,kind,label,count,rate
pessimistic,200,multistation,42,42,42,observed,abs,562,0.2192
pessimistic,200,multistation,42,42,42,observed,breakdown,38,0.0148
pessimistic,200,multistation,42,42,42,observed,early,16,0.0062
pessimistic,200,multistation,42,42,42,observed,late,889,0.3467
pessimistic,200,multistation,42,42,42,observed,pres,1056,0.4119
pessimistic,200,multistation,42,42,42,observed,unresolved,3,0.0012
pessimistic,200,multistation,42,42,42,intent,abs,600,0.234
pessimistic,200,multistation,42,42,42,intent,early,375,0.1463
pessimistic,200,multistation,42,42,42,intent,late,530,0.2067
pessimistic,200,multistation,42,42,42,intent,pres,1059,0.413
pessimistic,200,multistation,42,42,42,reclassified,early->late,359,
