scenario,nb_cars,method,seed,world_seed,grid_seed,society_id,station_id,update_step,alpha
pessimistic,250,bramev,42,42,42,0,6,0,0.708626
pessimistic,250,bramev,42,42,42,0,6,1,0.662787
pessimistic,250,bramev,42,42,42,0,6,2,0.671732
pessimistic,250,bramev,42,42,42,0,6,3,0.634603
pessimistic,250,bramev,42,42,42,0,6,4,0.601187
pessimistic,250,bramev,42,42,42,0,6,5,0.571112
pessimistic,250,bramev,42,42,42,0,6,6,0.565457
pessimistic,250,bramev,42,42,42,0,6,7,0.541096
pessimistic,250,bramev,42,42,42,0,6,8,0.531559
pessimistic,250,bramev,42,42,42,0,6,9,0.511827
pessimistic,250,bramev,42,42,42,0,8,0,0.80801
pessimistic,250,bramev,42,42,42,0,8,1,0.752233
pessimistic,250,bramev,42,42,42,0,8,2,0.752233
pessimistic,250,bramev,42,42,42,0,8,3,0.707054
pessimistic,250,bramev,42,42,42,0,8,4,0.666393
pessimistic,250,bramev,42,42,42,0,8,5,0.629798
pessimistic,250,bramev,42,42,42,0,8,6,0.618274
pessimistic,250,bramev,42,42,42,0,8,7,0.588632
pessimistic,250,bramev,42,42,42,0,8,8,0.574341
pessimistic,250,bramev,42,42,42,0,8,9,0.550331
pessimistic,250,bramev,42,42,42,0,10,0,0.305265
pessimistic,250,bramev,42,42,42,0,10,1,0.299763
pessimistic,250,bramev,42,42,42,0,10,2,0.34501
pessimistic,250,bramev,42,42,42,0,10,3,0.340553
pessimistic,250,bramev,42,42,42,0,10,4,0.336542
pessimistic,250,bramev,42,42,42,0,10,5,0.332932
pessimistic,250,bramev,42,42,42,0,10,6,0.351094
pessimistic,250,bramev,42,42,42,0,10,7,0.34817
pessimistic,250,bramev,42,42,42,0,10,8,0.357926
pessimistic,250,bramev,42,42,42,0,10,9,0.355557
pessimistic,250,bramev,42,42,42,0,11,0,0.250242
pessimistic,250,bramev,42,42,42,0,11,1,0.250242
pessimistic,250,bramev,42,42,42,0,11,2,0.300441
pessimistic,250,bramev,42,42,42,0,11,3,0.300441
pessimistic,250,bramev,42,42,42,0,11,4,0.300441
pessimistic,250,bramev,42,42,42,0,11,5,0.300441
pessimistic,250,bramev,42,42,42,0,11,6,0.321853
pessimistic,250,bramev,42,42,42,0,11,7,0.321853
pessimistic,250,bramev,42,42,42,0,11,8,0.33424
pessimistic,250,bramev,42,42,42,0,11,9,0.33424
pessimistic,250,bramev,42,42,42,0,15,0,0.509227
pessimistic,250,bramev,42,42,42,0,15,1,0.483328
pessimistic,250,bramev,42,42,42,0,15,2,0.510219
pessimistic,250,bramev,42,42,42,0,15,3,0.489241
pessimistic,250,bramev,42,42,42,0,15,4,0.470361
pessimistic,250,bramev,42,42,42,0,15,5,0.453369
pessimistic,250,bramev,42,42,42,0,15,6,0.459488
pessimistic,250,bramev,42,42,42,0,15,7,0.445725
pessimistic,250,bramev,42,42,42,0,15,8,0.445725
pessimistic,250,bramev,42,42,42,0,15,9,0.434576
pessimistic,250,bramev,42,42,42,0,23,0,0.181183
pessimistic,250,bramev,42,42,42,0,23,1,0.188089
