scenario,nb_cars,method,seed,world_seed,grid_seed,kind,label,count,rate
pessimistic,250,bramev,42,42,42,observed,abs,606,0.226
pessimistic,250,bramev,42,42,42,observed,breakdown,32,0.0119
pessimistic,250,bramev,42,42,42,observed,early,26,0.0097
pessimistic,250,bramev,42,42,42,observed,late,900,0.3357
pessimistic,250,bramev,42,42,42,observed,pres,1116,0.4163
pessimistic,250,bramev,42,42,42,observed,unresolved,1,0.0004
pessimistic,250,bramev,42,42,42,intent,abs,638,0.238
pessimistic,250,bramev,42,42,42,intent,early,393,0.1466
pessimistic,250,bramev,42,42,42,intent,late,533,0.1988
pessimistic,250,bramev,42,42,42,intent,pres,1117,0.4166
pessimistic,250,bramev,42,42,42,reclassified,early->late,367,
