scenario,nb_cars,method,seed,world_seed,grid_seed,demand_id,car_id,slot,nb_stations,nb_offers,confirmed,confirm_attempts,first_offer_ms,last_offer_ms,selection_ms,confirmation_ms,total_ms
pessimistic,250,multistation_rep,42,42,42,t00000-c00008,8,0,6,6,True,1,300055.76520798786,3620330.868249992,602919.665333,0.030333001632243395,4223250.563915994
pessimistic,250,multistation_rep,42,42,42,t00000-c00020,20,0,10,10,True,1,600119.5932919945,3623086.444207991,600164.1628340003,0.009583003702573478,4223250.616624995
pessimistic,250,multistation_rep,42,42,42,t00000-c00024,24,0,12,12,True,1,600119.5599170023,4223250.429374996,0.18404200091026723,0.006832997314631939,4223250.620249993
pessimistic,250,multistation_rep,42,42,42,t00000-c00025,25,0,5,5,True,1,1199591.5458329981,4223250.398749995,0.20933299674652517,0.0043330073822289705,4223250.612415999
pessimistic,250,multistation_rep,42,42,42,t00000-c00033,33,0,5,5,True,1,300055.6286670035,3620330.731541995,602919.8821250029,0.004542001988738775,4223250.618209
pessimistic,250,multistation_rep,42,42,42,t00000-c00034,34,0,6,6,True,1,877684.3031250028,3923153.0709999935,300097.5357920106,0.004874993464909494,4223250.611666998
pessimistic,250,multistation_rep,42,42,42,t00000-c00048,48,0,7,7,True,1,877684.2738749983,3620330.672291995,602919.927875002,0.004125002305954695,4223250.604292
pessimistic,250,multistation_rep,42,42,42,t00000-c00059,59,0,6,5,True,1,1199591.4265000029,4223250.279375003,0.3130409895675257,0.003834007657133043,4223250.5962499995
pessimistic,250,multistation_rep,42,42,42,t00000-c00068,68,0,6,6,True,1,877684.215915986,3923152.9831659864,300097.60091701173,0.003957989974878728,4223250.588040988
pessimistic,250,multistation_rep,42,42,42,t00000-c00092,92,0,9,9,True,1,600119.3501669914,4223250.221208,0.3564590006135404,0.004250003257766366,4223250.581917004
pessimistic,250,multistation_rep,42,42,42,t00000-c00099,99,0,5,5,True,1,1198128.6111670053,3448373.3720420133,774877.1973749972,0.004125002305954695,4223250.573542013
pessimistic,250,multistation_rep,42,42,42,t00000-c00104,104,0,6,6,True,1,1198128.582874997,3923152.895124993,300097.66437500366,0.0037919962778687477,4223250.563291993
pessimistic,250,multistation_rep,42,42,42,t00000-c00106,106,0,7,7,True,1,1199591.2821249948,4223250.135084003,0.42266599484719336,0.004083995008841157,4223250.561833993
pessimistic,250,multistation_rep,42,42,42,t00000-c00114,114,0,7,7,True,1,897959.4597920077,3923152.8355000047,300097.7157080051,0.0041669991333037615,4223250.555375009
pessimistic,250,multistation_rep,42,42,42,t00000-c00121,121,0,6,6,True,1,300055.3326250083,3620995.6197499996,602254.9211250007,0.004125002305954695,4223250.545000003
pessimistic,250,multistation_rep,42,42,42,t00000-c00122,122,0,4,4,True,1,1530455.3618749925,3448373.2258329983,774877.3107499874,0.0037500140024349093,4223250.540333
pessimistic,250,multistation_rep,42,42,42,t00000-c00143,143,0,3,3,True,1,300055.2766250039,3447470.853040999,775779.6740000049,0.003374996595084667,4223250.530416001
pessimistic,250,multistation_rep,42,42,42,t00000-c00146,146,0,7,7,True,1,1199591.1340839956,4223249.987042,0.5292080022627488,0.004125002305954695,4223250.520375004
pessimistic,250,multistation_rep,42,42,42,t00000-c00151,151,0,6,6,True,1,877683.9230830083,3923152.6914580027,300097.815000001,0.003916997229680419,4223250.510375001
pessimistic,250,multistation_rep,42,42,42,t00000-c00154,154,0,6,6,True,1,1198128.3512920053,3923152.664084002,300097.8521250072,0.0037909921957179904,4223250.520000001
pessimistic,250,multistation_rep,42,42,42,t00000-c00166,166,0,7,7,True,1,897959.259042007,3448373.0822090004,774877.4257910118,0.003749999450519681,4223250.511750012
pessimistic,250,multistation_rep,42,42,42,t00000-c00178,178,0,6,6,True,1,300055.1322920073,3620330.234000008,602920.2644999896,0.0036249984987080097,4223250.502124996
pessimistic,250,multistation_rep,42,42,42,t00000-c00191,191,0,12,12,True,1,600118.9692089974,4223249.842083998,0.6478330033132806,0.004457993782125413,4223250.494374995
pessimistic,250,multistation_rep,42,42,42,t00000-c00196,196,0,6,6,True,1,300055.0723750057,3620330.174332994,602920.3065830079,0.003916997229680419,4223250.484832999
pessimistic,250,multistation_rep,42,42,42,t00000-c00203,203,0,9,9,True,1,877683.7489159952,3923152.517625,300097.95949999534,0.004665998858399689,4223250.481790994
pessimistic,250,multistation_rep,42,42,42,t00000-c00204,204,0,9,8,True,1,600118.8837079972,4223249.756582998,0.7135000050766394,0.003916997229680419,4223250.474
pessimistic,250,multistation_rep,42,42,42,t00000-c00211,211,0,3,3,True,1,300054.9869999959,3447470.5625829957,775779.896417007,0.0032919924706220627,4223250.462291995
pessimistic,250,multistation_rep,42,42,42,t00000-c00213,213,0,10,10,True,1,897959.056000007,3619040.4898749986,604209.96225001,0.004457993782125413,4223250.456583003
pessimistic,250,multistation_rep,42,42,42,t00000-c00214,214,0,7,7,True,1,600118.7985419965,3623085.650791996,600164.7969159967,0.0038750004023313522,4223250.451582993
pessimistic,250,multistation_rep,42,42,42,t00000-c00218,218,0,9,9,True,1,600118.7707089994,3620995.1869999934,602255.2521670004,0.0040000013541430235,4223250.443166995
pessimistic,250,multistation_rep,42,42,42,t00000-c00219,219,0,5,5,True,1,877683.5790830082,3923152.3476250004,300098.0859580013,0.003749999450519681,4223250.437333001
pessimistic,250,multistation_rep,42,42,42,t00000-c00235,235,0,5,5,True,1,1198128.0065419995,3448372.765124994,774877.6578750112,0.003749999450519681,4223250.426750004
pessimistic,250,multistation_rep,42,42,42,t00001-c00025,25,1,5,5,True,1,266.8104579934152,2188.086416994338,167.3628330026986,0.016792007954791188,2355.4660420049913
pessimistic,250,multistation_rep,42,42,42,t00001-c00104,104,1,6,4,True,1,891.0598749935161,2319.31262499711,36.189167003612965,0.0072499969974160194,2355.5090419977205
pessimistic,250,multistation_rep,42,42,42,t00001-c00106,106,1,7,7,True,1,110.78279200592078,2238.5595840023598,116.94295800407417,0.005832989700138569,2355.508374996134
pessimistic,250,multistation_rep,42,42,42,t00001-c00121,121,1,6,4,True,1,26.595624993206002,1220.3181669901824,1135.177250005654,0.004999994416721165,2355.500416990253
pessimistic,250,multistation_rep,42,42,42,t00001-c00151,151,1,3,2,True,1,728.7120419932762,1841.37149999151,514.11362500221,0.004083995008841157,2355.489208988729
pessimistic,250,multistation_rep,42,42,42,t00001-c00196,196,1,9,8,True,1,110.68633299146313,2355.2584999997634,0.2177499991375953,0.005041001713834703,2355.481291000615
pessimistic,250,multistation_rep,42,42,42,t00001-c00213,213,1,10,9,True,1,378.9872920024209,2071.916250002687,283.57362499809824,0.00549999822396785,2355.495374999009
pessimistic,250,multistation_rep,42,42,42,t00001-c00218,218,1,8,4,True,1,890.8720420004101,2319.124458997976,36.36458299297374,0.003749999450519681,2355.4927919904003
pessimistic,250,multistation_rep,42,42,42,t00002-c00196,196,2,9,6,True,1,51.13162500492763,270.9363339963602,0.03275000199209899,0.016332996892742813,270.98541699524503
pessimistic,250,multistation_rep,42,42,42,t00002-c00213,213,2,0,0,False,0,,,,,
pessimistic,250,multistation_rep,42,42,42,t00003-c00160,160,3,7,7,True,1,42.084041007910855,581.9422500062501,0.02937500539701432,0.01566599530633539,581.9872910069535
pessimistic,250,multistation_rep,42,42,42,t00003-c00213,213,3,12,5,True,1,174.6050420042593,550.4726670042146,31.544166995445266,0.006707996362820268,582.0235419960227
pessimistic,250,multistation_rep,42,42,42,t00004-c00114,114,4,8,4,True,1,143.4687079890864,375.1586669968674,141.38537499820814,0.014874996850267053,516.5589169919258
pessimistic,250,multistation_rep,42,42,42,t00004-c00213,213,4,14,3,True,1,336.06337499804795,516.4696669962723,0.12850000348407775,0.006374990334734321,516.6045419900911
pessimistic,250,multistation_rep,42,42,42,t00005-c00114,114,5,8,3,True,1,204.64266699855216,330.50691700191237,33.86841599422041,0.022459003957919776,364.3977920000907
pessimistic,250,multistation_rep,42,42,42,t00005-c00213,213,5,11,0,False,0,,,,,
pessimistic,250,multistation_rep,42,42,42,t00006-c00179,179,6,10,10,True,1,87.58620799926575,825.0392079935409,0.03300000389572233,0.01575000351294875,825.0879580009496
pessimistic,250,multistation_rep,42,42,42,t00006-c00213,213,6,5,0,False,0,,,,,
pessimistic,250,multistation_rep,42,42,42,t00006-c00225,225,6,9,9,True,1,87.51408298849128,787.7720830001635,37.32704199501313,0.006791000487282872,825.105915995664
pessimistic,250,multistation_rep,42,42,42,t00007-c00077,77,7,9,9,True,1,63.799875002587214,870.6600420118775,0.02579099964350462,0.01808399974834174,870.7039170112694
pessimistic,250,multistation_rep,42,42,42,t00007-c00177,177,7,3,3,True,1,165.31087500334252,605.63700000057,265.1105000113603,0.0072499969974160194,870.7547500089277
pessimistic,250,multistation_rep,42,42,42,t00007-c00179,179,7,15,9,True,1,108.87587501201779,870.5837910092669,0.16774999676272273,0.0064589985413476825,870.7580000045709
pessimistic,250,multistation_rep,42,42,42,t00007-c00213,213,7,3,0,False,0,,,,,
pessimistic,250,multistation_rep,42,42,42,t00008-c00213,213,8,7,0,False,0,,,,,
pessimistic,250,multistation_rep,42,42,42,t00009-c00047,47,9,7,7,True,1,30.64200001244899,369.9453330045799,13.886834000004455,0.024291002773679793,383.856458007358
pessimistic,250,multistation_rep,42,42,42,t00009-c00213,213,9,7,0,False,0,,,,,
pessimistic,250,multistation_rep,42,42,42,t00010-c00047,47,10,3,2,True,1,469.1386249905918,578.8872919947607,170.1420000026701,0.023250002413988113,749.0525419998448
pessimistic,250,multistation_rep,42,42,42,t00010-c00213,213,10,10,0,False,0,,,,,
pessimistic,250,multistation_rep,42,42,42,t00010-c00217,217,10,4,4,True,1,134.80637499014847,714.450665996992,34.616208999068476,0.007875001756474376,749.074749997817
pessimistic,250,multistation_rep,42,42,42,t00010-c00236,236,10,3,3,True,1,66.25420799537096,578.7642079958459,170.3129999950761,0.005459005478769541,749.0826669964008
pessimistic,250,multistation_rep,42,42,42,t00011-c00019,19,11,15,15,True,1,75.78262500464916,939.0607919922331,0.024042004952207208,0.022499996703118086,939.1073339938885
