scenario,nb_cars,method,seed,world_seed,grid_seed,demand_id,car_id,slot,nb_stations,nb_offers,confirmed,confirm_attempts,first_offer_ms,last_offer_ms,selection_ms,confirmation_ms,total_ms
pessimistic,50,multistation,42,42,42,t00000-c00008,8,0,6,6,True,1,130.34737500129268,2859.550875000423,1056.136958010029,0.025874993298202753,3915.71370800375
pessimistic,50,multistation,42,42,42,t00000-c00020,20,0,10,10,True,1,267.5152080046246,3658.214166003745,257.4806670018006,0.008374991011805832,3915.7032079965575
pessimistic,50,multistation,42,42,42,t00000-c00024,24,0,12,12,True,1,267.4287919944618,3915.4713330062805,0.17629200010560453,0.006499991286545992,3915.6541249976726
pessimistic,50,multistation,42,42,42,t00000-c00025,25,0,5,5,True,1,557.1325000055367,3915.3881660022307,0.2017920051002875,0.0049579975893720984,3915.5949160049204
pessimistic,50,multistation,42,42,42,t00000-c00033,33,0,5,5,True,1,129.98437500209548,2859.1878750012256,1056.3546250050422,0.0049579975893720984,3915.547458003857
pessimistic,50,multistation,42,42,42,t00000-c00034,34,0,6,6,True,1,349.1814170120051,3703.644749999512,211.8332500103861,0.004417001036927104,3915.482417010935
pessimistic,50,multistation,42,42,42,t00000-c00048,48,0,7,7,True,1,349.0921670017997,2859.0114999969956,1056.400166999083,0.004375004209578037,3915.416042000288
pessimistic,50,multistation,42,42,42,t00001-c00025,25,1,5,5,True,1,59.95870901097078,403.44012501009274,0.019458995666354895,0.01937500201165676,403.47895900777075
pessimistic,50,multistation,42,42,42,t00009-c00047,47,9,7,7,True,1,40.0630829972215,323.14045800012536,0.023667002096772194,0.01812499249354005,323.1822499947157
pessimistic,50,multistation,42,42,42,t00010-c00047,47,10,3,3,True,1,34.14845900260843,116.5691250062082,0.022499996703118086,0.014791992725804448,116.60641699563712
pessimistic,50,multistation,42,42,42,t00011-c00019,19,11,15,15,True,1,83.75866699498147,842.8635830059648,0.023499989765696228,0.020584004232659936,842.9076669999631
pessimistic,50,multistation,42,42,42,t00011-c00047,47,11,3,3,True,1,31.36454201012384,638.5910420067376,204.36508300190326,0.006250003934837878,842.9623750125756
pessimistic,50,multistation,42,42,42,t00012-c00019,19,12,11,11,True,1,81.17495899205096,764.263041986851,0.022042004275135696,0.018250007997266948,764.3033339991234
pessimistic,50,multistation,42,42,42,t00021-c00005,5,21,3,3,True,1,20.04533300350886,72.25574999756645,0.01375000283587724,0.013416996807791293,72.28291699721012
pessimistic,50,multistation,42,42,42,t00022-c00031,31,22,3,3,True,1,32.93220799241681,139.58954099507537,0.017708996892906725,0.014874996850267053,139.62212498881854
pessimistic,50,multistation,42,42,42,t00025-c00037,37,25,8,8,True,1,43.29654200410005,367.11099999956787,0.021917003323324025,0.018250007997266948,367.15116701088846
pessimistic,50,multistation,42,42,42,t00026-c00037,37,26,10,10,True,1,53.64837500383146,392.43112500116695,0.025290995836257935,0.016584002878516912,392.4729999998817
pessimistic,50,multistation,42,42,42,t00027-c00037,37,27,16,16,True,1,48.059125008876435,922.1620000025723,0.027667003450915217,0.018874998204410076,922.2085420042276
pessimistic,50,multistation,42,42,42,t00027-c00049,49,27,5,5,True,1,121.24624999705702,762.3765409953194,159.85933400224894,0.006665999535471201,922.2425409971038
pessimistic,50,multistation,42,42,42,t00030-c00016,16,30,5,5,True,1,68.18466699041892,330.48375000362284,0.017708996892906725,0.017124999430961907,330.5185839999467
pessimistic,50,multistation,42,42,42,t00031-c00016,16,31,5,5,True,1,65.09191599616315,327.23733299644664,0.018457998521625996,0.016083999071270227,327.27187499403954
pessimistic,50,multistation,42,42,42,t00032-c00033,33,32,7,7,True,1,54.2952090036124,295.0711669982411,0.018750011804513633,0.014666991773992777,295.1045840018196
pessimistic,50,multistation,42,42,42,t00037-c00040,40,37,5,5,True,1,25.960041995858774,167.44841700710822,0.021540996385738254,0.022958993213251233,167.4929169967072
pessimistic,50,multistation,42,42,42,t00038-c00005,5,38,3,3,True,1,29.117750003933907,477.6101250026841,176.67220800649375,0.015832993085496128,654.2981660022633
pessimistic,50,multistation,42,42,42,t00038-c00010,10,38,9,9,True,1,85.67620799294673,654.2266249889508,0.12008300109300762,0.00795800588093698,654.3546659959247
pessimistic,50,multistation,42,42,42,t00038-c00040,40,38,5,5,True,1,148.19087499927264,537.4906659999397,116.85991699050646,0.005250010872259736,654.3558330013184
pessimistic,50,multistation,42,42,42,t00039-c00005,5,39,7,7,True,1,214.81616600067355,1282.696832990041,0.01866700768005103,0.015415993402712047,1282.7309159911238
pessimistic,50,multistation,42,42,42,t00039-c00010,10,39,7,7,True,1,214.77791600045748,1282.658750002156,0.105875005829148,0.006249989382922649,1282.770874997368
