kind,scenario,nb_cars,metric,metric_label,goal,unit,step,component,from_method,to_method,value_from,value_to,delta,delta_pct,improvement
variant,balance,100,exact_satisfaction,Satisfaction exacte,up,%,0,Utilité multicritère,bramev,bramev_nearest_offer,0.7801,0.7766,-0.0035,-0.4487,False
variant,balance,100,needs_satisfaction,Besoins satisfaits,up,%,0,Utilité multicritère,bramev,bramev_nearest_offer,0.7974,0.7962,-0.0012,-0.1505,False
variant,balance,100,confirm_rate,Taux de confirmation,up,%,0,Utilité multicritère,bramev,bramev_nearest_offer,0.8836,0.8879,0.0043,0.4866,True
variant,balance,100,mean_waiting_time_min,Attente moyenne,down,min,0,Utilité multicritère,bramev,bramev_nearest_offer,0.222,1.254,1.032,464.8649,False
variant,balance,100,mean_travel_distance_km,Distance moyenne,down,km,0,Utilité multicritère,bramev,bramev_nearest_offer,0.3793,0.3709,-0.0084,-2.2146,True
variant,balance,100,rate_pres,Taux de présentation,up,%,0,Utilité multicritère,bramev,bramev_nearest_offer,0.606,0.6057,-0.0003,-0.0495,False
variant,balance,100,rate_abs,Taux de no-show,down,%,0,Utilité multicritère,bramev,bramev_nearest_offer,0.1842,0.1858,0.0016,0.8686,False
variant,balance,100,nb_no_show,No-shows,down,,0,Utilité multicritère,bramev,bramev_nearest_offer,179.0,181.0,2.0,1.1173,False
variant,balance,100,nb_reservations,Réservations confirmées,up,,0,Utilité multicritère,bramev,bramev_nearest_offer,972.0,974.0,2.0,0.2058,True
variant,balance,100,mean_occupancy_rate,Taux d'occupation,up,%,0,Utilité multicritère,bramev,bramev_nearest_offer,0.1341,0.133,-0.0011,-0.8203,False
variant,balance,100,mean_service_rate,Taux de service,up,%,0,Utilité multicritère,bramev,bramev_nearest_offer,0.0762,0.0755,-0.0007,-0.9186,False
variant,balance,100,slot_waste_rate,Slots réservés perdus,down,%,0,Utilité multicritère,bramev,bramev_nearest_offer,0.4301,0.4291,-0.001,-0.2325,True
variant,balance,100,nb_rejected_request,Demandes rejetées,down,,0,Utilité multicritère,bramev,bramev_nearest_offer,2327.0,2306.0,-21.0,-0.9024,True
variant,balance,100,total_ms_mean,Latence bout-en-bout,down,ms,0,Utilité multicritère,bramev,bramev_nearest_offer,1008.011,1011.127,3.116,0.3091,False
variant,balance,100,wall_time_s,Temps de calcul,down,s,0,Utilité multicritère,bramev,bramev_nearest_offer,334.99,332.754,-2.236,-0.6675,True
variant,balance,100,exact_satisfaction,Satisfaction exacte,up,%,0,Hétérogénéité des alpha,bramev,bramev_fixed_alpha,0.7801,0.779,-0.0011,-0.141,False
variant,balance,100,needs_satisfaction,Besoins satisfaits,up,%,0,Hétérogénéité des alpha,bramev,bramev_fixed_alpha,0.7974,0.796,-0.0014,-0.1756,False
variant,balance,100,confirm_rate,Taux de confirmation,up,%,0,Hétérogénéité des alpha,bramev,bramev_fixed_alpha,0.8836,0.8838,0.0002,0.0226,True
variant,balance,100,mean_waiting_time_min,Attente moyenne,down,min,0,Hétérogénéité des alpha,bramev,bramev_fixed_alpha,0.222,0.33,0.108,48.6486,False
variant,balance,100,mean_travel_distance_km,Distance moyenne,down,km,0,Hétérogénéité des alpha,bramev,bramev_fixed_alpha,0.3793,0.3797,0.0004,0.1055,False
variant,balance,100,rate_pres,Taux de présentation,up,%,0,Hétérogénéité des alpha,bramev,bramev_fixed_alpha,0.606,0.6068,0.0008,0.132,True
variant,balance,100,rate_abs,Taux de no-show,down,%,0,Hétérogénéité des alpha,bramev,bramev_fixed_alpha,0.1842,0.1848,0.0006,0.3257,False
variant,balance,100,nb_no_show,No-shows,down,,0,Hétérogénéité des alpha,bramev,bramev_fixed_alpha,179.0,180.0,1.0,0.5587,False
variant,balance,100,nb_reservations,Réservations confirmées,up,,0,Hétérogénéité des alpha,bramev,bramev_fixed_alpha,972.0,974.0,2.0,0.2058,True
variant,balance,100,mean_occupancy_rate,Taux d'occupation,up,%,0,Hétérogénéité des alpha,bramev,bramev_fixed_alpha,0.1341,0.1342,0.0001,0.0746,True
variant,balance,100,mean_service_rate,Taux de service,up,%,0,Hétérogénéité des alpha,bramev,bramev_fixed_alpha,0.0762,0.0762,0.0,0.0,False
variant,balance,100,slot_waste_rate,Slots réservés perdus,down,%,0,Hétérogénéité des alpha,bramev,bramev_fixed_alpha,0.4301,0.431,0.0009,0.2093,False
variant,balance,100,nb_rejected_request,Demandes rejetées,down,,0,Hétérogénéité des alpha,bramev,bramev_fixed_alpha,2327.0,2359.0,32.0,1.3752,False
variant,balance,100,total_ms_mean,Latence bout-en-bout,down,ms,0,Hétérogénéité des alpha,bramev,bramev_fixed_alpha,1008.011,1014.498,6.487,0.6435,False
variant,balance,100,wall_time_s,Temps de calcul,down,s,0,Hétérogénéité des alpha,bramev,bramev_fixed_alpha,334.99,337.629,2.639,0.7878,False
variant,balance,100,exact_satisfaction,Satisfaction exacte,up,%,0,Réputation par société,bramev,bramev_global_rep,0.7801,0.5028,-0.2773,-35.5467,False
variant,balance,100,needs_satisfaction,Besoins satisfaits,up,%,0,Réputation par société,bramev,bramev_global_rep,0.7974,0.5142,-0.2832,-35.5154,False
variant,balance,100,confirm_rate,Taux de confirmation,up,%,0,Réputation par société,bramev,bramev_global_rep,0.8836,0.0898,-0.7938,-89.837,False
variant,balance,100,mean_waiting_time_min,Attente moyenne,down,min,0,Réputation par société,bramev,bramev_global_rep,0.222,0.024,-0.198,-89.1892,True
variant,balance,100,mean_travel_distance_km,Distance moyenne,down,km,0,Réputation par société,bramev,bramev_global_rep,0.3793,0.2907,-0.0886,-23.3588,True
variant,balance,100,rate_pres,Taux de présentation,up,%,0,Réputation par société,bramev,bramev_global_rep,0.606,0.6245,0.0185,3.0528,True
variant,balance,100,rate_abs,Taux de no-show,down,%,0,Réputation par société,bramev,bramev_global_rep,0.1842,0.1887,0.0045,2.443,False
variant,balance,100,nb_no_show,No-shows,down,,0,Réputation par société,bramev,bramev_global_rep,179.0,100.0,-79.0,-44.1341,True
variant,balance,100,nb_reservations,Réservations confirmées,up,,0,Réputation par société,bramev,bramev_global_rep,972.0,530.0,-442.0,-45.4733,False
variant,balance,100,mean_occupancy_rate,Taux d'occupation,up,%,0,Réputation par société,bramev,bramev_global_rep,0.1341,0.0703,-0.0638,-47.5764,False
variant,balance,100,mean_service_rate,Taux de service,up,%,0,Réputation par société,bramev,bramev_global_rep,0.0762,0.0418,-0.0344,-45.1444,False
variant,balance,100,slot_waste_rate,Slots réservés perdus,down,%,0,Réputation par société,bramev,bramev_global_rep,0.4301,0.408,-0.0221,-5.1383,True
variant,balance,100,nb_rejected_request,Demandes rejetées,down,,0,Réputation par société,bramev,bramev_global_rep,2327.0,30496.0,28169.0,1210.5286,False
variant,balance,100,total_ms_mean,Latence bout-en-bout,down,ms,0,Réputation par société,bramev,bramev_global_rep,1008.011,1748.827,740.816,73.4928,False
variant,balance,100,wall_time_s,Temps de calcul,down,s,0,Réputation par société,bramev,bramev_global_rep,334.99,550.672,215.682,64.3846,False
variant,balance,100,exact_satisfaction,Satisfaction exacte,up,%,0,Score proportionnel à la durée,bramev,bramev_event_score,0.7801,0.7814,0.0013,0.1666,True
variant,balance,100,needs_satisfaction,Besoins satisfaits,up,%,0,Score proportionnel à la durée,bramev,bramev_event_score,0.7974,0.7982,0.0008,0.1003,True
variant,balance,100,confirm_rate,Taux de confirmation,up,%,0,Score proportionnel à la durée,bramev,bramev_event_score,0.8836,0.9918,0.1082,12.2454,True
variant,balance,100,mean_waiting_time_min,Attente moyenne,down,min,0,Score proportionnel à la durée,bramev,bramev_event_score,0.222,0.174,-0.048,-21.6216,True
variant,balance,100,mean_travel_distance_km,Distance moyenne,down,km,0,Score proportionnel à la durée,bramev,bramev_event_score,0.3793,0.3216,-0.0577,-15.2122,True
variant,balance,100,rate_pres,Taux de présentation,up,%,0,Score proportionnel à la durée,bramev,bramev_event_score,0.606,0.607,0.001,0.165,True
variant,balance,100,rate_abs,Taux de no-show,down,%,0,Score proportionnel à la durée,bramev,bramev_event_score,0.1842,0.1842,0.0,0.0,False
