scenario,nb_cars,method,seed,world_seed,grid_seed,nb_stations,nb_societies,total_time,wall_time_s,method_label,method_family,broadcast,reputation,adaptation,offer_choice,alpha_mode,reputation_scope,score_weighting,exact_satisfaction,needs_satisfaction,nb_cars_evaluated,mean_travel_distance_km,mean_waiting_time_min,nb_demands,nb_demands_answered,nb_demands_confirmed,answer_rate,confirm_rate,mean_offers_per_demand,first_offer_ms_mean,last_offer_ms_mean,last_offer_ms_p95,selection_ms_mean,confirmation_ms_mean,total_ms_mean,total_ms_p95,mean_confirm_attempts,mean_processing_ms,nb_reservations,nb_pres,nb_no_show,nb_early_canc,nb_late_canc,nb_breakdown_canc,nb_unresolved,rate_pres,rate_abs,rate_early,rate_late,intent_pres,intent_abs,intent_early,intent_late,early_intent_realized_late,mean_lead_slots,nb_offer_issued,nb_offer_expired,nb_confirm_refused,nb_stale_confirm,nb_rejected_request,nb_station_requests,mean_occupancy_rate,mean_service_rate,nb_slots_reserved,nb_slots_served,slot_waste_rate,total_station_demand_kwh,nb_breakdowns,nb_diagnostics,invariant_ok
optimistic,50,bramev,42,42,42,40,4,1440,139.841,BRAM-EV Full,ablation,True,True,True,utility,sampled,society,duration,0.8714,0.8925,50,0.3315,0.0,517,434,434,0.8395,0.8395,4.271,89.19,442.35,1103.568,33.753,0.015,476.118,1143.606,1.0,47.216,434,320,44,0,70,0,0,0.7373,0.1014,,0.1613,0.7373,0.1014,0.0876,0.0737,38,0.048,2208,1774,0,0,924,3132,0.0566,0.04,15602,11005,0.2946,668.075,1,2,True
optimistic,50,bramev_nearest_offer,42,42,42,40,4,1440,143.657,BRAM-EV / offre la plus proche,variant,True,True,True,nearest,sampled,society,duration,0.8714,0.8925,50,0.3315,0.0,517,434,434,0.8395,0.8395,4.271,91.36,454.927,1125.587,34.93,0.016,489.873,1183.698,1.0,48.485,434,320,44,0,70,0,0,0.7373,0.1014,,0.1613,0.7373,0.1014,0.0876,0.0737,38,0.048,2208,1774,0,0,924,3132,0.0566,0.04,15602,11005,0.2946,668.075,1,2,True
optimistic,50,bramev_fixed_alpha,42,42,42,40,4,1440,143.834,BRAM-EV / alpha fixe,variant,True,True,True,utility,fixed,society,duration,0.8714,0.8926,50,0.3265,0.012,517,434,434,0.8395,0.8395,4.28,90.719,450.379,1080.481,32.008,0.015,482.402,1111.339,1.0,48.557,434,320,44,0,70,0,0,0.7373,0.1014,,0.1613,0.7373,0.1014,0.0876,0.0737,38,0.058,2213,1779,0,0,924,3137,0.0565,0.04,15605,11013,0.2943,668.24,1,2,True
optimistic,50,bramev_global_rep,42,42,42,40,4,1440,252.121,BRAM-EV / réputation globale,variant,True,True,True,utility,sampled,global,duration,0.6253,0.6416,50,0.2833,0.0,2448,283,283,0.1156,0.1156,0.719,98.96,671.046,1736.848,37.701,0.018,708.765,1841.379,1.0,28.547,283,207,28,0,48,0,0,0.7314,0.0989,,0.1696,0.7314,0.0989,0.106,0.0636,30,0.028,1761,1478,0,0,12162,13923,0.0364,0.0255,9899,6922,0.3007,434.956,19,2,True
optimistic,50,bramev_event_score,42,42,42,40,4,1440,135.774,BRAM-EV / score par événement,variant,True,True,True,utility,sampled,society,event,0.8792,0.9009,50,0.3112,0.0,447,444,444,0.9933,0.9933,5.593,71.964,431.709,1085.584,22.686,0.014,454.409,1167.999,1.0,50.831,444,327,45,0,72,0,0,0.7365,0.1014,,0.1622,0.7365,0.1014,0.0878,0.0743,39,0.047,2500,2056,0,0,249,2749,0.058,0.0409,15847,11167,0.2953,681.144,0,2,True
optimistic,100,bramev,42,42,42,40,4,1440,321.158,BRAM-EV Full,ablation,True,True,True,utility,sampled,society,duration,0.8909,0.9115,100,0.3391,0.024,936,842,842,0.8996,0.8996,4.594,110.548,879.267,1410.312,231.27,0.013,1110.55,1476.115,1.0,59.093,842,628,79,0,133,0,2,0.7458,0.0938,,0.158,0.747,0.0938,0.0926,0.0665,77,0.132,4300,3458,0,0,1344,5644,0.1124,0.0802,30859,22067,0.2849,1329.085,1,2,True
optimistic,100,bramev_nearest_offer,42,42,42,40,4,1440,316.964,BRAM-EV / offre la plus proche,variant,True,True,True,nearest,sampled,society,duration,0.8861,0.9087,100,0.3366,1.272,936,843,843,0.9006,0.9006,4.611,104.353,866.786,1384.424,226.342,0.013,1093.14,1449.711,1.0,58.919,843,630,80,2,131,0,0,0.7473,0.0949,0.0024,0.1554,0.7473,0.0949,0.0913,0.0664,75,0.429,4316,3473,0,0,1273,5589,0.1119,0.0801,30811,22075,0.2835,1325.55,1,1,True
optimistic,100,bramev_fixed_alpha,42,42,42,40,4,1440,321.897,BRAM-EV / alpha fixe,variant,True,True,True,utility,fixed,society,duration,0.8909,0.9115,100,0.3367,0.042,934,840,840,0.8994,0.8994,4.62,106.538,871.372,1375.559,230.223,0.013,1101.608,1483.161,1.0,58.485,840,627,79,0,133,0,1,0.7464,0.094,,0.1583,0.7464,0.094,0.0929,0.0667,77,0.123,4315,3475,0,0,1350,5665,0.1119,0.0799,30811,22039,0.2847,1326.643,1,2,True
optimistic,100,bramev_global_rep,42,42,42,40,4,1440,480.772,BRAM-EV / réputation globale,variant,True,True,True,utility,sampled,global,duration,0.6931,0.7094,100,0.287,0.06,3705,616,616,0.1663,0.1663,1.036,120.022,1236.616,1889.764,303.156,0.016,1539.787,1986.412,1.0,38.6,616,459,57,0,99,0,1,0.7451,0.0925,,0.1607,0.7468,0.0925,0.0958,0.0649,59,0.133,3840,3224,0,0,17509,21349,0.0807,0.0577,22073,15769,0.2856,963.932,29,2,True
optimistic,100,bramev_event_score,42,42,42,40,4,1440,317.114,BRAM-EV / score par événement,variant,True,True,True,utility,sampled,society,event,0.8955,0.9161,100,0.3185,0.036,860,854,854,0.993,0.993,5.591,85.874,881.434,1328.56,222.8,0.013,1104.247,1409.112,1.0,61.541,854,638,80,0,135,0,1,0.7471,0.0937,,0.1581,0.7471,0.0937,0.0925,0.0667,78,0.118,4808,3954,0,0,361,5169,0.1138,0.0812,31226,22289,0.2862,1346.323,0,2,True
