scenario,nb_cars,method,seed,world_seed,grid_seed,society_id,station_id,update_step,alpha
balance,100,bramev_event_score,42,42,42,0,6,0,0.708626
balance,100,bramev_event_score,42,42,42,0,6,1,0.662787
balance,100,bramev_event_score,42,42,42,0,6,2,0.662787
balance,100,bramev_event_score,42,42,42,0,6,3,0.625658
balance,100,bramev_event_score,42,42,42,0,6,4,0.620013
balance,100,bramev_event_score,42,42,42,0,6,5,0.589939
balance,100,bramev_event_score,42,42,42,0,6,6,0.56612
balance,100,bramev_event_score,42,42,42,0,6,7,0.547343
balance,100,bramev_event_score,42,42,42,0,6,8,0.525419
balance,100,bramev_event_score,42,42,42,0,6,9,0.505687
balance,100,bramev_event_score,42,42,42,0,8,0,0.80801
balance,100,bramev_event_score,42,42,42,0,8,1,0.752233
balance,100,bramev_event_score,42,42,42,0,8,2,0.743289
balance,100,bramev_event_score,42,42,42,0,8,3,0.69811
balance,100,bramev_event_score,42,42,42,0,8,4,0.685219
balance,100,bramev_event_score,42,42,42,0,8,5,0.648624
balance,100,bramev_event_score,42,42,42,0,8,6,0.618937
balance,100,bramev_event_score,42,42,42,0,8,7,0.594879
balance,100,bramev_event_score,42,42,42,0,8,8,0.568201
balance,100,bramev_event_score,42,42,42,0,8,9,0.544191
balance,100,bramev_event_score,42,42,42,0,10,0,0.305265
balance,100,bramev_event_score,42,42,42,0,10,1,0.299763
balance,100,bramev_event_score,42,42,42,0,10,2,0.336065
balance,100,bramev_event_score,42,42,42,0,10,3,0.331608
balance,100,bramev_event_score,42,42,42,0,10,4,0.355368
balance,100,bramev_event_score,42,42,42,0,10,5,0.351758
balance,100,bramev_event_score,42,42,42,0,10,6,0.351758
balance,100,bramev_event_score,42,42,42,0,10,7,0.354417
balance,100,bramev_event_score,42,42,42,0,10,8,0.351785
balance,100,bramev_event_score,42,42,42,0,10,9,0.349417
balance,100,bramev_event_score,42,42,42,0,11,0,0.250242
balance,100,bramev_event_score,42,42,42,0,11,1,0.250242
balance,100,bramev_event_score,42,42,42,0,11,2,0.291496
balance,100,bramev_event_score,42,42,42,0,11,3,0.291496
