scenario,nb_cars,method,seed,world_seed,grid_seed,demand_id,car_id,slot,nb_stations,nb_offers,confirmed,confirm_attempts,first_offer_ms,last_offer_ms,selection_ms,confirmation_ms,total_ms
balance,100,bramev_nearest_offer,42,42,42,t00000-c00008,8,0,6,6,True,1,120.25725000421517,5116.418333025649,41234.54700000002,0.02087498432956636,46350.98620801
balance,100,bramev_nearest_offer,42,42,42,t00000-c00020,20,0,10,10,True,1,491.694833006477,45978.13508301624,372.90008398122154,0.009125011274591088,46351.04429200874
balance,100,bramev_nearest_offer,42,42,42,t00000-c00024,24,0,12,12,True,1,491.66516700643115,46350.87345802458,0.17120898701250553,0.006791000487282872,46351.05145801208
balance,100,bramev_nearest_offer,42,42,42,t00000-c00025,25,0,5,5,True,1,1197.5359169882722,46350.84674999234,0.19695900846272707,0.004750007065013051,46351.04845900787
balance,100,bramev_nearest_offer,42,42,42,t00000-c00033,33,0,5,5,True,1,120.13441600720398,5116.2958329950925,41234.75762500311,0.004792003892362118,46351.0582500021
balance,100,bramev_nearest_offer,42,42,42,t00000-c00034,34,0,6,6,True,1,643.1413750106003,46105.24329202599,245.80466697807424,0.004458008334040642,46351.0524170124
balance,100,bramev_nearest_offer,42,42,42,t00000-c00048,48,0,7,7,True,1,643.1118749896996,5116.238083981443,41234.80337500223,0.004583009285852313,46351.04604199296
balance,100,bramev_nearest_offer,42,42,42,t00000-c00059,59,0,6,6,True,1,1197.421458986355,46350.73208398535,0.30191600671969354,0.0040000013541430235,46351.03799999342
balance,100,bramev_nearest_offer,42,42,42,t00000-c00068,68,0,6,6,True,1,643.0539160210174,46105.15487502562,245.8713749947492,0.0038750004023313522,46351.03012502077
balance,100,bramev_nearest_offer,42,42,42,t00000-c00092,92,0,9,9,True,1,491.46366701461375,46350.673709006514,0.34658299409784377,0.0045000051613897085,46351.02479200577
balance,100,bramev_nearest_offer,42,42,42,t00000-c00099,99,0,5,5,True,1,847.8543749952223,4446.051334001822,41904.96066599735,0.003916997229680419,46351.0159169964
balance,100,bramev_nearest_offer,42,42,42,t00001-c00025,25,1,5,5,True,1,58.93358401954174,396.61500000511296,0.020584004232659936,0.018207996618002653,396.6537920059636
balance,100,bramev_nearest_offer,42,42,42,t00007-c00077,77,7,9,9,True,1,62.55900001269765,409.6883330203127,0.02445897553116083,0.024625012883916497,409.7374170087278
