scenario,nb_cars,method,seed,world_seed,grid_seed,kind,label,count,rate
balance,150,bramev_event_score,42,42,42,observed,abs,282,0.1926
balance,150,bramev_event_score,42,42,42,observed,breakdown,13,0.0089
balance,150,bramev_event_score,42,42,42,observed,early,3,0.002
balance,150,bramev_event_score,42,42,42,observed,late,282,0.1926
balance,150,bramev_event_score,42,42,42,observed,pres,884,0.6038
balance,150,bramev_event_score,42,42,42,intent,abs,295,0.2015
balance,150,bramev_event_score,42,42,42,intent,early,177,0.1209
balance,150,bramev_event_score,42,42,42,intent,late,108,0.0738
balance,150,bramev_event_score,42,42,42,intent,pres,884,0.6038
balance,150,bramev_event_score,42,42,42,reclassified,early->late,174,
