scenario,nb_cars,method,seed,world_seed,grid_seed,station_id,society_id,nb_charg_spot,alpha,score_index,score_weighting,nb_request,nb_rejected_request,nb_offer_issued,nb_offer_expired,nb_confirm_refused,nb_stale_confirm,nb_reservations,nb_pres,nb_no_show,nb_early_canc,nb_late_canc,nb_breakdown_canc,nb_unresolved,nb_slots_reserved,nb_slots_served,occupancy_rate,service_rate,demand_kwh
balance,150,bramev_event_score,42,42,42,0,1,5,0.3702,1,event,297,67,230,82,0,0,148,93,25,0,30,0,0,5407,3226,0.751,0.4481,220.033
balance,150,bramev_event_score,42,42,42,1,2,5,0.474,2,event,342,46,296,288,0,0,8,5,2,0,1,0,0,360,250,0.05,0.0347,11.725
balance,150,bramev_event_score,42,42,42,2,1,5,0.5438,1,event,168,24,144,138,0,0,6,5,1,0,0,0,0,176,122,0.0244,0.0169,7.817
balance,150,bramev_event_score,42,42,42,3,1,5,0.6023,1,event,310,19,291,212,0,0,79,47,17,0,15,0,0,3019,1780,0.4193,0.2472,112.35
balance,150,bramev_event_score,42,42,42,4,3,5,0.1903,3,event,307,70,237,132,0,0,105,60,22,0,22,1,0,3770,2040,0.5236,0.2833,147.008
balance,150,bramev_event_score,42,42,42,5,1,4,0.3426,1,event,151,30,121,97,0,0,24,10,9,0,5,0,0,971,378,0.1686,0.0656,27.933
balance,150,bramev_event_score,42,42,42,6,0,6,0.4431,0,event,141,19,122,115,0,0,7,4,3,0,0,0,0,261,150,0.0302,0.0174,6.358
balance,150,bramev_event_score,42,42,42,7,1,6,0.4786,1,event,171,36,135,124,0,0,11,7,1,0,3,0,0,399,274,0.0462,0.0317,20.242
balance,150,bramev_event_score,42,42,42,8,0,5,0.4816,0,event,176,18,158,154,0,0,4,3,0,0,1,0,0,188,146,0.0261,0.0203,8.133
balance,150,bramev_event_score,42,42,42,9,2,4,0.5617,2,event,324,45,279,246,0,0,33,20,5,0,7,1,0,1133,590,0.1967,0.1024,46.883
balance,150,bramev_event_score,42,42,42,10,0,5,0.2869,0,event,163,34,129,99,0,0,30,19,5,0,6,0,0,993,617,0.1379,0.0857,43.875
balance,150,bramev_event_score,42,42,42,11,0,4,0.2655,0,event,347,87,260,132,0,0,128,78,27,2,21,0,0,4855,2768,0.8429,0.4806,173.442
balance,150,bramev_event_score,42,42,42,12,3,6,0.2578,3,event,324,37,287,265,0,0,22,15,4,0,3,0,0,745,466,0.0862,0.0539,28.183
balance,150,bramev_event_score,42,42,42,13,3,4,0.4484,3,event,162,12,150,110,0,0,40,25,7,0,8,0,0,1437,875,0.2495,0.1519,60.05
balance,150,bramev_event_score,42,42,42,14,3,4,0.374,3,event,333,52,281,228,0,0,53,35,6,0,11,1,0,1826,1135,0.317,0.197,81.725
balance,150,bramev_event_score,42,42,42,15,0,5,0.3659,0,event,160,26,134,94,0,0,40,23,6,0,11,0,0,1407,785,0.1954,0.109,58.017
balance,150,bramev_event_score,42,42,42,16,2,6,0.5755,2,event,134,16,118,113,0,0,5,1,3,0,1,0,0,193,32,0.0223,0.0037,2.95
balance,150,bramev_event_score,42,42,42,17,2,4,0.6925,2,event,220,0,220,210,0,0,10,6,1,0,3,0,0,334,186,0.058,0.0323,15.867
balance,150,bramev_event_score,42,42,42,18,2,5,0.7035,2,event,184,0,184,142,0,0,42,28,5,0,8,1,0,1766,1039,0.2453,0.1443,65.083
balance,150,bramev_event_score,42,42,42,19,3,6,0.4285,3,event,148,14,134,125,0,0,9,5,4,0,0,0,0,334,194,0.0387,0.0225,9.933
balance,150,bramev_event_score,42,42,42,20,2,4,0.5658,2,event,240,29,211,207,0,0,4,1,1,0,2,0,0,135,42,0.0234,0.0073,4.458
balance,150,bramev_event_score,42,42,42,21,2,6,0.6838,2,event,93,0,93,85,0,0,8,5,3,0,0,0,0,241,128,0.0279,0.0148,7.575
balance,150,bramev_event_score,42,42,42,22,2,4,0.5855,2,event,293,40,253,178,0,0,75,40,20,0,13,2,0,2690,1334,0.467,0.2316,90.075
balance,150,bramev_event_score,42,42,42,23,0,4,0.2388,0,event,164,32,132,104,0,0,28,14,8,0,6,0,0,986,475,0.1712,0.0825,35.492
balance,150,bramev_event_score,42,42,42,24,1,4,0.6057,1,event,349,20,329,325,0,0,4,4,0,0,0,0,0,135,126,0.0234,0.0219,7.9
balance,150,bramev_event_score,42,42,42,25,2,6,0.6211,2,event,295,55,240,194,0,0,46,27,10,0,7,2,0,1779,950,0.2059,0.11,61.425
balance,150,bramev_event_score,42,42,42,26,3,5,0.1975,3,event,284,57,227,92,0,0,135,95,19,0,21,0,0,4877,3313,0.6774,0.4601,205.225
balance,150,bramev_event_score,42,42,42,27,2,4,0.5274,2,event,154,20,134,120,0,0,14,7,4,0,3,0,0,481,260,0.0835,0.0451,16.608
balance,150,bramev_event_score,42,42,42,28,3,4,0.4822,3,event,302,16,286,247,0,0,39,21,5,0,12,1,0,1323,621,0.2297,0.1078,55.817
balance,150,bramev_event_score,42,42,42,29,3,5,0.2201,3,event,303,50,253,179,0,0,74,39,18,0,17,0,0,2669,1310,0.3707,0.1819,97.367
balance,150,bramev_event_score,42,42,42,30,1,6,0.2976,1,event,350,78,272,176,0,0,96,52,22,1,19,2,0,3694,1854,0.4275,0.2146,135.025
balance,150,bramev_event_score,42,42,42,31,2,5,0.5585,2,event,161,15,146,119,0,0,27,17,3,0,6,1,0,1035,592,0.1437,0.0822,43.275
balance,150,bramev_event_score,42,42,42,32,0,5,0.2754,0,event,84,14,70,59,0,0,11,7,2,0,2,0,0,462,279,0.0642,0.0387,16.317
balance,150,bramev_event_score,42,42,42,33,1,4,0.5171,1,event,81,16,65,58,0,0,7,6,0,0,1,0,0,321,269,0.0557,0.0467,14.858
balance,150,bramev_event_score,42,42,42,34,0,5,0.3062,0,event,78,16,62,58,0,0,4,0,2,0,2,0,0,123,0,0.0171,0.0,3.983
balance,150,bramev_event_score,42,42,42,35,0,6,0.406,0,event,152,15,137,117,0,0,20,17,2,0,1,0,0,656,524,0.0759,0.0606,29.083
