scenario,nb_cars,method,seed,world_seed,grid_seed,kind,label,count,rate
balance,150,bramev_fixed_alpha,42,42,42,observed,abs,283,0.1933
balance,150,bramev_fixed_alpha,42,42,42,observed,breakdown,10,0.0068
balance,150,bramev_fixed_alpha,42,42,42,observed,early,4,0.0027
balance,150,bramev_fixed_alpha,42,42,42,observed,late,282,0.1926
balance,150,bramev_fixed_alpha,42,42,42,observed,pres,883,0.6031
balance,150,bramev_fixed_alpha,42,42,42,observed,unresolved,2,0.0014
balance,150,bramev_fixed_alpha,42,42,42,intent,abs,293,0.2001
balance,150,bramev_fixed_alpha,42,42,42,intent,early,178,0.1216
balance,150,bramev_fixed_alpha,42,42,42,intent,late,109,0.0745
balance,150,bramev_fixed_alpha,42,42,42,intent,pres,884,0.6038
balance,150,bramev_fixed_alpha,42,42,42,reclassified,early->late,173,
