scenario,nb_cars,method,seed,world_seed,grid_seed,demand_id,car_id,slot,nb_stations,nb_offers,confirmed,confirm_attempts,first_offer_ms,last_offer_ms,selection_ms,confirmation_ms,total_ms
balance,200,bramev_global_rep,42,42,42,t00000-c00008,8,0,6,6,True,1,300040.31662497437,1118357.5099159789,303503.0395000067,0.029624992748722434,1421860.5790409783
balance,200,bramev_global_rep,42,42,42,t00000-c00020,20,0,10,10,True,1,300549.0513339755,1120930.6166669994,300930.01166699105,0.009082985343411565,1421860.6374169758
balance,200,bramev_global_rep,42,42,42,t00000-c00024,24,0,12,12,True,1,300549.01154199615,1421860.4447919934,0.1829169923439622,0.00662502134218812,1421860.634334007
balance,200,bramev_global_rep,42,42,42,t00000-c00025,25,0,5,5,True,1,382834.9046660005,1421860.413040995,0.20670899539254606,0.004041008651256561,1421860.623790999
balance,200,bramev_global_rep,42,42,42,t00000-c00033,33,0,5,5,True,1,300040.17533399747,1118357.3692089994,303503.2530830067,0.003916997229680419,1421860.6262090034
balance,200,bramev_global_rep,42,42,42,t00000-c00034,34,0,6,6,True,1,300752.7223340003,1121808.0435839947,300052.5695410033,0.004250003257766366,1421860.6173750013
balance,200,bramev_global_rep,42,42,42,t00000-c00048,48,0,7,7,True,1,300752.69183301134,1118357.308250008,303503.29520800733,0.0037919962778687477,1421860.6072500115
balance,200,bramev_global_rep,42,42,42,t00000-c00059,59,0,6,6,True,1,382834.7821670177,1421860.2905829903,0.3011670196428895,0.003541994374245405,1421860.5952920043
balance,200,bramev_global_rep,42,42,42,t00000-c00068,68,0,6,6,True,1,300752.6315830182,1121807.9523330089,300052.62762500206,0.003749999450519681,1421860.5837080104
balance,200,bramev_global_rep,42,42,42,t00000-c00092,92,0,9,9,True,1,300548.79100000835,1421860.226082994,0.34008402144536376,0.004290981451049447,1421860.5704579968
balance,200,bramev_global_rep,42,42,42,t00000-c00099,99,0,5,5,True,1,302214.4280420034,1117120.6290829869,304739.9257920042,0.0038750004023313522,1421860.5587499915
balance,200,bramev_global_rep,42,42,42,t00000-c00104,104,0,6,6,True,1,302214.3987500167,1121807.8575000109,300052.68687498756,0.0040000013541430235,1421860.5483749998
balance,200,bramev_global_rep,42,42,42,t00000-c00106,106,0,7,7,True,1,382834.6313330112,1421860.1393330027,0.39745899266563356,0.004041008651256561,1421860.540833004
