scenario,nb_cars,method,seed,world_seed,grid_seed,society_id,station_id,update_step,alpha
balance,200,bramev_nearest_offer,42,42,42,0,6,0,0.708626
balance,200,bramev_nearest_offer,42,42,42,0,6,1,0.662787
balance,200,bramev_nearest_offer,42,42,42,0,6,2,0.644842
balance,200,bramev_nearest_offer,42,42,42,0,6,3,0.607712
balance,200,bramev_nearest_offer,42,42,42,0,6,4,0.574296
balance,200,bramev_nearest_offer,42,42,42,0,6,5,0.544222
balance,200,bramev_nearest_offer,42,42,42,0,6,6,0.517155
balance,200,bramev_nearest_offer,42,42,42,0,6,7,0.492794
balance,200,bramev_nearest_offer,42,42,42,0,6,8,0.47087
balance,200,bramev_nearest_offer,42,42,42,0,6,9,0.451138
balance,200,bramev_nearest_offer,42,42,42,0,8,0,0.80801
balance,200,bramev_nearest_offer,42,42,42,0,8,1,0.752233
balance,200,bramev_nearest_offer,42,42,42,0,8,2,0.725343
balance,200,bramev_nearest_offer,42,42,42,0,8,3,0.680164
balance,200,bramev_nearest_offer,42,42,42,0,8,4,0.639502
balance,200,bramev_nearest_offer,42,42,42,0,8,5,0.602907
balance,200,bramev_nearest_offer,42,42,42,0,8,6,0.569971
balance,200,bramev_nearest_offer,42,42,42,0,8,7,0.540329
balance,200,bramev_nearest_offer,42,42,42,0,8,8,0.513651
balance,200,bramev_nearest_offer,42,42,42,0,8,9,0.489641
balance,200,bramev_nearest_offer,42,42,42,0,10,0,0.305265
balance,200,bramev_nearest_offer,42,42,42,0,10,1,0.299763
balance,200,bramev_nearest_offer,42,42,42,0,10,2,0.318119
balance,200,bramev_nearest_offer,42,42,42,0,10,3,0.313663
balance,200,bramev_nearest_offer,42,42,42,0,10,4,0.309651
balance,200,bramev_nearest_offer,42,42,42,0,10,5,0.306041
balance,200,bramev_nearest_offer,42,42,42,0,10,6,0.302792
balance,200,bramev_nearest_offer,42,42,42,0,10,7,0.299868
balance,200,bramev_nearest_offer,42,42,42,0,10,8,0.297236
balance,200,bramev_nearest_offer,42,42,42,0,10,9,0.294868
balance,200,bramev_nearest_offer,42,42,42,0,11,0,0.250242
balance,200,bramev_nearest_offer,42,42,42,0,11,1,0.250242
balance,200,bramev_nearest_offer,42,42,42,0,11,2,0.27355
balance,200,bramev_nearest_offer,42,42,42,0,11,3,0.27355
balance,200,bramev_nearest_offer,42,42,42,0,11,4,0.27355
balance,200,bramev_nearest_offer,42,42,42,0,11,5,0.27355
balance,200,bramev_nearest_offer,42,42,42,0,11,6,0.27355
balance,200,bramev_nearest_offer,42,42,42,0,11,7,0.27355
balance,200,bramev_nearest_offer,42,42,42,0,11,8,0.27355
balance,200,bramev_nearest_offer,42,42,42,0,11,9,0.27355
balance,200,bramev_nearest_offer,42,42,42,0,15,0,0.509227
balance,200,bramev_nearest_offer,42,42,42,0,15,1,0.483328
balance,200,bramev_nearest_offer,42,42,42,0,15,2,0.483328
balance,200,bramev_nearest_offer,42,42,42,0,15,3,0.462351
balance,200,bramev_nearest_offer,42,42,42,0,15,4,0.443471
balance,200,bramev_nearest_offer,42,42,42,0,15,5,0.426479
balance,200,bramev_nearest_offer,42,42,42,0,15,6,0.411186
balance,200,bramev_nearest_offer,42,42,42,0,15,7,0.397422
balance,200,bramev_nearest_offer,42,42,42,0,15,8,0.385035
balance,200,bramev_nearest_offer,42,42,42,0,15,9,0.373887
balance,200,bramev_nearest_offer,42,42,42,0,23,0,0.181183
balance,200,bramev_nearest_offer,42,42,42,0,23,1,0.188089
balance,200,bramev_nearest_offer,42,42,42,0,23,2,0.217613
balance,200,bramev_nearest_offer,42,42,42,0,23,3,0.223206
