scenario,nb_cars,method,seed,world_seed,grid_seed,kind,label,count,rate
balance,200,bramev_nearest_offer,42,42,42,observed,abs,383,0.1934
balance,200,bramev_nearest_offer,42,42,42,observed,breakdown,18,0.0091
balance,200,bramev_nearest_offer,42,42,42,observed,early,27,0.0136
balance,200,bramev_nearest_offer,42,42,42,observed,late,371,0.1874
balance,200,bramev_nearest_offer,42,42,42,observed,pres,1181,0.5965
balance,200,bramev_nearest_offer,42,42,42,intent,abs,401,0.2025
balance,200,bramev_nearest_offer,42,42,42,intent,early,241,0.1217
balance,200,bramev_nearest_offer,42,42,42,intent,late,157,0.0793
balance,200,bramev_nearest_offer,42,42,42,intent,pres,1181,0.5965
balance,200,bramev_nearest_offer,42,42,42,reclassified,early->late,214,
