scenario,nb_cars,method,seed,world_seed,grid_seed,station_id,society_id,nb_charg_spot,alpha,score_index,score_weighting,nb_request,nb_rejected_request,nb_offer_issued,nb_offer_expired,nb_confirm_refused,nb_stale_confirm,nb_reservations,nb_pres,nb_no_show,nb_early_canc,nb_late_canc,nb_breakdown_canc,nb_unresolved,nb_slots_reserved,nb_slots_served,occupancy_rate,service_rate,demand_kwh
balance,200,bramev,42,42,42,0,1,5,0.2581,1,duration,482,213,269,103,0,0,166,95,30,1,38,2,0,6440,3507,0.8944,0.4871,249.608
balance,200,bramev,42,42,42,1,2,5,0.4986,2,duration,492,173,319,294,0,0,25,13,7,0,5,0,0,993,499,0.1379,0.0693,32.417
balance,200,bramev,42,42,42,2,1,5,0.4317,1,duration,238,105,133,126,0,0,7,6,1,0,0,0,0,221,165,0.0307,0.0229,10.783
balance,200,bramev,42,42,42,3,1,5,0.4902,1,duration,587,264,323,216,0,0,107,70,14,0,23,0,0,3632,2211,0.5044,0.3071,151.192
balance,200,bramev,42,42,42,4,3,5,0.2034,3,duration,413,149,264,137,0,0,127,82,24,0,20,1,0,4666,2865,0.6481,0.3979,189.242
balance,200,bramev,42,42,42,5,1,4,0.2305,1,duration,254,103,151,119,0,0,32,18,7,0,6,0,1,1258,746,0.2184,0.1295,44.458
balance,200,bramev,42,42,42,6,0,6,0.47,0,duration,175,43,132,126,0,0,6,2,1,0,3,0,0,164,39,0.019,0.0045,6.4
balance,200,bramev,42,42,42,7,1,6,0.3665,1,duration,246,109,137,120,0,0,17,9,2,0,5,1,0,647,361,0.0749,0.0418,27.642
balance,200,bramev,42,42,42,8,0,5,0.5085,0,duration,222,52,170,156,0,0,14,7,3,0,4,0,0,503,240,0.0699,0.0333,20.167
balance,200,bramev,42,42,42,9,2,4,0.5863,2,duration,430,149,281,237,0,0,44,23,10,0,11,0,0,1690,764,0.2934,0.1326,65.167
balance,200,bramev,42,42,42,10,0,5,0.3137,0,duration,238,55,183,120,0,0,63,40,12,0,11,0,0,2255,1373,0.3132,0.1907,95.383
balance,200,bramev,42,42,42,11,0,4,0.2924,0,duration,462,132,330,188,0,0,142,84,35,2,19,2,0,5406,3011,0.9385,0.5227,190.908
balance,200,bramev,42,42,42,12,3,6,0.2709,3,duration,612,285,327,294,0,0,33,17,9,0,7,0,0,1142,533,0.1322,0.0617,40.25
balance,200,bramev,42,42,42,13,3,4,0.4615,3,duration,221,74,147,110,0,0,37,23,8,0,6,0,0,1264,783,0.2194,0.1359,50.1
balance,200,bramev,42,42,42,14,3,4,0.3871,3,duration,434,175,259,204,0,0,55,33,8,0,14,0,0,1887,1027,0.3276,0.1783,81.483
balance,200,bramev,42,42,42,15,0,5,0.3928,0,duration,225,59,166,99,0,0,67,40,10,0,15,2,0,2564,1369,0.3561,0.1901,96.4
balance,200,bramev,42,42,42,16,2,6,0.6001,2,duration,219,78,141,135,0,0,6,2,1,0,3,0,0,210,88,0.0243,0.0102,9.392
