scenario,nb_cars,method,seed,world_seed,grid_seed,society_id,station_id,update_step,alpha
balance,250,bramev_fixed_alpha,42,42,42,0,6,0,0.5
balance,250,bramev_fixed_alpha,42,42,42,0,6,1,0.5
balance,250,bramev_fixed_alpha,42,42,42,0,6,2,0.5
balance,250,bramev_fixed_alpha,42,42,42,0,6,3,0.5
balance,250,bramev_fixed_alpha,42,42,42,0,6,4,0.5
balance,250,bramev_fixed_alpha,42,42,42,0,6,5,0.5
balance,250,bramev_fixed_alpha,42,42,42,0,6,6,0.5
balance,250,bramev_fixed_alpha,42,42,42,0,6,7,0.5
balance,250,bramev_fixed_alpha,42,42,42,0,6,8,0.5
balance,250,bramev_fixed_alpha,42,42,42,0,6,9,0.5
balance,250,bramev_fixed_alpha,42,42,42,0,8,0,0.5
balance,250,bramev_fixed_alpha,42,42,42,0,8,1,0.5
balance,250,bramev_fixed_alpha,42,42,42,0,8,2,0.5
balance,250,bramev_fixed_alpha,42,42,42,0,8,3,0.5
balance,250,bramev_fixed_alpha,42,42,42,0,8,4,0.5
balance,250,bramev_fixed_alpha,42,42,42,0,8,5,0.5
balance,250,bramev_fixed_alpha,42,42,42,0,8,6,0.5
balance,250,bramev_fixed_alpha,42,42,42,0,8,7,0.5
balance,250,bramev_fixed_alpha,42,42,42,0,8,8,0.5
balance,250,bramev_fixed_alpha,42,42,42,0,8,9,0.5
balance,250,bramev_fixed_alpha,42,42,42,0,10,0,0.5
balance,250,bramev_fixed_alpha,42,42,42,0,10,1,0.5
balance,250,bramev_fixed_alpha,42,42,42,0,10,2,0.5
balance,250,bramev_fixed_alpha,42,42,42,0,10,3,0.5
balance,250,bramev_fixed_alpha,42,42,42,0,10,4,0.5
balance,250,bramev_fixed_alpha,42,42,42,0,10,5,0.5
balance,250,bramev_fixed_alpha,42,42,42,0,10,6,0.5
balance,250,bramev_fixed_alpha,42,42,42,0,10,7,0.5
balance,250,bramev_fixed_alpha,42,42,42,0,10,8,0.5
balance,250,bramev_fixed_alpha,42,42,42,0,10,9,0.5
balance,250,bramev_fixed_alpha,42,42,42,0,11,0,0.5
balance,250,bramev_fixed_alpha,42,42,42,0,11,1,0.5
balance,250,bramev_fixed_alpha,42,42,42,0,11,2,0.5
balance,250,bramev_fixed_alpha,42,42,42,0,11,3,0.5
balance,250,bramev_fixed_alpha,42,42,42,0,11,4,0.5
balance,250,bramev_fixed_alpha,42,42,42,0,11,5,0.5
balance,250,bramev_fixed_alpha,42,42,42,0,11,6,0.5
balance,250,bramev_fixed_alpha,42,42,42,0,11,7,0.5
balance,250,bramev_fixed_alpha,42,42,42,0,11,8,0.5
balance,250,bramev_fixed_alpha,42,42,42,0,11,9,0.5
balance,250,bramev_fixed_alpha,42,42,42,0,15,0,0.5
balance,250,bramev_fixed_alpha,42,42,42,0,15,1,0.5
balance,250,bramev_fixed_alpha,42,42,42,0,15,2,0.5
balance,250,bramev_fixed_alpha,42,42,42,0,15,3,0.5
balance,250,bramev_fixed_alpha,42,42,42,0,15,4,0.5
balance,250,bramev_fixed_alpha,42,42,42,0,15,5,0.5
balance,250,bramev_fixed_alpha,42,42,42,0,15,6,0.5
balance,250,bramev_fixed_alpha,42,42,42,0,15,7,0.5
balance,250,bramev_fixed_alpha,42,42,42,0,15,8,0.5
balance,250,bramev_fixed_alpha,42,42,42,0,15,9,0.5
balance,250,bramev_fixed_alpha,42,42,42,0,23,0,0.5
balance,250,bramev_fixed_alpha,42,42,42,0,23,1,0.5
balance,250,bramev_fixed_alpha,42,42,42,0,23,2,0.5
balance,250,bramev_fixed_alpha,42,42,42,0,23,3,0.5
balance,250,bramev_fixed_alpha,42,42,42,0,23,4,0.5
balance,250,bramev_fixed_alpha,42,42,42,0,23,5,0.5
balance,250,bramev_fixed_alpha,42,42,42,0,23,6,0.5
balance,250,bramev_fixed_alpha,42,42,42,0,23,7,0.5
balance,250,bramev_fixed_alpha,42,42,42,0,23,8,0.5
balance,250,bramev_fixed_alpha,42,42,42,0,23,9,0.5
balance,250,bramev_fixed_alpha,42,42,42,0,32,0,0.5
balance,250,bramev_fixed_alpha,42,42,42,0,32,1,0.5
balance,250,bramev_fixed_alpha,42,42,42,0,32,2,0.5
balance,250,bramev_fixed_alpha,42,42,42,0,32,3,0.5
balance,250,bramev_fixed_alpha,42,42,42,0,32,4,0.5
balance,250,bramev_fixed_alpha,42,42,42,0,32,5,0.5
balance,250,bramev_fixed_alpha,42,42,42,0,32,6,0.5
balance,250,bramev_fixed_alpha,42,42,42,0,32,7,0.5
balance,250,bramev_fixed_alpha,42,42,42,0,32,8,0.5
balance,250,bramev_fixed_alpha,42,42,42,0,32,9,0.5
balance,250,bramev_fixed_alpha,42,42,42,0,34,0,0.5
balance,250,bramev_fixed_alpha,42,42,42,0,34,1,0.5
balance,250,bramev_fixed_alpha,42,42,42,0,34,2,0.5
balance,250,bramev_fixed_alpha,42,42,42,0,34,3,0.5
balance,250,bramev_fixed_alpha,42,42,42,0,34,4,0.5
balance,250,bramev_fixed_alpha,42,42,42,0,34,5,0.5
balance,250,bramev_fixed_alpha,42,42,42,0,34,6,0.5
balance,250,bramev_fixed_alpha,42,42,42,0,34,7,0.5
balance,250,bramev_fixed_alpha,42,42,42,0,34,8,0.5
balance,250,bramev_fixed_alpha,42,42,42,0,34,9,0.5
balance,250,bramev_fixed_alpha,42,42,42,0,35,0,0.5
balance,250,bramev_fixed_alpha,42,42,42,0,35,1,0.5
balance,250,bramev_fixed_alpha,42,42,42,0,35,2,0.5
balance,250,bramev_fixed_alpha,42,42,42,0,35,3,0.5
balance,250,bramev_fixed_alpha,42,42,42,0,35,4,0.5
balance,250,bramev_fixed_alpha,42,42,42,0,35,5,0.5
balance,250,bramev_fixed_alpha,42,42,42,0,35,6,0.5
balance,250,bramev_fixed_alpha,42,42,42,0,35,7,0.5
balance,250,bramev_fixed_alpha,42,42,42,0,35,8,0.5
balance,250,bramev_fixed_alpha,42,42,42,0,35,9,0.5
balance,250,bramev_fixed_alpha,42,42,42,0,37,0,0.5
balance,250,bramev_fixed_alpha,42,42,42,0,37,1,0.5
balance,250,bramev_fixed_alpha,42,42,42,0,37,2,0.5
balance,250,bramev_fixed_alpha,42,42,42,0,37,3,0.5
balance,250,bramev_fixed_alpha,42,42,42,0,37,4,0.5
balance,250,bramev_fixed_alpha,42,42,42,0,37,5,0.5
balance,250,bramev_fixed_alpha,42,42,42,0,37,6,0.5
balance,250,bramev_fixed_alpha,42,42,42,0,37,7,0.5
balance,250,bramev_fixed_alpha,42,42,42,0,37,8,0.5
balance,250,bramev_fixed_alpha,42,42,42,0,37,9,0.5
balance,250,bramev_fixed_alpha,42,42,42,1,0,0,0.5
balance,250,bramev_fixed_alpha,42,42,42,1,0,1,0.5
balance,250,bramev_fixed_alpha,42,42,42,1,0,2,0.5
balance,250,bramev_fixed_alpha,42,42,42,1,0,3,0.5
balance,250,bramev_fixed_alpha,42,42,42,1,0,4,0.5
balance,250,bramev_fixed_alpha,42,42,42,1,0,5,0.5
balance,250,bramev_fixed_alpha,42,42,42,1,0,6,0.5
balance,250,bramev_fixed_alpha,42,42,42,1,0,7,0.5
balance,250,bramev_fixed_alpha,42,42,42,1,0,8,0.5
balance,250,bramev_fixed_alpha,42,42,42,1,0,9,0.5
balance,250,bramev_fixed_alpha,42,42,42,1,2,0,0.5
balance,250,bramev_fixed_alpha,42,42,42,1,2,1,0.5
balance,250,bramev_fixed_alpha,42,42,42,1,2,2,0.5
balance,250,bramev_fixed_alpha,42,42,42,1,2,3,0.5
balance,250,bramev_fixed_alpha,42,42,42,1,2,4,0.5
balance,250,bramev_fixed_alpha,42,42,42,1,2,5,0.5
balance,250,bramev_fixed_alpha,42,42,42,1,2,6,0.5
balance,250,bramev_fixed_alpha,42,42,42,1,2,7,0.5
balance,250,bramev_fixed_alpha,42,42,42,1,2,8,0.5
balance,250,bramev_fixed_alpha,42,42,42,1,2,9,0.5
balance,250,bramev_fixed_alpha,42,42,42,1,3,0,0.5
balance,250,bramev_fixed_alpha,42,42,42,1,3,1,0.5
balance,250,bramev_fixed_alpha,42,42,42,1,3,2,0.5
balance,250,bramev_fixed_alpha,42,42,42,1,3,3,0.5
balance,250,bramev_fixed_alpha,42,42,42,1,3,4,0.5
balance,250,bramev_fixed_alpha,42,42,42,1,3,5,0.5
balance,250,bramev_fixed_alpha,42,42,42,1,3,6,0.5
balance,250,bramev_fixed_alpha,42,42,42,1,3,7,0.5
balance,250,bramev_fixed_alpha,42,42,42,1,3,8,0.5
balance,250,bramev_fixed_alpha,42,42,42,1,3,9,0.5
balance,250,bramev_fixed_alpha,42,42,42,1,5,0,0.5
balance,250,bramev_fixed_alpha,42,42,42,1,5,1,0.5
balance,250,bramev_fixed_alpha,42,42,42,1,5,2,0.5
balance,250,bramev_fixed_alpha,42,42,42,1,5,3,0.5
balance,250,bramev_fixed_alpha,42,42,42,1,5,4,0.5
balance,250,bramev_fixed_alpha,42,42,42,1,5,5,0.5
balance,250,bramev_fixed_alpha,42,42,42,1,5,6,0.5
balance,250,bramev_fixed_alpha,42,42,42,1,5,7,0.5
balance,250,bramev_fixed_alpha,42,42,42,1,5,8,0.5
balance,250,bramev_fixed_alpha,42,42,42,1,5,9,0.5
balance,250,bramev_fixed_alpha,42,42,42,1,7,0,0.5
balance,250,bramev_fixed_alpha,42,42,42,1,7,1,0.5
balance,250,bramev_fixed_alpha,42,42,42,1,7,2,0.5
balance,250,bramev_fixed_alpha,42,42,42,1,7,3,0.5
balance,250,bramev_fixed_alpha,42,42,42,1,7,4,0.5
balance,250,bramev_fixed_alpha,42,42,42,1,7,5,0.5
balance,250,bramev_fixed_alpha,42,42,42,1,7,6,0.5
balance,250,bramev_fixed_alpha,42,42,42,1,7,7,0.5
balance,250,bramev_fixed_alpha,42,42,42,1,7,8,0.5
balance,250,bramev_fixed_alpha,42,42,42,1,7,9,0.5
balance,250,bramev_fixed_alpha,42,42,42,1,24,0,0.5
balance,250,bramev_fixed_alpha,42,42,42,1,24,1,0.5
balance,250,bramev_fixed_alpha,42,42,42,1,24,2,0.5
balance,250,bramev_fixed_alpha,42,42,42,1,24,3,0.5
balance,250,bramev_fixed_alpha,42,42,42,1,24,4,0.5
balance,250,bramev_fixed_alpha,42,42,42,1,24,5,0.5
balance,250,bramev_fixed_alpha,42,42,42,1,24,6,0.5
balance,250,bramev_fixed_alpha,42,42,42,1,24,7,0.5
balance,250,bramev_fixed_alpha,42,42,42,1,24,8,0.5
balance,250,bramev_fixed_alpha,42,42,42,1,24,9,0.5
balance,250,bramev_fixed_alpha,42,42,42,1,30,0,0.5
balance,250,bramev_fixed_alpha,42,42,42,1,30,1,0.5
balance,250,bramev_fixed_alpha,42,42,42,1,30,2,0.5
balance,250,bramev_fixed_alpha,42,42,42,1,30,3,0.5
balance,250,bramev_fixed_alpha,42,42,42,1,30,4,0.5
balance,250,bramev_fixed_alpha,42,42,42,1,30,5,0.5
balance,250,bramev_fixed_alpha,42,42,42,1,30,6,0.5
balance,250,bramev_fixed_alpha,42,42,42,1,30,7,0.5
balance,250,bramev_fixed_alpha,42,42,42,1,30,8,0.5
balance,250,bramev_fixed_alpha,42,42,42,1,30,9,0.5
balance,250,bramev_fixed_alpha,42,42,42,1,33,0,0.5
balance,250,bramev_fixed_alpha,42,42,42,1,33,1,0.5
balance,250,bramev_fixed_alpha,42,42,42,1,33,2,0.5
balance,250,bramev_fixed_alpha,42,42,42,1,33,3,0.5
balance,250,bramev_fixed_alpha,42,42,42,1,33,4,0.5
balance,250,bramev_fixed_alpha,42,42,42,1,33,5,0.5
balance,250,bramev_fixed_alpha,42,42,42,1,33,6,0.5
balance,250,bramev_fixed_alpha,42,42,42,1,33,7,0.5
balance,250,bramev_fixed_alpha,42,42,42,1,33,8,0.5
balance,250,bramev_fixed_alpha,42,42,42,1,33,9,0.5
balance,250,bramev_fixed_alpha,42,42,42,1,39,0,0.5
balance,250,bramev_fixed_alpha,42,42,42,1,39,1,0.5
balance,250,bramev_fixed_alpha,42,42,42,1,39,2,0.5
balance,250,bramev_fixed_alpha,42,42,42,1,39,3,0.5
balance,250,bramev_fixed_alpha,42,42,42,1,39,4,0.5
balance,250,bramev_fixed_alpha,42,42,42,1,39,5,0.5
balance,250,bramev_fixed_alpha,42,42,42,1,39,6,0.5
balance,250,bramev_fixed_alpha,42,42,42,1,39,7,0.5
balance,250,bramev_fixed_alpha,42,42,42,1,39,8,0.5
balance,250,bramev_fixed_alpha,42,42,42,1,39,9,0.5
balance,250,bramev_fixed_alpha,42,42,42,2,1,0,0.5
balance,250,bramev_fixed_alpha,42,42,42,2,1,1,0.5
balance,250,bramev_fixed_alpha,42,42,42,2,1,2,0.5
