scenario,nb_cars,method,seed,world_seed,grid_seed,station_id,society_id,nb_charg_spot,alpha,score_index,score_weighting,nb_request,nb_rejected_request,nb_offer_issued,nb_offer_expired,nb_confirm_refused,nb_stale_confirm,nb_reservations,nb_pres,nb_no_show,nb_early_canc,nb_late_canc,nb_breakdown_canc,nb_unresolved,nb_slots_reserved,nb_slots_served,occupancy_rate,service_rate,demand_kwh
balance,250,bramev_fixed_alpha,42,42,42,0,1,5,0.5,1,duration,587,268,319,134,0,0,185,108,33,8,36,0,0,6897,3848,0.9579,0.5344,270.5
balance,250,bramev_fixed_alpha,42,42,42,1,2,5,0.5,2,duration,633,213,420,388,0,0,32,20,5,0,7,0,0,1158,667,0.1608,0.0926,46.675
balance,250,bramev_fixed_alpha,42,42,42,2,1,5,0.5,1,duration,294,124,170,155,0,0,15,11,2,0,2,0,0,433,266,0.0601,0.0369,18.258
balance,250,bramev_fixed_alpha,42,42,42,3,1,5,0.5,1,duration,634,266,368,231,0,0,137,93,19,0,24,1,0,4394,2823,0.6103,0.3921,193.008
balance,250,bramev_fixed_alpha,42,42,42,4,3,5,0.5,3,duration,543,212,331,186,0,0,145,83,35,2,25,0,0,5291,2904,0.7349,0.4033,201.975
balance,250,bramev_fixed_alpha,42,42,42,5,1,4,0.5,1,duration,353,152,201,165,0,0,36,20,5,0,11,0,0,1485,905,0.2578,0.1571,57.958
balance,250,bramev_fixed_alpha,42,42,42,6,0,6,0.5,0,duration,259,80,179,175,0,0,4,2,1,0,1,0,0,127,52,0.0147,0.006,4.45
balance,250,bramev_fixed_alpha,42,42,42,7,1,6,0.5,1,duration,292,122,170,151,0,0,19,7,3,0,8,1,0,673,251,0.0779,0.0291,28.675
balance,250,bramev_fixed_alpha,42,42,42,8,0,5,0.5,0,duration,283,81,202,181,0,0,21,12,5,0,4,0,0,753,436,0.1046,0.0606,27.808
balance,250,bramev_fixed_alpha,42,42,42,9,2,4,0.5,2,duration,567,173,394,328,0,0,66,41,13,0,12,0,0,2453,1385,0.4259,0.2405,91.233
balance,250,bramev_fixed_alpha,42,42,42,10,0,5,0.5,0,duration,289,82,207,145,0,1,62,36,10,0,13,3,0,2274,1231,0.3158,0.171,87.683
balance,250,bramev_fixed_alpha,42,42,42,11,0,4,0.5,0,duration,628,219,409,242,0,0,167,95,42,3,27,0,0,5952,3211,1.0333,0.5575,222.658
balance,250,bramev_fixed_alpha,42,42,42,12,3,6,0.5,3,duration,649,273,376,335,0,0,41,23,9,0,9,0,0,1442,703,0.1669,0.0814,53.142
balance,250,bramev_fixed_alpha,42,42,42,13,3,4,0.5,3,duration,323,128,195,150,0,0,45,21,13,0,11,0,0,1562,660,0.2712,0.1146,54.067
balance,250,bramev_fixed_alpha,42,42,42,14,3,4,0.5,3,duration,582,215,367,277,0,0,90,57,11,1,20,0,1,3113,1842,0.5405,0.3198,131.65
balance,250,bramev_fixed_alpha,42,42,42,15,0,5,0.5,0,duration,327,107,220,141,0,0,79,50,12,0,16,1,0,2902,1727,0.4031,0.2399,118.033
balance,250,bramev_fixed_alpha,42,42,42,16,2,6,0.5,2,duration,283,114,169,162,0,0,7,6,0,0,1,0,0,295,209,0.0341,0.0242,13.733
balance,250,bramev_fixed_alpha,42,42,42,17,2,4,0.5,2,duration,377,132,245,213,0,0,32,17,4,0,11,0,0,1307,667,0.2269,0.1158,52.683
balance,250,bramev_fixed_alpha,42,42,42,18,2,5,0.5,2,duration,362,103,259,188,0,0,71,44,18,0,9,0,0,2730,1496,0.3792,0.2078,92.142
balance,250,bramev_fixed_alpha,42,42,42,19,3,6,0.5,3,duration,289,117,172,152,0,0,20,10,2,0,8,0,0,720,365,0.0833,0.0422,29.333
balance,250,bramev_fixed_alpha,42,42,42,20,2,4,0.5,2,duration,446,148,298,291,0,0,7,5,1,0,1,0,0,274,193,0.0476,0.0335,11.258
balance,250,bramev_fixed_alpha,42,42,42,21,2,6,0.5,2,duration,199,74,125,115,0,0,10,9,0,0,1,0,0,315,259,0.0365,0.03,17.283
balance,250,bramev_fixed_alpha,42,42,42,22,2,4,0.5,2,duration,545,183,362,254,0,0,108,66,21,1,19,1,0,3728,2271,0.6472,0.3943,154.717
balance,250,bramev_fixed_alpha,42,42,42,23,0,4,0.5,0,duration,278,89,189,138,0,0,51,30,13,0,7,1,0,1937,1083,0.3363,0.188,70.1
balance,250,bramev_fixed_alpha,42,42,42,24,1,4,0.5,1,duration,648,267,381,357,0,0,24,16,4,0,3,0,1,751,503,0.1304,0.0873,33.192
balance,250,bramev_fixed_alpha,42,42,42,25,2,6,0.5,2,duration,628,270,358,244,0,0,114,61,26,0,27,0,0,4377,2281,0.5066,0.264,162.283
balance,250,bramev_fixed_alpha,42,42,42,26,3,5,0.5,3,duration,568,239,329,152,0,0,177,100,39,1,36,1,0,6053,3397,0.8407,0.4718,237.55
balance,250,bramev_fixed_alpha,42,42,42,27,2,4,0.5,2,duration,365,159,206,184,0,0,22,13,4,0,4,1,0,873,505,0.1516,0.0877,33.242
balance,250,bramev_fixed_alpha,42,42,42,28,3,4,0.5,3,duration,529,225,304,258,0,0,46,25,11,0,10,0,0,1740,866,0.3021,0.1503,62.467
balance,250,bramev_fixed_alpha,42,42,42,29,3,5,0.5,3,duration,578,244,334,213,0,0,121,72,23,0,25,1,0,4493,2493,0.624,0.3463,174.458
balance,250,bramev_fixed_alpha,42,42,42,30,1,6,0.5,1,duration,635,272,363,207,0,0,156,92,32,2,26,4,0,5897,3237,0.6825,0.3747,212.333
balance,250,bramev_fixed_alpha,42,42,42,31,2,5,0.5,2,duration,349,133,216,155,0,0,61,38,13,0,10,0,0,2390,1388,0.3319,0.1928,89.125
balance,250,bramev_fixed_alpha,42,42,42,32,0,5,0.5,0,duration,155,52,103,82,0,0,21,15,2,0,4,0,0,820,561,0.1139,0.0779,36.358
balance,250,bramev_fixed_alpha,42,42,42,33,1,4,0.5,1,duration,169,71,98,86,0,0,12,7,3,0,2,0,0,503,287,0.0873,0.0498,18.833
balance,250,bramev_fixed_alpha,42,42,42,34,0,5,0.5,0,duration,155,51,104,92,0,0,12,6,4,0,2,0,0,432,224,0.06,0.0311,15.917
balance,250,bramev_fixed_alpha,42,42,42,35,0,6,0.5,0,duration,357,117,240,177,0,0,63,45,5,0,11,2,0,2402,1522,0.278,0.1762,107.742
balance,250,bramev_fixed_alpha,42,42,42,36,3,6,0.5,3,duration,303,117,186,168,0,0,18,12,4,0,2,0,0,600,396,0.0694,0.0458,25.108
balance,250,bramev_fixed_alpha,42,42,42,37,0,4,0.5,0,duration,635,207,428,374,0,0,54,33,13,1,5,2,0,2164,1225,0.3757,0.2127,71.392
balance,250,bramev_fixed_alpha,42,42,42,38,3,6,0.5,3,duration,688,277,411,390,0,0,21,13,5,0,2,1,0,769,480,0.089,0.0556,26.842
balance,250,bramev_fixed_alpha,42,42,42,39,1,6,0.5,1,duration,348,142,206,159,0,0,47,32,8,0,7,0,0,1720,1054,0.1991,0.122,74.3
