scenario,nb_cars,method,seed,world_seed,grid_seed,kind,label,count,rate
balance,250,bramev_global_rep,42,42,42,observed,abs,287,0.203
balance,250,bramev_global_rep,42,42,42,observed,breakdown,3,0.0021
balance,250,bramev_global_rep,42,42,42,observed,early,4,0.0028
balance,250,bramev_global_rep,42,42,42,observed,late,270,0.1909
balance,250,bramev_global_rep,42,42,42,observed,pres,848,0.5997
balance,250,bramev_global_rep,42,42,42,observed,unresolved,2,0.0014
balance,250,bramev_global_rep,42,42,42,intent,abs,290,0.2051
balance,250,bramev_global_rep,42,42,42,intent,early,161,0.1139
balance,250,bramev_global_rep,42,42,42,intent,late,113,0.0799
balance,250,bramev_global_rep,42,42,42,intent,pres,850,0.6011
balance,250,bramev_global_rep,42,42,42,reclassified,early->late,157,
