scenario,nb_cars,method,seed,world_seed,grid_seed,demand_id,car_id,slot,nb_stations,nb_offers,confirmed,confirm_attempts,first_offer_ms,last_offer_ms,selection_ms,confirmation_ms,total_ms
balance,250,bramev,42,42,42,t00000-c00008,8,0,6,6,True,1,300051.9017089973,3553281.6533750156,602785.2792499762,0.029709015507251024,4156066.962334007
balance,250,bramev,42,42,42,t00000-c00020,20,0,10,10,True,1,600112.5687910244,3555938.604375027,600128.399749985,0.008416012860834599,4156067.012541025
balance,250,bramev,42,42,42,t00000-c00024,24,0,12,12,True,1,600112.5379170117,4156066.831500008,0.1779999874997884,0.006417016265913844,4156067.0159170115
balance,250,bramev,42,42,42,t00000-c00025,25,0,5,5,True,1,1186958.4016669833,4156066.8017499847,0.2011250180657953,0.004375004209578037,4156067.0072500072
balance,250,bramev,42,42,42,t00000-c00033,33,0,5,5,True,1,300051.76687499625,3553281.5187089727,602785.4874160257,0.004292000085115433,4156067.0104169985
balance,250,bramev,42,42,42,t00000-c00034,34,0,6,6,True,1,865994.1377499781,3856004.6147499816,300062.3875410238,0.004124973202124238,4156067.0064159785
balance,250,bramev,42,42,42,t00000-c00048,48,0,7,7,True,1,865994.109583,3553281.463833002,602785.5307080026,0.0037919962778687477,4156066.9983330006
balance,250,bramev,42,42,42,t00000-c00059,59,0,6,5,True,1,1186958.285041008,4156066.6850410053,0.2985419996548444,0.0034999975468963385,4156066.9870830025
balance,250,bramev,42,42,42,t00000-c00068,68,0,6,6,True,1,865994.0533330082,3856004.529583006,300062.4457919912,0.003749999450519681,4156066.979124997
balance,250,bramev,42,42,42,t00000-c00092,92,0,9,9,True,1,600112.3327499954,4156066.6284589972,0.33816599170677364,0.0038750004023313522,4156066.970499989
balance,250,bramev,42,42,42,t00000-c00099,99,0,5,5,True,1,1185554.9093330046,3388652.603499999,767414.355542016,0.0038330035749822855,4156066.9628750184
balance,250,bramev,42,42,42,t00000-c00104,104,0,6,6,True,1,1185554.8839170078,3856004.4477920164,300062.5029579969,0.003541994374245405,4156066.9542920077
balance,250,bramev,42,42,42,t00000-c00106,106,0,7,7,True,1,1186958.1501659995,4156066.550415999,0.3915419802069664,0.0034170225262641907,4156066.9453750015
balance,250,bramev,42,42,42,t00000-c00114,114,0,7,7,True,1,885389.9854999909,3856004.395791999,300062.5372079958,0.00404199818149209,4156066.937041993
balance,250,bramev,42,42,42,t00000-c00121,121,0,6,6,True,1,300051.4903750154,3553924.5375000173,602142.3872500018,0.0038329744711518288,4156066.9285829933
balance,250,bramev,42,42,42,t00000-c00122,122,0,4,4,True,1,1516581.7249579995,3388652.4684999892,767414.4469160237,0.003374996595084667,4156066.91879101
balance,250,bramev,42,42,42,t00000-c00143,143,0,3,3,True,1,300051.4353750041,3387784.1769580264,768282.7283749939,0.003416993422433734,4156066.9087500134
balance,250,bramev,42,42,42,t00000-c00146,146,0,7,7,True,1,1186958.0113329866,4156066.41137501,0.48454198986291885,0.004041008651256561,4156066.8999580084
balance,250,bramev,42,42,42,t00000-c00151,151,0,6,6,True,1,865993.7758330198,3856004.2539169956,300062.6320830197,0.0038750004023313522,4156066.8898750152
balance,250,bramev,42,42,42,t00000-c00154,154,0,6,6,True,1,1185554.6609169978,3856004.225499986,300062.64937500237,0.0036249984987080097,4156066.878499987
balance,250,bramev,42,42,42,t00000-c00166,166,0,7,7,True,1,885389.7858330165,3388652.324416005,767414.5413750084,0.003749999450519681,4156066.869541013
balance,250,bramev,42,42,42,t00000-c00178,178,0,6,6,True,1,300051.2902920018,3553281.041167007,602785.8143750054,0.00391600769944489,4156066.85945802
balance,250,bramev,42,42,42,t00000-c00191,191,0,12,12,True,1,600111.9600829843,4156066.2577079786,0.5841670208610594,0.004332978278398514,4156066.8462079773
balance,250,bramev,42,42,42,t00000-c00196,196,0,6,6,True,1,300051.2267500162,3553280.9775830247,602785.8578749874,0.0036669953260570765,4156066.8391250074
balance,250,bramev,42,42,42,t00000-c00203,203,0,9,9,True,1,865993.5945829784,3856004.0734159993,300062.75108398404,0.0038750004023313522,4156066.8283749837
balance,250,bramev,42,42,42,t00000-c00204,204,0,9,8,True,1,600111.8753750052,4156066.172583,0.6427920015994459,0.0040000013541430235,4156066.8193750028
balance,250,bramev,42,42,42,t00000-c00211,211,0,3,3,True,1,300051.13925001933,3387783.879458002,768282.9245419998,0.0032920215744525194,4156066.8072920237
balance,250,bramev,42,42,42,t00000-c00213,213,0,10,10,True,1,885389.575499983,3552039.578041993,604027.217625,0.004292000085115433,4156066.799958993
balance,250,bramev,42,42,42,t00000-c00214,214,0,7,7,True,1,600111.7882910185,3555937.8253330067,600128.9610830136,0.0038339931052178144,4156066.7902500136
balance,250,bramev,42,42,42,t00000-c00218,218,0,9,9,True,1,600111.7602079757,3553924.097082985,602142.6812919963,0.004083005478605628,4156066.782457987
balance,250,bramev,42,42,42,t00000-c00219,219,0,5,5,True,1,865993.4247919882,3856003.9036670057,300062.87374999374,0.0034999975468963385,4156066.780916997
