scenario,nb_cars,method,seed,world_seed,grid_seed,station_id,society_id,nb_charg_spot,alpha,score_index,score_weighting,nb_request,nb_rejected_request,nb_offer_issued,nb_offer_expired,nb_confirm_refused,nb_stale_confirm,nb_reservations,nb_pres,nb_no_show,nb_early_canc,nb_late_canc,nb_breakdown_canc,nb_unresolved,nb_slots_reserved,nb_slots_served,occupancy_rate,service_rate,demand_kwh
balance,50,bramev_global_rep,42,42,42,0,1,5,0.2846,0,duration,737,691,46,15,0,0,31,20,3,0,8,0,0,1164,736,0.1617,0.1022,51.442
balance,50,bramev_global_rep,42,42,42,1,2,5,0.3237,0,duration,742,690,52,51,0,0,1,0,1,0,0,0,0,34,0,0.0047,0.0,0.0
balance,50,bramev_global_rep,42,42,42,2,1,5,0.4582,0,duration,348,329,19,18,0,0,1,1,0,0,0,0,0,23,20,0.0032,0.0028,1.15
balance,50,bramev_global_rep,42,42,42,3,1,5,0.5167,0,duration,691,640,51,45,0,0,6,2,2,0,2,0,0,204,83,0.0283,0.0115,6.625
balance,50,bramev_global_rep,42,42,42,4,3,5,0.188,0,duration,698,656,42,23,0,0,19,12,5,0,2,0,0,673,408,0.0935,0.0567,27.433
balance,50,bramev_global_rep,42,42,42,5,1,4,0.257,0,duration,347,326,21,15,0,0,6,4,1,0,1,0,0,180,100,0.0312,0.0174,7.067
balance,50,bramev_global_rep,42,42,42,6,0,6,0.5374,0,duration,278,251,27,27,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
balance,50,bramev_global_rep,42,42,42,7,1,6,0.393,0,duration,354,336,18,16,0,0,2,1,0,0,1,0,0,84,50,0.0097,0.0058,4.033
balance,50,bramev_global_rep,42,42,42,8,0,5,0.5759,0,duration,349,324,25,24,0,0,1,0,0,0,1,0,0,36,0,0.005,0.0,1.8
balance,50,bramev_global_rep,42,42,42,9,2,4,0.4113,0,duration,707,661,46,36,0,0,10,7,1,0,2,0,0,326,189,0.0566,0.0328,14.008
balance,50,bramev_global_rep,42,42,42,10,0,5,0.3811,0,duration,361,334,27,23,0,0,4,4,0,0,0,0,0,149,141,0.0207,0.0196,7.125
balance,50,bramev_global_rep,42,42,42,11,0,4,0.3598,0,duration,753,700,53,19,0,0,34,18,11,0,5,0,0,1266,654,0.2198,0.1135,41.883
balance,50,bramev_global_rep,42,42,42,12,3,6,0.2555,0,duration,727,676,51,49,0,0,2,1,1,0,0,0,0,68,28,0.0079,0.0032,1.5
balance,50,bramev_global_rep,42,42,42,13,3,4,0.4461,0,duration,291,268,23,21,0,0,2,1,0,0,1,0,0,85,40,0.0148,0.0069,3.542
balance,50,bramev_global_rep,42,42,42,14,3,4,0.3717,0,duration,733,681,52,45,0,0,7,5,2,0,0,0,0,263,169,0.0457,0.0293,8.708
balance,50,bramev_global_rep,42,42,42,15,0,5,0.4601,0,duration,309,290,19,13,0,0,6,1,3,0,2,0,0,253,40,0.0351,0.0056,5.917
balance,50,bramev_global_rep,42,42,42,16,2,6,0.4252,0,duration,248,221,27,25,0,0,2,0,1,0,1,0,0,86,0,0.01,0.0,2.208
balance,50,bramev_global_rep,42,42,42,17,2,4,0.5422,0,duration,437,402,35,35,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
balance,50,bramev_global_rep,42,42,42,18,2,5,0.5531,0,duration,454,421,33,24,0,0,9,4,2,0,3,0,0,344,116,0.0478,0.0161,10.9
balance,50,bramev_global_rep,42,42,42,19,3,6,0.4262,0,duration,280,256,24,21,0,0,3,2,0,0,1,0,0,99,64,0.0115,0.0074,4.692
balance,50,bramev_global_rep,42,42,42,20,2,4,0.4155,0,duration,416,376,40,37,0,0,3,2,0,0,1,0,0,109,70,0.0189,0.0122,4.542
