scenario,nb_cars,method,seed,world_seed,grid_seed,station_id,society_id,nb_charg_spot,alpha,score_index,score_weighting,nb_request,nb_rejected_request,nb_offer_issued,nb_offer_expired,nb_confirm_refused,nb_stale_confirm,nb_reservations,nb_pres,nb_no_show,nb_early_canc,nb_late_canc,nb_breakdown_canc,nb_unresolved,nb_slots_reserved,nb_slots_served,occupancy_rate,service_rate,demand_kwh
balance,50,bramev_nearest_offer,42,42,42,0,1,5,0.322,1,duration,124,66,58,14,0,0,44,26,4,0,14,0,0,1733,1015,0.2407,0.141,77.008
balance,50,bramev_nearest_offer,42,42,42,1,2,5,0.4855,2,duration,126,49,77,74,0,0,3,1,2,0,0,0,0,120,36,0.0167,0.005,1.9
balance,50,bramev_nearest_offer,42,42,42,2,1,5,0.4956,1,duration,55,30,25,21,0,0,4,3,1,0,0,0,0,138,87,0.0192,0.0121,4.733
balance,50,bramev_nearest_offer,42,42,42,3,1,5,0.5541,1,duration,117,51,66,50,0,0,16,9,4,0,3,0,0,571,323,0.0793,0.0449,23.433
balance,50,bramev_nearest_offer,42,42,42,4,3,5,0.2114,3,duration,104,34,70,39,0,0,31,18,5,0,7,1,0,1106,619,0.1536,0.086,43.608
balance,50,bramev_nearest_offer,42,42,42,5,1,4,0.2944,1,duration,55,34,21,14,0,0,7,5,1,0,1,0,0,274,188,0.0476,0.0326,12.425
balance,50,bramev_nearest_offer,42,42,42,6,0,6,0.561,0,duration,44,12,32,31,0,0,1,1,0,0,0,0,0,29,27,0.0034,0.0031,0.967
balance,50,bramev_nearest_offer,42,42,42,7,1,6,0.4304,1,duration,52,29,23,18,0,0,5,2,1,0,2,0,0,167,73,0.0193,0.0084,7.65
balance,50,bramev_nearest_offer,42,42,42,8,0,5,0.5995,0,duration,47,12,35,32,0,0,3,2,0,0,1,0,0,82,53,0.0114,0.0074,4.992
balance,50,bramev_nearest_offer,42,42,42,9,2,4,0.5731,2,duration,110,41,69,60,0,0,9,7,0,0,2,0,0,306,210,0.0531,0.0365,14.008
balance,50,bramev_nearest_offer,42,42,42,10,0,5,0.4047,0,duration,60,15,45,31,0,0,14,11,0,0,3,0,0,471,350,0.0654,0.0486,25.1
balance,50,bramev_nearest_offer,42,42,42,11,0,4,0.3834,0,duration,114,41,73,25,0,0,48,24,12,0,11,1,0,1753,830,0.3043,0.1441,55.567
balance,50,bramev_nearest_offer,42,42,42,12,3,6,0.2788,3,duration,122,48,74,70,0,0,4,3,1,0,0,0,0,114,70,0.0132,0.0081,4.617
balance,50,bramev_nearest_offer,42,42,42,13,3,4,0.4694,3,duration,57,14,43,31,0,0,12,7,1,0,4,0,0,401,233,0.0696,0.0405,18.983
balance,50,bramev_nearest_offer,42,42,42,14,3,4,0.395,3,duration,105,35,70,51,0,0,19,9,4,0,6,0,0,501,232,0.087,0.0403,20.492
balance,50,bramev_nearest_offer,42,42,42,15,0,5,0.4837,0,duration,57,16,41,27,0,0,14,8,3,0,3,0,0,497,252,0.069,0.035,18.833
balance,50,bramev_nearest_offer,42,42,42,16,2,6,0.5869,2,duration,54,22,32,30,0,0,2,0,1,0,1,0,0,94,0,0.0109,0.0,2.208
balance,50,bramev_nearest_offer,42,42,42,17,2,4,0.7039,2,duration,65,16,49,45,0,0,4,2,1,0,1,0,0,132,48,0.0229,0.0083,4.317
balance,50,bramev_nearest_offer,42,42,42,18,2,5,0.7149,2,duration,70,16,54,30,0,0,24,12,5,0,6,1,0,949,442,0.1318,0.0614,31.383
