scenario,nb_cars,method,seed,world_seed,grid_seed,car_id,station_id,distance_km,waiting_time_min
optimistic,100,bramev_nearest_offer,42,42,42,8,25,0.2336,0.0
optimistic,100,bramev_nearest_offer,42,42,42,20,22,0.3372,0.0
optimistic,100,bramev_nearest_offer,42,42,42,24,33,0.1597,0.0
optimistic,100,bramev_nearest_offer,42,42,42,33,0,0.2085,0.0
optimistic,100,bramev_nearest_offer,42,42,42,34,18,0.447,0.0
optimistic,100,bramev_nearest_offer,42,42,42,48,31,0.313,0.0
optimistic,100,bramev_nearest_offer,42,42,42,59,13,0.2315,0.0
optimistic,100,bramev_nearest_offer,42,42,42,68,3,0.0603,0.0
optimistic,100,bramev_nearest_offer,42,42,42,92,9,0.1836,0.0
optimistic,100,bramev_nearest_offer,42,42,42,99,11,0.4541,0.0
optimistic,100,bramev_nearest_offer,42,42,42,77,9,0.1751,0.0
optimistic,100,bramev_nearest_offer,42,42,42,47,7,0.1641,0.0
optimistic,100,bramev_nearest_offer,42,42,42,47,29,0.8757,0.0
optimistic,100,bramev_nearest_offer,42,42,42,19,20,0.0616,0.0
optimistic,100,bramev_nearest_offer,42,42,42,47,25,0.941,0.0
optimistic,100,bramev_nearest_offer,42,42,42,19,28,0.2849,0.0
optimistic,100,bramev_nearest_offer,42,42,42,81,15,0.3667,0.0
optimistic,100,bramev_nearest_offer,42,42,42,94,1,0.2075,0.0
optimistic,100,bramev_nearest_offer,42,42,42,52,0,0.3382,0.0
optimistic,100,bramev_nearest_offer,42,42,42,5,11,0.592,0.0
optimistic,100,bramev_nearest_offer,42,42,42,31,11,0.592,0.0
optimistic,100,bramev_nearest_offer,42,42,42,72,32,0.2716,0.0
optimistic,100,bramev_nearest_offer,42,42,42,37,3,0.193,0.0
optimistic,100,bramev_nearest_offer,42,42,42,49,5,0.1984,0.0
optimistic,100,bramev_nearest_offer,42,42,42,76,18,0.0947,0.0
optimistic,100,bramev_nearest_offer,42,42,42,78,29,0.2935,0.0
optimistic,100,bramev_nearest_offer,42,42,42,10,9,0.1986,0.0
optimistic,100,bramev_nearest_offer,42,42,42,58,26,0.0542,0.0
optimistic,100,bramev_nearest_offer,42,42,42,10,4,0.3017,0.0
optimistic,100,bramev_nearest_offer,42,42,42,14,27,0.4265,0.0
optimistic,100,bramev_nearest_offer,42,42,42,62,19,0.4718,0.0
optimistic,100,bramev_nearest_offer,42,42,42,25,35,0.1963,0.0
optimistic,100,bramev_nearest_offer,42,42,42,27,0,0.3382,0.0
optimistic,100,bramev_nearest_offer,42,42,42,2,36,0.2487,0.0
optimistic,100,bramev_nearest_offer,42,42,42,83,3,0.2277,0.0
optimistic,100,bramev_nearest_offer,42,42,42,7,26,0.1996,0.0
optimistic,100,bramev_nearest_offer,42,42,42,13,3,0.0887,0.0
optimistic,100,bramev_nearest_offer,42,42,42,7,3,0.4483,0.0
optimistic,100,bramev_nearest_offer,42,42,42,43,18,0.3689,0.0
optimistic,100,bramev_nearest_offer,42,42,42,90,26,0.1996,0.0
optimistic,100,bramev_nearest_offer,42,42,42,43,2,0.2572,0.0
optimistic,100,bramev_nearest_offer,42,42,42,64,26,0.1996,0.0
optimistic,100,bramev_nearest_offer,42,42,42,93,22,0.1647,0.0
optimistic,100,bramev_nearest_offer,42,42,42,46,26,0.1996,0.0
optimistic,100,bramev_nearest_offer,42,42,42,69,26,0.1996,0.0
optimistic,100,bramev_nearest_offer,42,42,42,23,0,0.3382,0.0
optimistic,100,bramev_nearest_offer,42,42,42,1,11,0.592,0.0
optimistic,100,bramev_nearest_offer,42,42,42,23,29,0.8757,0.0
optimistic,100,bramev_nearest_offer,42,42,42,3,0,0.3382,0.0
optimistic,100,bramev_nearest_offer,42,42,42,12,14,0.2193,0.0
optimistic,100,bramev_nearest_offer,42,42,42,40,12,0.2884,0.0
optimistic,100,bramev_nearest_offer,42,42,42,36,9,0.2378,0.0
optimistic,100,bramev_nearest_offer,42,42,42,39,30,0.3493,0.0
optimistic,100,bramev_nearest_offer,42,42,42,84,38,0.3441,0.0
optimistic,100,bramev_nearest_offer,42,42,42,39,11,0.592,0.0
optimistic,100,bramev_nearest_offer,42,42,42,95,15,0.4487,0.0
optimistic,100,bramev_nearest_offer,42,42,42,63,35,0.0543,0.0
optimistic,100,bramev_nearest_offer,42,42,42,79,30,0.3516,0.0
optimistic,100,bramev_nearest_offer,42,42,42,50,3,0.1362,0.0
optimistic,100,bramev_nearest_offer,42,42,42,70,9,0.1304,0.0
optimistic,100,bramev_nearest_offer,42,42,42,70,4,0.2905,0.0
optimistic,100,bramev_nearest_offer,42,42,42,87,26,0.1996,0.0
optimistic,100,bramev_nearest_offer,42,42,42,6,11,0.592,0.0
optimistic,100,bramev_nearest_offer,42,42,42,75,20,0.1064,0.0
optimistic,100,bramev_nearest_offer,42,42,42,32,4,0.3017,0.0
optimistic,100,bramev_nearest_offer,42,42,42,32,22,0.3165,0.0
optimistic,100,bramev_nearest_offer,42,42,42,71,28,0.2181,0.0
optimistic,100,bramev_nearest_offer,42,42,42,0,32,0.1985,0.0
optimistic,100,bramev_nearest_offer,42,42,42,71,23,0.0239,0.0
optimistic,100,bramev_nearest_offer,42,42,42,30,4,0.3017,0.0
optimistic,100,bramev_nearest_offer,42,42,42,28,26,0.1996,0.0
optimistic,100,bramev_nearest_offer,42,42,42,91,7,0.0244,0.0
optimistic,100,bramev_nearest_offer,42,42,42,73,3,0.0616,0.0
optimistic,100,bramev_nearest_offer,42,42,42,73,11,0.4498,0.0
optimistic,100,bramev_nearest_offer,42,42,42,82,11,0.5821,0.0
optimistic,100,bramev_nearest_offer,42,42,42,9,0,0.3382,0.0
optimistic,100,bramev_nearest_offer,42,42,42,44,26,0.1996,0.0
optimistic,100,bramev_nearest_offer,42,42,42,44,3,0.4483,0.0
optimistic,100,bramev_nearest_offer,42,42,42,51,26,0.1996,0.0
optimistic,100,bramev_nearest_offer,42,42,42,53,26,0.1438,0.0
optimistic,100,bramev_nearest_offer,42,42,42,53,3,0.4556,0.0
optimistic,100,bramev_nearest_offer,42,42,42,11,26,0.1996,0.0
optimistic,100,bramev_nearest_offer,42,42,42,18,35,0.2415,0.0
optimistic,100,bramev_nearest_offer,42,42,42,38,14,0.4142,0.0
optimistic,100,bramev_nearest_offer,42,42,42,38,17,0.92,0.0
optimistic,100,bramev_nearest_offer,42,42,42,21,26,0.1996,0.0
optimistic,100,bramev_nearest_offer,42,42,42,16,11,0.592,45.0
optimistic,100,bramev_nearest_offer,42,42,42,81,35,0.2029,0.0
optimistic,100,bramev_nearest_offer,42,42,42,89,10,0.4154,0.0
optimistic,100,bramev_nearest_offer,42,42,42,89,26,0.1364,0.0
optimistic,100,bramev_nearest_offer,42,42,42,45,4,0.3017,0.0
optimistic,100,bramev_nearest_offer,42,42,42,42,26,0.1996,25.0
optimistic,100,bramev_nearest_offer,42,42,42,26,10,0.1727,0.0
optimistic,100,bramev_nearest_offer,42,42,42,86,30,0.2547,0.0
optimistic,100,bramev_nearest_offer,42,42,42,67,11,0.592,10.0
optimistic,100,bramev_nearest_offer,42,42,42,74,12,0.2686,0.0
optimistic,100,bramev_nearest_offer,42,42,42,96,25,0.0432,0.0
optimistic,100,bramev_nearest_offer,42,42,42,5,0,0.2495,0.0
optimistic,100,bramev_nearest_offer,42,42,42,61,11,0.592,15.0
optimistic,100,bramev_nearest_offer,42,42,42,5,29,0.8757,0.0
optimistic,100,bramev_nearest_offer,42,42,42,15,26,0.1996,45.0
optimistic,100,bramev_nearest_offer,42,42,42,57,9,0.0873,0.0
optimistic,100,bramev_nearest_offer,42,42,42,22,2,0.4172,0.0
optimistic,100,bramev_nearest_offer,42,42,42,48,11,0.592,60.0
optimistic,100,bramev_nearest_offer,42,42,42,48,30,0.6459,0.0
